GMID,Name,School,Year,Grade,AST,PercATrans,PercARim,PercA2PJ,PercA3P,PercADunks,TO,PercTOFoul,PercTOStea,PercTOMisc
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,4,25.00%,50.00%,0.00%,50.00%,0.00%,4,0.00%,75.00%,25.00%
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,5,60.00%,60.00%,0.00%,40.00%,20.00%,11,0.00%,63.64%,36.36%
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,7,0.00%,71.43%,28.57%,0.00%,0.00%,19,0.00%,47.37%,52.63%
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,4,0.00%,25.00%,50.00%,25.00%,0.00%,1,0.00%,100.00%,0.00%
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,8,25.00%,62.50%,12.50%,25.00%,0.00%,14,21.43%,28.57%,50.00%
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,61,22.95%,50.82%,21.31%,26.23%,8.20%,48,8.33%,56.25%,35.42%
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,1,0.00%,0.00%,0.00%,100.00%,0.00%,3,0.00%,66.67%,33.33%
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,44,25.00%,45.45%,25.00%,29.55%,9.09%,61,6.56%,37.70%,55.74%
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,61,22.95%,42.62%,19.67%,37.70%,3.28%,86,3.49%,45.35%,51.16%
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,15,26.67%,60.00%,33.33%,6.67%,0.00%,51,9.80%,49.02%,41.18%
4550,Martavius Adams,Arkansas State ,2009,So,20,45.00%,60.00%,5.00%,35.00%,15.00%,64,10.94%,50.00%,39.06%
19725,Rashad Allison,Arkansas State ,2009,Jr,111,48.65%,37.84%,18.92%,43.24%,13.51%,64,0.00%,57.81%,42.19%
19719,Donald Boone,Arkansas State ,2009,RS-Sr,0,NA,NA,NA,NA,NA,1,0.00%,0.00%,100.00%
5976,JeJuan Brown,Arkansas State ,2009,Jr,9,44.44%,55.56%,22.22%,22.22%,0.00%,25,4.00%,20.00%,76.00%
19718,Daniel Bryant,Arkansas State ,2009,So,27,44.44%,66.67%,11.11%,22.22%,14.81%,35,2.86%,51.43%,45.71%
19721,Justin Butler,Arkansas State ,2009,Jr,5,0.00%,20.00%,20.00%,60.00%,0.00%,5,20.00%,40.00%,40.00%
19726,Trey Finn,Arkansas State ,2009,Fr,55,34.55%,43.64%,16.36%,40.00%,12.73%,47,8.51%,59.57%,31.91%
19724,Michael Lance,Arkansas State ,2009,Sr,2,50.00%,50.00%,0.00%,50.00%,0.00%,0,NA,NA,NA
19716,Brandon Peterson,Arkansas State ,2009,Fr,40,10.00%,62.50%,20.00%,17.50%,10.00%,49,14.29%,44.90%,40.82%
19717,Brandon Reed,Arkansas State ,2009,Fr,69,33.33%,56.52%,18.84%,24.64%,11.59%,67,2.99%,52.24%,44.78%
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,12,16.67%,25.00%,16.67%,58.33%,8.33%,10,0.00%,80.00%,20.00%
19720,Jeremy Thomas,Arkansas State ,2009,Jr,14,7.14%,21.43%,7.14%,71.43%,0.00%,18,5.56%,38.89%,55.56%
5539,Marcus Britt,Arkansas,2009,Jr,41,14.63%,56.10%,7.32%,36.59%,19.51%,23,0.00%,69.57%,30.43%
5536,Glenn Bryant,Arkansas,2009,Fr,5,0.00%,80.00%,0.00%,20.00%,20.00%,8,12.50%,50.00%,37.50%
5543,Rotnei Clarke,Arkansas,2009,So,34,35.29%,44.12%,23.53%,32.35%,17.65%,33,6.06%,57.58%,36.36%
5545,Stephen Cox,Arkansas,2009,Jr,6,33.33%,33.33%,16.67%,50.00%,0.00%,1,100.00%,0.00%,0.00%
