GMID,Name,School,Year,Grade,AST,A2PJ,S2P,A3P,DunkAss,TO,TOFoul,TOSteal,TOMisc
16948,Vlad Moldoveanu,American University,2009,So,45,6,23,16,6,53,12,26,15
16936,Daniel Munoz (2),American University,2009,Fr,70,13,26,31,3,56,0,41,15
16941,Matthew Wilson,American University,2009,Jr,23,6,8,9,0,17,2,6,9
20990,Ryann Abraham,Appalachian State,2009,Sr,94,15,37,42,4,60,4,31,25
20981,J.R. Archer,Appalachian State,2009,Jr,1,0,1,0,0,2,0,1,1
20983,Jeremi Booth,Appalachian State,2009,Jr,36,6,13,17,2,38,2,23,13
20986,Kellen Brand,Appalachian State,2009,Sr,78,10,31,37,2,82,4,29,49
20980,Isaac Butts,Appalachian State,2009,Jr,34,7,9,18,1,71,8,27,36
20988,Nathan Healy,Appalachian State,2009,Fr,7,1,4,2,0,22,0,16,6
20978,A.J. Highsmith,Appalachian State,2009,Sr,3,0,2,1,0,5,0,2,3
20985,Josh Hunter,Appalachian State,2009,Sr,40,6,17,17,2,49,3,18,28
20982,Jacob Lail,Appalachian State,2009,So,0,0,0,0,0,1,0,0,1
20984,Josh Nirenberg,Appalachian State,2009,Fr,1,0,0,1,0,4,0,3,1
9581,Donald Sims,Appalachian State,2009,Jr,84,15,24,45,2,90,2,54,34
20991,Tyler Webb,Appalachian State,2009,Sr,7,5,2,0,0,13,0,8,5
20979,Andre Williamson,Appalachian State,2009,So,18,2,6,10,0,39,2,23,14
20987,Marcus Wright,Appalachian State,2009,So,44,7,20,17,0,55,1,29,25
6680,Ty Abbott,Arizona State,2009,Jr,51,8,23,20,7,50,8,22,20
1954,Eric Boateng,Arizona State,2009,Sr,30,3,10,17,0,69,17,15,37
4734,Derek Glasser,Arizona State,2009,Sr,158,20,54,84,11,73,3,45,25
6682,Marcus Jackson,Arizona State,2009,Fr,2,1,0,1,0,0,0,0,0
6676,Rihards Kuksiks,Arizona State,2009,Jr,58,10,23,25,4,41,5,24,12
6679,Trent Lockett,Arizona State,2009,Fr,28,4,11,13,1,49,4,24,21
6674,Jamelle McMillan,Arizona State,2009,Jr,81,10,27,44,5,33,2,21,10
6677,Ruslan Pateev,Arizona State,2009,Fr,8,1,1,6,0,10,3,2,5
6678,Taylor Rohde,Arizona State,2009,So,4,0,0,4,0,8,1,3,4
6681,Victor Rudd,Arizona State,2009,Fr,3,0,0,3,0,5,0,2,3
6675,Jerren Shipp,Arizona State,2009,Sr,17,2,6,9,2,19,1,7,11
6671,Brandon Thompson,Arizona State,2009,Fr,3,0,2,1,1,3,0,3,0
6673,Demetrius Walker,Arizona State,2009,Fr,18,2,11,5,1,22,3,14,5
6649,Kyle Fogg,Arizona,2009,So,68,10,33,25,15,66,3,36,27
6653,Solomon Hill,Arizona,2009,Fr,52,10,20,22,4,63,3,25,35
6647,Jamelle Horne,Arizona,2009,Jr,36,8,18,10,3,52,5,25,22
6641,Alex Jacobson,Arizona,2009,So,0,0,0,0,0,8,3,1,4
2540,Lamont Jones,Arizona,2009,Fr,47,10,11,26,4,41,1,11,29
6646,Garland Judkins,Arizona,2009,RS-So,2,1,1,0,0,4,0,2,2
6642,Brendon Lavender,Arizona,2009,So,21,0,6,13,1,19,1,12,6
6650,Kyryl Natyazhko,Arizona,2009,Fr,2,0,0,2,0,20,4,6,10
6648,Kevin Parrom,Arizona,2009,Fr,29,6,8,15,3,21,2,8,11
6643,D.J. Shumpert,Arizona,2009,So,2,0,1,1,0,4,0,2,2
6644,Derrick Williams,Arizona,2009,Fr,22,2,11,9,1,60,13,20,27
6645,Dondre Wise,Arizona,2009,So,0,0,0,0,0,0,0,0,0
2331,Nic Wise,Arizona,2009,Sr,103,15,37,51,9,73,3,31,39
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,1,1,0,0,0,9,1,4,4
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,132,21,69,42,17,106,7,52,47
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,4,0,3,1,0,12,1,2,9
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,14,4,8,2,3,32,4,15,13
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,27,7,9,11,0,70,13,26,31
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,12,1,6,5,3,11,5,1,5
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,1,1,0,0,0,5,0,3,2
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,4,0,2,2,0,4,0,3,1
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,7,0,4,3,1,11,0,7,4
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,9,2,7,0,1,22,0,12,10
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,4,2,1,1,0,1,0,1,0
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,10,2,6,2,1,15,3,4,8
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,64,13,34,16,5,51,4,30,17
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,1,0,0,1,0,4,0,3,1
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,48,13,21,14,4,66,4,25,37
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,65,13,27,25,2,89,3,40,46
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,18,5,10,3,0,56,6,27,23
4550,Martavius Adams,Arkansas State ,2009,So,20,1,12,7,3,67,7,33,27
19725,Rashad Allison,Arkansas State ,2009,Jr,127,24,49,54,16,69,0,42,27
19719,Donald Boone,Arkansas State ,2009,RS-Sr,0,0,0,0,0,1,0,0,1
5976,JeJuan Brown,Arkansas State ,2009,Jr,12,2,8,2,0,29,1,9,19
19718,Daniel Bryant,Arkansas State ,2009,So,28,3,18,7,4,39,1,20,18
19721,Justin Butler,Arkansas State ,2009,Jr,7,2,2,3,0,6,1,3,2
19726,Trey Finn,Arkansas State ,2009,Fr,58,9,25,24,7,51,4,31,16
19724,Michael Lance,Arkansas State ,2009,Sr,5,0,1,4,0,2,0,1,1
19716,Brandon Peterson,Arkansas State ,2009,Fr,43,8,27,8,4,53,7,25,21
19717,Brandon Reed,Arkansas State ,2009,Fr,76,13,43,20,10,76,2,42,32
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,15,2,5,8,1,11,0,9,2
19720,Jeremy Thomas,Arkansas State ,2009,Jr,15,1,4,10,1,19,1,7,11
5539,Marcus Britt,Arkansas,2009,Jr,44,3,25,16,8,24,0,17,7
5536,Glenn Bryant,Arkansas,2009,Fr,7,0,6,1,2,8,1,4,3
5543,Rotnei Clarke,Arkansas,2009,So,37,9,16,12,7,36,2,19,15
5545,Stephen Cox,Arkansas,2009,Jr,8,1,4,3,0,3,1,2,0
5537,Jemal Farmer,Arkansas,2009,Jr,28,3,14,11,4,37,4,19,14
3642,Courtney Fortson,Arkansas,2009,So,103,11,55,37,19,92,8,47,37
5535,Delvon Johnson,Arkansas,2009,Jr,2,0,2,0,0,12,1,5,6
5534,Cody Lay,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0
5542,Nick Mason,Arkansas,2009,So,0,0,0,0,0,1,1,0,0
5532,Brandon Mitchell,Arkansas,2009,RS-Fr,2,1,1,0,1,1,1,0,0
5538,Julysses Nobles,Arkansas,2009,Fr,74,7,34,33,8,49,1,27,21
5540,Marshawn Powell,Arkansas,2009,Fr,45,7,14,24,2,66,6,30,30
5533,Chris Roberts,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0
5541,Michael Sanchez,Arkansas,2009,So,3,0,1,2,0,7,3,1,3
2330,Michael Washington,Arkansas,2009,Sr,22,0,18,4,3,52,10,16,26
5544,Stefan Welsh,Arkansas,2009,Sr,65,11,38,16,11,48,6,23,19
16988,Joe Clark,Army,2009,So,0,0,0,0,0,1,0,1,0
16984,Ella Ellis,Army,2009,Fr,3,0,0,3,0,16,0,4,12
16996,Nathan Hedgecock,Army,2009,Jr,0,0,0,0,0,1,0,1,0
16987,Jeremy Hence,Army,2009,Jr,28,2,9,17,0,37,4,12,21
16995,Mitch McDonald,Army,2009,Jr,23,4,9,10,0,29,0,17,12
47965,C.J. McElrath,Army,2009,Fr,0,0,0,0,0,2,0,0,2
16991,Josh Miller,Army,2009,Sr,101,20,44,36,2,82,2,40,40
16994,Marcus Nelson,Army,2009,Sr,48,12,23,13,0,46,2,14,30
16986,Jason Pancoe,Army,2009,Fr,2,0,1,1,0,4,0,1,3
16983,Cleveland Richard,Army,2009,Sr,85,15,30,40,0,61,5,25,31
16992,Julian Simmons,Army,2009,So,7,1,2,4,0,47,1,15,31
16989,Jon Sizemore,Army,2009,Sr,11,1,5,5,0,14,0,6,8
16990,Jordan Springer,Army,2009,Fr,1,0,0,1,0,1,0,0,1
16998,Tyrell Thompson,Army,2009,Sr,7,0,5,2,0,21,2,8,11
16982,Chris Walker,Army,2009,Sr,9,3,4,2,0,36,1,15,20
16985,Eric Zastoupil,Army,2009,Sr,9,1,1,7,0,18,2,5,11
5590,Ty Armstrong,Auburn,2009,Fr,4,0,2,2,0,13,4,2,7
5587,Rob Chubb,Auburn,2009,Fr,1,0,1,0,0,4,1,2,1
5581,Jake Drum,Auburn,2009,So,1,0,1,0,0,4,0,3,1
5584,Kenny Gabriel,Auburn,2009,So,2,0,2,0,0,9,0,5,4
5586,Lucas Hargrove,Auburn,2009,Sr,86,2,29,55,9,86,9,40,37
5578,Brendan Knox,Auburn,2009,Sr,15,2,4,9,0,46,9,16,21
5582,Johnnie Lett,Auburn,2009,Sr,14,1,3,10,1,18,5,6,7
5577,Andre Malone,Auburn,2009,Fr,6,1,3,2,2,8,0,2,6
5589,Tony Neysmith,Auburn,2009,So,10,1,3,6,0,20,3,11,6
4818,DeWayne Reed,Auburn,2009,Sr,139,13,50,76,15,102,11,60,31
5579,Earnest Ross,Auburn,2009,Fr,24,1,13,10,5,26,4,15,7
5580,Frankie Sullivan,Auburn,2009,So,62,9,32,21,11,51,11,20,20
5583,Josh Wallace,Auburn,2009,Fr,24,0,10,14,2,15,1,8,6
5588,Tay Waller,Auburn,2009,Sr,31,2,16,13,0,30,1,18,11
5585,"Larry Williams, Jr.",Auburn,2009,Jr,0,0,0,0,0,3,0,1,2
11659,Justin Blake,Austin Peay,2009,Fr,36,5,21,10,4,23,1,18,4
11650,Caleb Brown,Austin Peay,2009,Jr,113,16,38,59,10,50,3,29,18
11661,Tyrone Caldwell,Austin Peay,2009,So,76,14,30,32,5,60,3,29,28
9444,Anthony Campbell,Austin Peay,2009,So,50,15,24,11,8,84,11,47,26
11662,Wesley Channels,Austin Peay,2009,Sr,94,19,36,39,8,92,8,55,29
11655,Ernest Fields,Austin Peay,2009,Sr,0,0,0,0,0,9,3,4,2
11658,John Fraley,Austin Peay,2009,So,18,3,5,10,0,50,10,16,24
11654,Eric Mosley,Austin Peay,2009,Fr,5,1,0,4,0,8,1,5,2
11651,Chris Reaves,Austin Peay,2009,So,3,0,2,1,0,6,0,3,3
11653,Duran Roberson,Austin Peay,2009,Jr,10,1,5,4,0,28,4,8,16
11660,Marcel Williams,Austin Peay,2009,So,24,3,9,12,1,37,7,18,12
11652,Christopher Wood,Austin Peay,2009,Fr,0,0,0,0,0,0,0,0,0
11376,Brawley Chisholm,Ball State,2009,Sr,45,12,22,11,5,37,0,22,15
11385,Randy Davis,Ball State,2009,So,100,34,40,25,9,66,6,33,27
11388,Zach Fields,Ball State,2009,Fr,0,0,0,0,0,6,2,2,2
11380,John Green,Ball State,2009,Fr,8,1,5,2,1,10,0,5,5
11383,"Myron Green, Jr.",Ball State,2009,Fr,18,4,7,6,1,21,5,9,7
69742,Maurice Hubbard,Ball State,2009,Fr,11,2,8,1,2,19,1,12,6
11378,Jarrod Jones,Ball State,2009,So,22,4,9,8,0,59,5,26,28
11381,Malik Perry,Ball State,2009,Jr,17,3,8,5,2,46,8,13,25
11379,Jauwan Scaife,Ball State,2009,Fr,50,20,19,11,6,47,5,30,12
11384,Pierre Sneed,Ball State,2009,So,28,7,13,8,5,52,8,23,21
5797,Terrence Watson,Ball State,2009,Sr,33,6,17,10,4,68,6,26,36
4130,Quincy Acy,Baylor,2009,So,11,0,3,8,2,45,4,17,24
1945,Tweety Carter,Baylor,2009,Sr,188,26,96,64,58,80,3,50,27
4152,Givon Crump,Baylor,2009,Fr,1,0,0,1,0,2,1,0,1
4154,Nolan Dennis,Baylor,2009,Fr,12,6,3,3,3,21,0,10,11
4067,LaceDarius Dunn,Baylor,2009,Jr,67,9,45,13,25,91,8,39,44
4145,Fred Ellis,Baylor,2009,So,5,0,2,3,2,9,0,3,6
4151,Oscar Griffin,Baylor,2009,Fr,4,3,0,1,0,3,0,1,2
4149,Cory Jefferson,Baylor,2009,Fr,0,0,0,0,0,5,0,1,4
4142,Anthony Jones,Baylor,2009,So,38,4,17,17,10,46,3,26,17
4146,Josh Lomers,Baylor,2009,Sr,11,2,3,6,1,48,12,15,21
4153,Dragan Sekelja,Baylor,2009,Fr,2,1,1,0,0,7,3,2,2
4037,Ekpe Udoh,Baylor,2009,Jr,97,17,45,35,21,87,8,35,44
4150,A.J. Walton,Baylor,2009,Fr,71,24,24,23,10,47,3,18,26
14154,Brandon Baker,Belmont,2009,Fr,13,0,7,6,0,17,1,10,6
14152,Adam Barnes,Belmont,2009,Fr,3,1,2,0,0,1,0,0,1
14160,Keaton Belcher,Belmont,2009,Sr,32,2,13,17,1,36,2,23,11
14159,Jordan Campbell,Belmont,2009,Jr,43,3,17,23,1,42,5,22,15
14156,Ian Clark,Belmont,2009,Fr,67,6,37,24,3,93,5,47,41
14155,Drew Hanlen,Belmont,2009,So,108,11,48,49,4,47,2,32,13
14161,Mick Hedgepeth,Belmont,2009,So,18,0,3,15,0,66,12,31,23
14157,Jon House,Belmont,2009,Jr,60,4,17,39,2,50,2,28,20
3641,Kerron Johnson,Belmont,2009,Fr,84,5,46,32,2,67,3,34,30
14164,Trevor Noack,Belmont,2009,Fr,5,2,2,1,0,14,1,7,6
14158,Jonny Rice,Belmont,2009,So,4,2,0,2,0,14,0,8,6
7930,Scott Saunders,Belmont,2009,So,8,0,4,4,0,55,10,19,26
19024,Albert Abrahams,Bethune-Cookman,2009,Jr,17,5,5,7,0,42,7,14,21
19036,Tyrel Adams,Bethune-Cookman,2009,Sr,10,3,2,4,0,21,4,7,10
19032,Kene Anusionwu,Bethune-Cookman,2009,Sr,1,1,0,0,0,2,0,0,2
19034,Rashad Bailey,Bethune-Cookman,2009,Jr,0,0,0,0,0,0,0,0,0
19030,Javoris Bryant,Bethune-Cookman,2009,Fr,21,7,8,6,0,25,0,14,11
19033,Kevin Dukes,Bethune-Cookman,2009,Fr,35,8,16,10,2,24,0,20,4
19035,"Stanley Elliott, Jr.",Bethune-Cookman,2009,So,28,7,15,6,2,47,1,20,26
19031,"Jerry Jones, Jr.",Bethune-Cookman,2009,So,8,1,3,3,0,8,1,4,3
19027,Aric Miller,Bethune-Cookman,2009,Fr,20,6,7,7,0,26,2,15,9
19028,C.J. Reed,Bethune-Cookman,2009,So,135,41,54,40,4,125,6,59,60
19025,Alexander Starling,Bethune-Cookman,2009,Jr,35,13,11,9,1,55,5,18,32
19029,Jarrell Thomas,Bethune-Cookman,2009,Sr,27,6,13,8,1,32,3,18,11
19026,Antroine Williford,Bethune-Cookman,2009,Fr,5,1,3,1,1,5,1,1,3
17646,Moussa Camara,Binghamton,2009,Jr,21,7,8,6,0,48,3,21,24
17642,Jimmy Gray,Binghamton,2009,Fr,9,1,2,5,0,10,0,9,1
17647,Pina Guillaume,Binghamton,2009,Fr,8,0,3,5,1,22,1,14,7
17645,Mike Horn,Binghamton,2009,Fr,1,0,0,1,0,0,0,0,0
17644,Mahamoud Jabbi,Binghamton,2009,Jr,19,2,9,8,0,27,1,15,11
17649,Taylor Johnston,Binghamton,2009,Fr,4,0,2,2,1,7,0,2,5
17639,Chretien Lukusa,Binghamton,2009,Jr,72,17,25,30,9,72,4,39,29
17648,Preston Pena,Binghamton,2009,Jr,0,0,0,0,0,0,0,0,0
17650,Umur Peten,Binghamton,2009,Jr,7,1,4,2,1,19,1,11,7
17641,Javon Ralling,Binghamton,2009,Fr,0,0,0,0,0,0,0,0,0
17643,Kyrie Sutton,Binghamton,2009,So,5,1,2,2,1,37,5,15,17
17640,Dylan Talley,Binghamton,2009,Fr,55,13,20,22,4,71,4,33,34
9555,Greer Wright,Binghamton,2009,Jr,98,19,51,28,9,116,10,33,73
8758,La'Shard Anderson,Boise State,2009,Jr,116,20,47,48,12,78,3,36,39
