GMID,Name,School,Year,Grade,PerRimABlkd,Per2PJABlkd,Per3PABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,PerS2APB,PerL2PAPB,PerPBDunked
20987,Marcus Wright,Appalachian State,2009,So,12.50%,3.39%,2.22%,46.67%,47.06%,42.86%,2.50%,0.00%,0.00%
6680,Ty Abbott,Arizona State,2009,Jr,8.70%,6.35%,0.56%,44.44%,30.95%,30.84%,4.35%,1.59%,0.00%
1954,Eric Boateng,Arizona State,2009,Sr,5.61%,5.17%,NA,42.86%,16.67%,NA,19.63%,5.17%,12.50%
4734,Derek Glasser,Arizona State,2009,Sr,16.67%,4.00%,0.00%,39.13%,39.22%,25.40%,0.00%,0.00%,NA
6682,Marcus Jackson,Arizona State,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
6676,Rihards Kuksiks,Arizona State,2009,Jr,6.82%,6.25%,1.54%,20.00%,30.77%,25.62%,4.55%,2.08%,0.00%
6679,Trent Lockett,Arizona State,2009,Fr,8.06%,7.81%,0.00%,33.33%,21.43%,35.71%,11.29%,0.00%,0.00%
6674,Jamelle McMillan,Arizona State,2009,Jr,15.91%,9.52%,1.25%,40.00%,38.46%,24.00%,0.00%,0.00%,NA
6677,Ruslan Pateev,Arizona State,2009,Fr,0.00%,0.00%,NA,0.00%,22.22%,NA,16.67%,8.33%,0.00%
6678,Taylor Rohde,Arizona State,2009,So,15.38%,16.67%,0.00%,27.27%,0.00%,50.00%,23.08%,16.67%,0.00%
6681,Victor Rudd,Arizona State,2009,Fr,33.33%,0.00%,6.25%,0.00%,NA,21.43%,0.00%,0.00%,0.00%
6675,Jerren Shipp,Arizona State,2009,Sr,5.88%,11.11%,2.44%,33.33%,50.00%,38.71%,8.82%,5.56%,0.00%
6671,Brandon Thompson,Arizona State,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
6673,Demetrius Walker,Arizona State,2009,Fr,18.18%,0.00%,0.00%,28.57%,23.08%,31.25%,0.00%,6.25%,0.00%
6649,Kyle Fogg,Arizona,2009,So,7.50%,7.53%,0.00%,38.46%,37.88%,33.87%,2.50%,2.15%,0.00%
6653,Solomon Hill,Arizona,2009,Fr,7.25%,10.53%,0.00%,52.17%,29.73%,15.38%,14.49%,7.02%,0.00%
6647,Jamelle Horne,Arizona,2009,Jr,3.45%,5.19%,1.85%,36.36%,23.91%,22.58%,27.59%,3.90%,27.27%
6641,Alex Jacobson,Arizona,2009,So,0.00%,0.00%,0.00%,NA,50.00%,NA,100.00%,14.29%,0.00%
2540,Lamont Jones,Arizona,2009,Fr,10.26%,10.34%,0.00%,46.15%,31.25%,27.50%,5.13%,3.45%,0.00%
6646,Garland Judkins,Arizona,2009,RS-So,NA,0.00%,NA,NA,0.00%,NA,NA,0.00%,NA
6642,Brendon Lavender,Arizona,2009,So,20.00%,10.00%,0.00%,28.57%,14.29%,34.15%,0.00%,0.00%,NA
6650,Kyryl Natyazhko,Arizona,2009,Fr,5.26%,18.75%,0.00%,20.00%,21.74%,0.00%,31.58%,12.50%,0.00%
6648,Kevin Parrom,Arizona,2009,Fr,3.85%,6.45%,0.00%,60.00%,36.00%,27.27%,11.54%,12.90%,0.00%
6643,D.J. Shumpert,Arizona,2009,So,NA,0.00%,NA,NA,50.00%,NA,NA,0.00%,NA
6644,Derrick Williams,Arizona,2009,Fr,4.27%,16.13%,0.00%,51.22%,40.00%,10.00%,10.98%,6.45%,12.50%
6645,Dondre Wise,Arizona,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
2331,Nic Wise,Arizona,2009,Sr,14.49%,10.00%,1.46%,50.00%,24.36%,19.54%,0.00%,0.00%,NA
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,0.00%,0.00%,NA,0.00%,25.00%,NA,12.50%,0.00%,0.00%
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,18.63%,9.09%,0.00%,50.94%,38.46%,35.29%,5.88%,2.80%,0.00%
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,0.00%,0.00%,0.00%,0.00%,50.00%,25.00%,30.00%,25.00%,0.00%
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,15.56%,5.88%,0.00%,63.16%,32.56%,25.00%,20.00%,4.41%,16.67%
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,11.11%,22.92%,0.00%,41.18%,37.84%,23.53%,11.11%,2.08%,0.00%
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,14.71%,16.67%,0.00%,64.71%,57.14%,0.00%,8.82%,0.00%,0.00%
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,NA,NA,0.00%,NA,NA,0.00%,NA,NA,NA
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,0.00%,25.00%,0.00%,NA,33.33%,37.50%,0.00%,0.00%,NA
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,0.00%,0.00%,0.00%,33.33%,33.33%,22.22%,28.57%,0.00%,0.00%
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,18.18%,31.25%,0.00%,33.33%,18.18%,25.00%,0.00%,12.50%,0.00%
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,50.00%,NA,0.00%,50.00%,NA,33.33%,0.00%,NA,NA
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,11.11%,25.00%,0.00%,60.00%,25.00%,38.10%,22.22%,0.00%,0.00%
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,13.04%,4.76%,0.00%,35.71%,27.78%,41.18%,0.00%,0.00%,NA
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,12.50%,0.00%,100.00%,66.67%,100.00%,100.00%,12.50%,0.00%,0.00%
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,16.33%,12.05%,0.00%,58.33%,50.00%,32.00%,0.00%,2.41%,0.00%
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,8.33%,13.64%,0.00%,42.55%,53.33%,33.33%,2.78%,13.64%,0.00%
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,8.47%,8.53%,0.00%,39.29%,28.95%,36.21%,20.34%,3.10%,0.00%
4550,Martavius Adams,Arkansas State ,2009,So,2.84%,5.66%,NA,51.43%,29.17%,NA,13.48%,1.89%,14.29%
19725,Rashad Allison,Arkansas State ,2009,Jr,22.92%,3.45%,0.00%,15.00%,29.63%,21.88%,2.08%,0.00%,0.00%
19719,Donald Boone,Arkansas State ,2009,RS-Sr,NA,NA,NA,NA,NA,NA,NA,NA,NA
5976,JeJuan Brown,Arkansas State ,2009,Jr,4.44%,2.38%,0.00%,41.67%,19.35%,0.00%,11.11%,7.14%,0.00%
19718,Daniel Bryant,Arkansas State ,2009,So,8.33%,9.52%,0.00%,50.00%,41.67%,40.85%,0.00%,0.00%,0.00%
19721,Justin Butler,Arkansas State ,2009,Jr,9.09%,0.00%,0.00%,28.57%,33.33%,66.67%,18.18%,25.00%,0.00%
19726,Trey Finn,Arkansas State ,2009,Fr,13.95%,5.08%,0.00%,57.14%,36.59%,26.00%,23.26%,1.69%,0.00%
19724,Michael Lance,Arkansas State ,2009,Sr,NA,0.00%,0.00%,NA,0.00%,100.00%,NA,0.00%,NA
19716,Brandon Peterson,Arkansas State ,2009,Fr,6.49%,8.06%,0.00%,30.00%,26.67%,0.00%,25.97%,3.23%,4.55%
19717,Brandon Reed,Arkansas State ,2009,Fr,12.12%,5.07%,0.00%,51.16%,45.16%,37.14%,13.13%,1.45%,0.00%
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,11.11%,0.00%,0.00%,25.00%,20.00%,14.29%,0.00%,0.00%,NA
19720,Jeremy Thomas,Arkansas State ,2009,Jr,16.67%,22.22%,0.00%,58.82%,16.67%,100.00%,18.52%,11.11%,0.00%
5539,Marcus Britt,Arkansas,2009,Jr,0.00%,8.00%,0.00%,20.00%,38.46%,31.58%,23.81%,0.00%,0.00%
5536,Glenn Bryant,Arkansas,2009,Fr,8.70%,12.50%,0.00%,28.57%,40.00%,23.08%,17.39%,25.00%,0.00%
5543,Rotnei Clarke,Arkansas,2009,So,10.34%,3.45%,4.31%,45.45%,27.59%,22.13%,3.45%,0.00%,0.00%
