GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
16947,Steve Luptak,American University,2009,Jr,7,3,2,0,0,0,18,5,1,44,11,11,4,4
16945,Simon McCormack,American University,2009,So,65,41,26,0,0,0,51,14,6,0,0,0,31,26
16948,Vlad Moldoveanu,American University,2009,So,63,46,25,0,0,0,82,29,15,102,38,36,86,69
16936,Daniel Munoz (2),American University,2009,Fr,19,7,1,0,0,0,63,20,5,44,11,10,17,12
16941,Matthew Wilson,American University,2009,Jr,13,8,2,0,0,0,8,2,2,0,0,0,21,12
20990,Ryann Abraham,Appalachian State,2009,Sr,16,5,0,0,0,0,25,9,4,51,17,11,14,12
20981,J.R. Archer,Appalachian State,2009,Jr,0,0,0,0,0,0,0,0,0,4,0,0,4,3
20983,Jeremi Booth,Appalachian State,2009,Jr,20,12,4,5,4,1,56,21,8,89,38,36,17,13
20986,Kellen Brand,Appalachian State,2009,Sr,44,26,2,0,0,0,96,37,11,74,29,25,60,42
20980,Isaac Butts,Appalachian State,2009,Jr,149,105,38,0,0,0,72,28,9,0,0,0,50,27
20988,Nathan Healy,Appalachian State,2009,Fr,13,7,3,0,0,0,16,6,1,6,2,2,13,10
20978,A.J. Highsmith,Appalachian State,2009,Sr,0,0,0,0,0,0,0,0,0,17,7,6,0,0
20985,Josh Hunter,Appalachian State,2009,Sr,92,58,28,0,0,0,48,16,3,3,1,1,103,61
20982,Jacob Lail,Appalachian State,2009,So,2,1,1,0,0,0,1,0,0,0,0,0,0,0
20984,Josh Nirenberg,Appalachian State,2009,Fr,6,3,1,0,0,0,6,2,2,0,0,0,4,2
9581,Donald Sims,Appalachian State,2009,Jr,32,18,4,0,0,0,102,39,4,215,89,52,83,80
20991,Tyler Webb,Appalachian State,2009,Sr,7,6,2,0,0,0,14,5,4,20,9,9,5,2
20979,Andre Williamson,Appalachian State,2009,So,33,21,10,7,7,4,64,23,10,0,0,0,50,33
20987,Marcus Wright,Appalachian State,2009,So,22,14,4,0,0,0,53,22,6,40,12,8,29,21
6680,Ty Abbott,Arizona State,2009,Jr,32,15,4,2,1,0,59,20,11,141,54,51,44,38
1954,Eric Boateng,Arizona State,2009,Sr,110,81,43,17,17,12,57,28,8,0,0,0,93,48
4734,Derek Glasser,Arizona State,2009,Sr,31,10,5,0,0,0,73,19,3,88,33,15,71,61
6682,Marcus Jackson,Arizona State,2009,Fr,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6676,Rihards Kuksiks,Arizona State,2009,Jr,34,21,7,1,1,1,42,18,4,171,63,56,32,28
6679,Trent Lockett,Arizona State,2009,Fr,44,29,12,7,7,5,62,21,10,15,4,4,52,38
6674,Jamelle McMillan,Arizona State,2009,Jr,38,19,8,0,0,0,18,6,5,70,30,29,30,16
6677,Ruslan Pateev,Arizona State,2009,Fr,8,6,3,3,3,1,14,5,2,0,0,0,14,9
6678,Taylor Rohde,Arizona State,2009,So,26,16,11,0,0,0,7,3,2,4,0,0,24,13
6681,Victor Rudd,Arizona State,2009,Fr,3,2,1,0,0,0,1,1,0,15,4,3,2,1
6675,Jerren Shipp,Arizona State,2009,Sr,32,24,14,0,0,0,16,6,2,37,13,12,23,16
6671,Brandon Thompson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,4,2,2,0,0
6673,Demetrius Walker,Arizona State,2009,Fr,11,3,0,0,0,0,21,3,1,24,7,4,25,15
6649,Kyle Fogg,Arizona,2009,So,31,19,3,0,0,0,71,22,4,96,42,41,55,42
