GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
20981,J.R. Archer,Appalachian State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0
20983,Jeremi Booth,Appalachian State,2009,Jr,18,12,6,4,3,9,2,1,36,14,12,28,22
20986,Kellen Brand,Appalachian State,2009,Sr,52,34,15,0,0,17,7,3,29,10,10,55,47
20980,Isaac Butts,Appalachian State,2009,Jr,8,3,1,0,0,4,3,2,0,0,0,7,3
20988,Nathan Healy,Appalachian State,2009,Fr,9,6,5,0,0,2,1,1,1,1,1,13,9
20978,A.J. Highsmith,Appalachian State,2009,Sr,0,0,0,0,0,0,0,0,4,1,1,2,2
20985,Josh Hunter,Appalachian State,2009,Sr,15,13,11,0,0,5,1,0,1,0,0,16,6
20982,Jacob Lail,Appalachian State,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
20984,Josh Nirenberg,Appalachian State,2009,Fr,1,1,1,0,0,1,0,0,0,0,0,1,0
9581,Donald Sims,Appalachian State,2009,Jr,52,34,7,0,0,23,12,1,71,34,21,85,79
20991,Tyler Webb,Appalachian State,2009,Sr,1,1,1,0,0,2,0,0,4,2,2,4,2
20979,Andre Williamson,Appalachian State,2009,So,12,10,7,5,4,4,3,1,0,0,0,30,19
20987,Marcus Wright,Appalachian State,2009,So,18,11,6,1,1,9,3,2,9,5,5,10,5
6680,Ty Abbott,Arizona State,2009,Jr,15,14,8,2,2,6,2,2,46,23,23,12,6
1954,Eric Boateng,Arizona State,2009,Sr,3,3,3,2,2,3,2,1,0,0,0,12,8
4734,Derek Glasser,Arizona State,2009,Sr,16,10,2,0,0,6,5,1,18,7,3,45,37
6682,Marcus Jackson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
6676,Rihards Kuksiks,Arizona State,2009,Jr,12,9,7,3,2,7,4,3,37,16,15,22,19
6679,Trent Lockett,Arizona State,2009,Fr,23,18,17,5,4,8,3,2,3,0,0,29,19
6674,Jamelle McMillan,Arizona State,2009,Jr,7,5,3,0,0,4,2,1,17,4,4,6,5
6677,Ruslan Pateev,Arizona State,2009,Fr,2,1,1,1,0,2,1,1,0,0,0,0,0
6678,Taylor Rohde,Arizona State,2009,So,5,3,2,0,0,0,0,0,0,0,0,8,5
6681,Victor Rudd,Arizona State,2009,Fr,1,1,0,1,1,0,0,0,7,1,1,2,2
6675,Jerren Shipp,Arizona State,2009,Sr,4,3,1,0,0,3,0,0,9,0,0,13,11
6671,Brandon Thompson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
6673,Demetrius Walker,Arizona State,2009,Fr,4,3,2,0,0,3,1,1,6,4,4,6,3
6649,Kyle Fogg,Arizona,2009,So,12,11,2,0,0,26,5,1,17,5,5,41,30
6653,Solomon Hill,Arizona,2009,Fr,10,8,2,2,2,9,4,1,4,0,0,29,20
6647,Jamelle Horne,Arizona,2009,Jr,7,4,2,2,1,8,4,1,29,10,10,9,7
6641,Alex Jacobson,Arizona,2009,So,0,0,0,0,0,1,1,1,0,0,0,1,0
2540,Lamont Jones,Arizona,2009,Fr,16,13,8,0,0,24,14,0,10,2,2,15,11
