GMID,Name,School,Year,Grade,AST,A2PJ,S2P,A3P,DunkAss,TO,TOFoul,TOSteal,TOMisc
16936,Daniel Munoz (2),American University,2009,Fr,67,13,26,28,3,52,0,38,14
16941,Matthew Wilson,American University,2009,Jr,21,6,7,8,0,15,2,5,8
20990,Ryann Abraham,Appalachian State,2009,Sr,86,14,31,41,3,53,3,28,22
20981,J.R. Archer,Appalachian State,2009,Jr,0,0,0,0,0,0,0,0,0
20983,Jeremi Booth,Appalachian State,2009,Jr,33,6,13,14,2,36,2,22,12
20986,Kellen Brand,Appalachian State,2009,Sr,73,8,28,37,2,80,4,29,47
20980,Isaac Butts,Appalachian State,2009,Jr,30,7,8,15,1,71,8,27,36
20988,Nathan Healy,Appalachian State,2009,Fr,7,1,4,2,0,19,0,13,6
20978,A.J. Highsmith,Appalachian State,2009,Sr,2,0,1,1,0,2,0,1,1
20985,Josh Hunter,Appalachian State,2009,Sr,39,6,17,16,2,48,3,18,27
20982,Jacob Lail,Appalachian State,2009,So,0,0,0,0,0,0,0,0,0
20984,Josh Nirenberg,Appalachian State,2009,Fr,0,0,0,0,0,2,0,2,0
9581,Donald Sims,Appalachian State,2009,Jr,79,14,23,42,2,83,2,49,32
20991,Tyler Webb,Appalachian State,2009,Sr,6,4,2,0,0,12,0,8,4
20979,Andre Williamson,Appalachian State,2009,So,18,2,6,10,0,38,2,22,14
20987,Marcus Wright,Appalachian State,2009,So,39,6,18,15,0,48,1,25,22
6680,Ty Abbott,Arizona State,2009,Jr,49,8,22,19,7,47,7,21,19
1954,Eric Boateng,Arizona State,2009,Sr,29,3,10,16,0,67,17,14,36
4734,Derek Glasser,Arizona State,2009,Sr,145,18,49,78,10,67,2,41,24
6682,Marcus Jackson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0
6676,Rihards Kuksiks,Arizona State,2009,Jr,52,10,21,21,4,37,4,21,12
6679,Trent Lockett,Arizona State,2009,Fr,24,4,8,12,1,40,3,19,18
6674,Jamelle McMillan,Arizona State,2009,Jr,70,10,23,37,4,28,2,18,8
6677,Ruslan Pateev,Arizona State,2009,Fr,3,1,0,2,0,6,2,1,3
6678,Taylor Rohde,Arizona State,2009,So,3,0,0,3,0,5,0,2,3
6681,Victor Rudd,Arizona State,2009,Fr,1,0,0,1,0,3,0,2,1
6675,Jerren Shipp,Arizona State,2009,Sr,15,2,5,8,2,17,1,7,9
6671,Brandon Thompson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0
6673,Demetrius Walker,Arizona State,2009,Fr,12,1,6,5,0,13,2,8,3
6649,Kyle Fogg,Arizona,2009,So,63,8,30,25,14,63,3,35,25
6653,Solomon Hill,Arizona,2009,Fr,49,9,19,21,3,59,3,24,32
6647,Jamelle Horne,Arizona,2009,Jr,35,7,18,10,3,48,5,21,22
6641,Alex Jacobson,Arizona,2009,So,0,0,0,0,0,7,3,0,4
2540,Lamont Jones,Arizona,2009,Fr,41,9,11,21,4,40,1,11,28
6646,Garland Judkins,Arizona,2009,RS-So,2,1,1,0,0,4,0,2,2
6642,Brendon Lavender,Arizona,2009,So,21,0,6,13,1,18,1,11,6
6650,Kyryl Natyazhko,Arizona,2009,Fr,2,0,0,2,0,20,4,6,10
6648,Kevin Parrom,Arizona,2009,Fr,27,4,8,15,3,20,2,7,11
6643,D.J. Shumpert,Arizona,2009,So,1,0,0,1,0,1,0,0,1
6644,Derrick Williams,Arizona,2009,Fr,20,2,10,8,0,58,13,19,26
6645,Dondre Wise,Arizona,2009,So,0,0,0,0,0,0,0,0,0
2331,Nic Wise,Arizona,2009,Sr,97,15,34,48,9,71,3,30,38
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,1,1,0,0,0,6,1,4,1
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,112,17,56,39,15,92,7,43,42
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,4,0,3,1,0,11,1,2,8
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,12,2,8,2,3,29,4,13,12
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,20,6,6,8,0,65,11,24,30
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,11,1,6,4,3,11,5,1,5
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,0,0,0,0,0,1,0,1,0
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,4,0,2,2,0,4,0,3,1
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,5,0,3,2,1,11,0,7,4
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,7,2,5,0,0,19,0,9,10
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,4,2,1,1,0,1,0,1,0
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,8,1,5,2,0,14,3,4,7
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,61,13,31,16,5,48,4,27,17
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,1,0,0,1,0,3,0,2,1
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,44,11,20,13,4,61,4,23,34
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,61,12,26,23,2,86,3,39,44
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,15,5,9,1,0,51,5,25,21
4550,Martavius Adams,Arkansas State ,2009,So,20,1,12,7,3,64,7,32,25
19725,Rashad Allison,Arkansas State ,2009,Jr,111,21,42,48,15,64,0,37,27
19719,Donald Boone,Arkansas State ,2009,RS-Sr,0,0,0,0,0,1,0,0,1
5976,JeJuan Brown,Arkansas State ,2009,Jr,9,2,5,2,0,25,1,5,19
19718,Daniel Bryant,Arkansas State ,2009,So,27,3,18,6,4,35,1,18,16
19721,Justin Butler,Arkansas State ,2009,Jr,5,1,1,3,0,5,1,2,2
19726,Trey Finn,Arkansas State ,2009,Fr,55,9,24,22,7,47,4,28,15
19724,Michael Lance,Arkansas State ,2009,Sr,2,0,1,1,0,0,0,0,0
19716,Brandon Peterson,Arkansas State ,2009,Fr,40,8,25,7,4,49,7,22,20
19717,Brandon Reed,Arkansas State ,2009,Fr,69,13,39,17,8,67,2,35,30
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,12,2,3,7,1,10,0,8,2
19720,Jeremy Thomas,Arkansas State ,2009,Jr,14,1,3,10,0,18,1,7,10
5539,Marcus Britt,Arkansas,2009,Jr,41,3,23,15,8,23,0,16,7
5536,Glenn Bryant,Arkansas,2009,Fr,5,0,4,1,1,8,1,4,3
5543,Rotnei Clarke,Arkansas,2009,So,34,8,15,11,6,33,2,19,12
5545,Stephen Cox,Arkansas,2009,Jr,6,1,2,3,0,1,1,0,0
5537,Jemal Farmer,Arkansas,2009,Jr,22,3,10,9,2,34,4,18,12
3642,Courtney Fortson,Arkansas,2009,So,96,10,51,35,17,83,8,43,32
5535,Delvon Johnson,Arkansas,2009,Jr,2,0,2,0,0,11,1,4,6
5534,Cody Lay,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0
5542,Nick Mason,Arkansas,2009,So,0,0,0,0,0,0,0,0,0
5532,Brandon Mitchell,Arkansas,2009,RS-Fr,1,1,0,0,0,1,1,0,0
5538,Julysses Nobles,Arkansas,2009,Fr,61,7,27,27,5,44,0,25,19
5540,Marshawn Powell,Arkansas,2009,Fr,40,7,12,21,1,62,5,29,28
5533,Chris Roberts,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0
5541,Michael Sanchez,Arkansas,2009,So,2,0,1,1,0,6,3,0,3
2330,Michael Washington,Arkansas,2009,Sr,21,0,18,3,3,47,10,13,24
5544,Stefan Welsh,Arkansas,2009,Sr,59,10,35,14,9,38,6,15,17
16988,Joe Clark,Army,2009,So,0,0,0,0,0,0,0,0,0
16984,Ella Ellis,Army,2009,Fr,2,0,0,2,0,14,0,4,10
