GMID,Name,School,Year,AST,A2PJ,S2P,A3P,DunkAss,TO,TOFoul,TOSteal,TOMisc
23875,Brian Freeman,Binghamton,2012,0,0,0,0,4,4,0,4,0
23876,Khalid Robinson,Fordham,2010,0,0,0,0,0,0,0,0,0
23876,Khalid Robinson,Fordham,2011,0,0,0,0,0,0,0,0,0
23876,Khalid Robinson,Fordham,2012,2,1,0,1,7,7,0,1,6
23876,Khalid Robinson,Fordham,2013,0,0,0,0,0,0,0,0,0
23878,Skylar Jones,Niagara,2010,0,0,0,0,3,3,0,1,2
23878,Skylar Jones,Niagara,2011,1,1,0,0,3,3,0,2,1
23878,Skylar Jones,Niagara,2012,NA,NA,NA,NA,NA,0,NA,NA,NA
23879,Malcolm Lemmons,Niagara,2010,0,0,0,0,3,3,0,3,0
23879,Malcolm Lemmons,Niagara,2011,0,0,0,0,3,3,0,2,1
23879,Malcolm Lemmons,Niagara,2012,3,0,2,1,2,2,0,0,2
23880,Antoine Mason,Niagara,2010,1,0,1,0,3,3,0,3,0
23880,Antoine Mason,Niagara,2011,6,0,3,3,7,7,1,3,3
23880,Antoine Mason,Niagara,2012,4,0,2,2,8,8,1,3,4
23880,Antoine Mason,Niagara,2013,4,0,1,3,11,11,0,6,5
23880,Antoine Mason,Auburn,2014,11,1,6,4,21,21,4,5,12
23881,Joe Thomas,Niagara,2011,1,0,1,0,5,5,0,3,2
23881,Joe Thomas,Niagara,2012,4,0,2,2,1,1,0,0,1
23881,Joe Thomas,Niagara,2013,1,0,0,1,1,1,0,0,1
23881,Joe Thomas,Miami (FL),2014,6,2,2,2,5,5,0,3,2
23882,Mike Glover,Iona,2010,22,2,10,10,56,56,4,22,30
23882,Mike Glover,Iona,2011,15,2,8,5,38,38,3,13,22
23883,Sean Armand,Iona,2010,7,1,2,4,9,9,1,2,6
23883,Sean Armand,Iona,2011,15,4,8,3,13,13,1,7,5
23883,Sean Armand,Iona,2012,63,10,24,28,44,44,2,22,20
23883,Sean Armand,Iona,2013,97,10,42,45,52,52,5,24,23
23884,Randy Dezouvre,Iona,2010,9,0,2,7,7,7,0,4,3
23884,Randy Dezouvre,Iona,2011,14,1,8,5,16,16,1,9,6
23885,Aleksander Kesic,Iona,2010,0,0,0,0,0,0,0,0,0
23886,Jayon James,Iona,2010,3,0,1,2,5,5,1,2,2
23886,Jayon James,Louisiana-Monroe,2012,8,1,4,3,12,12,1,7,4
23886,Jayon James,Louisiana-Monroe,2013,15,0,7,8,6,6,0,6,0
23887,Maurice Barrow,Fairfield,2010,2,1,0,1,5,5,2,2,1
23887,Maurice Barrow,Fairfield,2011,19,1,10,8,10,10,0,6,4
23887,Maurice Barrow,Fairfield,2012,3,1,0,2,3,3,0,1,2
23887,Maurice Barrow,Fairfield,2013,4,0,2,2,7,7,1,4,2
23888,Jamel Fields,Fairfield,2010,9,0,6,3,3,3,1,1,1
23888,Jamel Fields,Fairfield,2011,6,0,0,6,5,5,1,4,0
23888,Jamel Fields,Saint Peter's,2013,2,2,0,0,4,4,0,1,3
23888,Jamel Fields,Saint Peter's,2014,0,0,0,0,3,3,0,3,0
23889,Kristian Petric,Fairfield,2010,NA,NA,NA,NA,NA,0,NA,NA,NA
23890,Keith Matthews,Fairfield,2010,0,0,0,0,3,3,2,1,0
23890,Keith Matthews,Fairfield,2011,3,2,0,1,3,3,0,3,0
23890,Keith Matthews,Fairfield,2012,2,0,2,0,5,5,0,3,2
23891,Justin Drummond,Loyola (MD),2010,1,0,0,1,3,3,1,1,1
23891,Justin Drummond,Loyola (MD),2011,3,2,1,0,7,7,0,3,4
23891,Justin Drummond,Toledo,2013,6,5,0,1,1,1,0,0,1
23891,Justin Drummond,Toledo,2014,40,8,14,18,46,46,1,28,17
23892,Dylon Cormier,Loyola (MD),2010,5,1,2,2,5,5,0,3,2
23892,Dylon Cormier,Loyola (MD),2011,7,3,1,3,8,8,2,5,1
23892,Dylon Cormier,Loyola (MD),2012,8,1,4,3,6,6,0,2,4
23892,Dylon Cormier,Loyola (MD),2013,3,1,1,1,4,4,0,2,2
23893,Pierson Williams,Loyola (MD),2010,0,0,0,0,1,1,1,0,0
23893,Pierson Williams,Loyola (MD),2011,0,0,0,0,1,1,0,0,1
23894,Chido Onyiuke,Loyola (MD),2010,NA,NA,NA,NA,NA,0,NA,NA,NA
23894,Chido Onyiuke,Loyola (MD),2012,0,0,0,0,0,0,0,0,0
23894,Chido Onyiuke,Loyola (MD),2013,0,0,0,0,0,0,0,0,0
23895,Anthony Myles,Rider,2010,3,0,2,1,7,7,0,3,4
23895,Anthony Myles,Rider,2011,8,1,5,2,4,4,0,3,1
23895,Anthony Myles,Rider,2012,3,0,0,3,4,4,0,2,2
23895,Anthony Myles,Rider,2013,11,2,5,4,11,11,0,5,6
23896,Tommy Pereira,Rider,2010,0,0,0,0,1,1,0,1,0
23896,Tommy Pereira,Rider,2011,NA,NA,NA,NA,NA,0,NA,NA,NA
23896,Tommy Pereira,Rider,2012,1,1,0,0,0,0,0,0,0
23896,Tommy Pereira,Rider,2013,8,1,3,4,3,3,0,1,2
23897,Danny Stewart,Rider,2010,1,0,0,1,8,8,0,5,3
23897,Danny Stewart,Rider,2011,1,0,1,0,5,5,0,3,2
23897,Danny Stewart,Rider,2012,6,0,1,5,3,3,1,0,2
23897,Danny Stewart,Rider,2013,4,0,1,3,16,16,3,7,6
23898,Ashton Khan,Canisius,2010,0,0,0,0,1,1,0,0,1
23899,Eric Kindler,Canisius,2010,1,0,1,0,2,2,0,1,1
23899,Eric Kindler,Saint Joseph's,2012,1,0,0,1,0,0,0,0,0
23899,Eric Kindler,Saint Joseph's,2013,1,0,1,0,2,2,0,1,1
23900,David Santiago,Canisius,2011,1,0,1,0,1,1,1,0,0
23901,Chris Manhertz,Canisius,2010,0,0,0,0,0,0,0,0,0
23901,Chris Manhertz,Canisius,2011,3,2,0,1,8,8,1,4,3
23901,Chris Manhertz,Canisius,2012,2,0,1,1,8,8,2,1,5
23901,Chris Manhertz,Canisius,2013,4,0,2,2,11,11,1,7,3
23902,Marial Dahl,Canisius,2010,0,0,0,0,1,1,0,0,1
23902,Marial Dahl,Canisius,2011,0,0,0,0,0,0,0,0,0
23903,Michael Alvarado,Manhattan,2010,2,2,0,0,3,3,1,1,1
23903,Michael Alvarado,Manhattan,2011,10,0,3,7,8,8,1,3,4
23903,Michael Alvarado,Manhattan,2012,8,1,1,6,15,15,0,6,9
23903,Michael Alvarado,Manhattan,2013,63,3,36,24,26,26,4,16,6
23904,Rhamel Brown,Manhattan,2010,1,0,1,0,1,1,0,1,0
23904,Rhamel Brown,Manhattan,2011,1,0,0,1,2,2,0,0,2
23904,Rhamel Brown,Manhattan,2012,5,0,2,3,14,14,3,5,6
23904,Rhamel Brown,Manhattan,2013,10,1,3,6,18,18,5,6,7
23905,Kidani Brutus,Manhattan,2010,3,1,2,0,3,3,0,1,2
23905,Kidani Brutus,Manhattan,2011,6,1,2,3,3,3,0,1,2
23906,Roberto Colonette,Manhattan,2011,1,0,0,1,2,2,0,1,1
23906,Roberto Colonette,Manhattan,2012,1,0,0,1,10,10,1,6,3
23907,Robert Martina,Manhattan,2010,0,0,0,0,0,0,0,0,0
23908,Anell Alexis,Marist,2010,2,1,1,0,3,3,1,2,0
23908,Anell Alexis,Marist,2011,0,0,0,0,1,1,0,0,1
23908,Anell Alexis,Marist,2012,0,0,0,0,0,0,0,0,0
23908,Anell Alexis,Norfolk State,2013,4,1,1,2,4,4,0,2,2
23909,Kelsey Grant,Saint Peter's,2010,0,0,0,0,0,0,0,0,0
23910,Chris Burke,Saint Peter's,2010,1,1,0,0,2,2,0,2,0
23910,Chris Burke,Saint Peter's,2011,1,0,0,0,9,9,3,4,2
23910,Chris Burke,Saint Peter's,2012,3,2,1,0,0,0,0,0,0
23910,Chris Burke,Saint Peter's,2013,8,1,4,3,8,8,1,3,4
23911,Trenity Burdine,Siena,2010,1,0,0,1,3,3,1,0,2
23911,Trenity Burdine,Siena,2012,4,1,1,2,2,2,0,1,1
23912,Steven Cruz,Siena,2010,0,0,0,0,0,0,0,0,0
23912,Steven Cruz,Siena,2011,0,0,0,0,0,0,0,0,0
23912,Steven Cruz,Siena,2012,NA,NA,NA,NA,NA,0,NA,NA,NA
23912,Steven Cruz,Siena,2013,0,0,0,0,2,2,0,2,0
23913,Rakeem Brookins,Siena,2010,4,1,2,1,13,13,1,8,4
23913,Rakeem Brookins,Siena,2012,0,0,0,0,0,0,0,0,0
23914,Jay Bowie,Marist,2010,4,1,0,3,11,11,2,3,6
23914,Jay Bowie,Marist,2011,6,0,3,3,6,6,0,2,4
23914,Jay Bowie,Marist,2012,10,3,4,3,7,7,0,5,2
23914,Jay Bowie,Marist,2013,6,1,4,1,9,9,0,6,3
23915,Adam Kemp,Marist,2010,2,0,1,1,10,10,0,7,3
23915,Adam Kemp,Marist,2011,6,1,3,1,9,9,1,6,2
23915,Adam Kemp,Marist,2012,2,0,0,2,11,11,2,4,5
23915,Adam Kemp,Marist,2013,0,0,0,0,8,8,0,4,4
23916,Pieter Prinsloo,Marist,2010,0,0,0,0,3,3,2,1,0
23916,Pieter Prinsloo,Marist,2011,1,0,0,1,1,1,0,1,0
23916,Pieter Prinsloo,Marist,2012,0,0,0,0,2,2,0,2,0
23916,Pieter Prinsloo,Marist,2013,0,0,0,0,3,3,0,3,0
23917,Menelik Watson,Marist,2010,1,1,0,0,7,7,1,6,0
23918,Auston Barnes,Central Michigan,2010,0,0,0,0,1,1,0,1,0
23918,Auston Barnes,Central Michigan,2011,0,0,0,0,1,1,0,1,0
23918,Auston Barnes,Bradley,2013,5,2,1,2,4,4,0,2,2
23918,Auston Barnes,Bradley,2014,7,1,2,4,13,13,0,8,5
23919,Andre Coimbra,Central Michigan,2010,0,0,0,0,4,4,0,2,2
23919,Andre Coimbra,Central Michigan,2011,3,1,1,1,6,6,4,1,1
23920,Paris Paramore,Central Michigan,2010,0,0,0,0,0,0,0,0,0
23922,Nate Van Arendonk,Central Michigan,2010,NA,NA,NA,NA,NA,0,NA,NA,NA
23923,Colin Voss,Central Michigan,2010,0,0,0,0,0,0,0,0,0
23923,Colin Voss,North Texas,2013,2,2,0,0,4,4,1,2,1
23923,Colin Voss,North Texas,2014,6,1,2,3,9,9,3,2,4
23924,Luke Wiest,Central Michigan,2011,NA,NA,NA,NA,NA,0,NA,NA,NA
23924,Luke Wiest,Central Michigan,2012,NA,NA,NA,NA,NA,0,NA,NA,NA
23925,Derek Jackson,Central Michigan,2010,0,0,0,0,1,1,0,1,0
23925,Derek Jackson,Central Michigan,2011,5,1,2,2,8,8,0,6,2
23925,Derek Jackson,Kent State,2013,3,0,1,2,3,3,0,2,1
23925,Derek Jackson,Kent State,2014,13,2,4,7,4,4,0,4,0
23926,Jevon Harden,Central Michigan,2010,0,0,0,0,0,0,0,0,0
23926,Jevon Harden,Central Michigan,2011,0,0,0,0,0,0,0,0,0
23928,Mark Henniger,Kent State,2010,2,1,1,0,6,6,1,2,3
23928,Mark Henniger,Kent State,2011,2,1,1,0,2,2,0,1,1
23928,Mark Henniger,Kent State,2012,0,0,0,0,5,5,2,0,3
23928,Mark Henniger,Kent State,2013,1,0,1,0,1,1,0,0,1
23929,DeAndre Nealy,Kent State,2010,2,0,1,1,4,4,1,1,2
23930,Scooter Johnson,Kent State,2010,8,3,4,1,12,12,0,8,4
23930,Scooter Johnson,Kent State,2011,0,0,0,0,0,0,0,0,0
23931,Darius Leonard,Kent State,2010,1,1,0,0,3,3,0,2,1
23931,Darius Leonard,Campbell,2012,1,0,0,1,5,5,0,4,1
23931,Darius Leonard,Campbell,2013,4,0,0,4,3,3,0,1,2
23931,Darius Leonard,Wake Forest,2014,1,0,0,1,6,6,0,6,0
23932,T.J. Hall,Ohio,2010,2,0,1,1,3,3,0,1,2
23932,T.J. Hall,Ohio,2011,12,1,4,7,16,16,3,6,7
23932,T.J. Hall,Ohio,2012,19,4,13,2,21,21,2,9,10
23932,T.J. Hall,Ohio,2013,0,0,0,0,6,6,0,1,5
23933,Ethan Jacobs,Ohio,2010,0,0,0,0,1,1,0,0,1
23933,Ethan Jacobs,Ohio,2011,1,1,0,0,1,1,1,0,0
23933,Ethan Jacobs,Colgate,2013,1,0,0,1,3,3,0,0,3
23933,Ethan Jacobs,Colgate,2014,4,1,3,0,2,2,0,1,1
23934,Ricardo Johnson,Ohio,2010,0,0,0,0,1,1,0,0,1
23934,Ricardo Johnson,Ohio,2011,15,2,7,6,16,16,0,8,8
23934,Ricardo Johnson,Ohio,2012,27,5,9,11,22,22,1,13,8
23934,Ricardo Johnson,Ohio,2013,3,0,2,1,4,4,0,2,2
23935,Nick Kellogg,Ohio,2010,5,1,1,3,6,6,0,4,2
23935,Nick Kellogg,Ohio,2011,29,3,9,16,26,26,0,18,8
23935,Nick Kellogg,Ohio,2012,33,5,13,15,27,27,2,14,11
23935,Nick Kellogg,Ohio,2013,2,0,1,1,3,3,0,2,1
23936,Alex Abreu,Akron,2010,26,4,5,17,13,13,0,10,3
23936,Alex Abreu,Akron,2011,109,10,60,39,58,58,1,33,24
23936,Alex Abreu,Akron,2012,116,18,56,40,55,55,0,32,23
23937,Josh Egner,Akron,2010,0,0,0,0,0,0,0,0,0
23937,Josh Egner,Akron,2011,2,0,1,1,7,7,0,4,3
23938,Dakotah Euton,Akron,2010,0,0,0,0,0,0,0,0,0
23939,Michael Green (2),Akron,2011,1,0,1,0,0,0,0,0,0
23940,Matt Kamieniecki,Ball State,2010,2,0,2,0,2,2,0,0,2
23940,Matt Kamieniecki,Ball State,2011,0,0,0,0,0,0,0,0,0
23940,Matt Kamieniecki,Ball State,2012,4,1,1,2,3,3,0,1,2
23940,Matt Kamieniecki,Ball State,2014,1,0,1,0,5,5,0,4,1
23941,Jay Copeland,Ball State,2010,1,0,0,1,0,0,0,0,0
23941,Jay Copeland,North Carolina Central,2012,0,0,0,0,4,4,1,2,1
23941,Jay Copeland,North Carolina Central,2013,5,0,5,0,32,32,9,9,14
23941,Jay Copeland,North Carolina Central,2015,0,0,0,0,2,2,1,0,1
23942,Tyrae Robinson,Ball State,2010,6,2,2,2,11,11,2,4,5
23942,Tyrae Robinson,Ball State,2011,7,2,3,2,4,4,0,2,2
23943,Chris Bond,Ball State,2010,3,0,3,0,2,2,1,1,0
23943,Chris Bond,Ball State,2011,2,0,0,2,6,6,0,1,5
23943,Chris Bond,Ball State,2012,3,2,1,0,7,7,0,4,3
23943,Chris Bond,Ball State,2013,4,2,1,1,8,8,1,4,3
23944,Adrian Tucker,Ball State,2010,0,0,0,0,0,0,0,0,0
23945,Jesse Berry,Ball State,2010,9,1,7,1,3,3,1,1,1
23945,Jesse Berry,Ball State,2011,3,0,1,2,5,5,1,2,2
23945,Jesse Berry,Ball State,2012,11,2,6,3,17,17,2,8,7
23945,Jesse Berry,Ball State,2013,5,0,1,4,4,4,0,1,3
23946,Anthony Henderson,Bowling Green,2011,0,0,0,0,1,1,0,0,1
23946,Anthony Henderson,Bowling Green,2012,0,0,0,0,0,0,0,0,0
23946,Anthony Henderson,Bowling Green,2013,5,0,4,1,6,6,0,3,3
23946,Anthony Henderson,Bowling Green,2014,3,0,2,1,5,5,0,1,4
23947,Wiley Roberts,Bowling Green,2010,0,0,0,0,0,0,0,0,0
23948,Craig Sealey,Bowling Green,2010,0,0,0,0,0,0,0,0,0
23948,Craig Sealey,Bowling Green,2011,0,0,0,0,2,2,0,0,2
23948,Craig Sealey,Bowling Green,2012,2,0,2,0,4,4,0,2,2
23948,Craig Sealey,Bowling Green,2013,2,0,1,1,1,1,0,1,0
23949,Torian Oglesby,Bowling Green,2010,0,0,0,0,0,0,0,0,0
23949,Torian Oglesby,Bowling Green,2011,0,0,0,0,4,4,0,1,3
23950,Cameron Black,Bowling Green,2010,1,1,0,0,1,1,1,0,0
23950,Cameron Black,Bowling Green,2011,0,0,0,0,0,0,0,0,0
23950,Cameron Black,Bowling Green,2012,2,1,1,0,1,1,0,1,0
23950,Cameron Black,Bowling Green,2013,1,0,1,0,1,1,0,0,1
23951,Mike Dabney,Bowling Green,2010,0,0,0,0,1,1,0,1,0
23952,Jarod Oldham,Buffalo,2010,2,0,1,1,3,3,0,1,2
23952,Jarod Oldham,Buffalo,2011,143,20,86,37,61,61,1,35,25
23952,Jarod Oldham,Buffalo,2012,4,1,3,0,3,3,0,1,2
23952,Jarod Oldham,Buffalo,2013,4,0,2,2,6,6,0,5,1
23953,Richie Sebuharara,Buffalo,2011,1,1,0,0,0,0,0,0,0
23953,Richie Sebuharara,Buffalo,2012,2,0,1,1,1,1,0,1,0
23954,Corey Raley-Ross,Buffalo,2010,0,0,0,0,0,0,0,0,0
23954,Corey Raley-Ross,Buffalo,2011,7,1,2,4,10,10,0,7,3
23954,Corey Raley-Ross,Buffalo,2012,2,0,2,0,3,3,0,2,1
23954,Corey Raley-Ross,Buffalo,2013,NA,NA,NA,NA,NA,0,NA,NA,NA
23955,Javon McCrea,Buffalo,2010,5,0,4,1,10,10,1,6,3
23955,Javon McCrea,Buffalo,2011,45,5,19,20,53,53,4,27,22
23955,Javon McCrea,Buffalo,2012,14,1,8,5,13,13,1,6,6
23955,Javon McCrea,Buffalo,2013,0,0,0,0,4,4,0,4,0
23956,Auraum Nuiriankh,Buffalo,2010,0,0,0,0,0,0,0,0,0
23956,Auraum Nuiriankh,Buffalo,2011,6,2,3,1,16,16,0,9,7
23956,Auraum Nuiriankh,Buffalo,2012,10,0,6,4,5,5,0,3,2
23956,Auraum Nuiriankh,Buffalo,2013,0,0,0,0,1,1,0,0,1
23957,Cameron Downing,Buffalo,2010,0,0,0,0,0,0,0,0,0
23957,Cameron Downing,Buffalo,2011,5,0,2,3,5,5,0,1,4
23957,Cameron Downing,Buffalo,2012,1,0,0,1,7,7,5,0,2
23958,Adrian Burton,Eastern Michigan,2010,2,0,0,2,3,3,1,1,1
23959,Kenny Stewart,Eastern Michigan,2010,0,0,0,0,1,1,0,0,1
23960,Aksel Bolin,Northern Illinois,2010,1,1,0,0,4,4,1,2,1
23960,Aksel Bolin,Northern Illinois,2011,1,0,1,0,5,5,2,1,2
23960,Aksel Bolin,Northern Illinois,2012,4,1,1,2,5,5,1,2,2
23960,Aksel Bolin,Northern Illinois,2013,2,0,0,2,5,5,1,3,1
23961,Tre Edwards,Northern Illinois,2010,NA,NA,NA,NA,NA,0,NA,NA,NA
23962,Kyree Jones,Northern Illinois,2010,0,0,0,0,0,0,0,0,0
23962,Kyree Jones,Maryland-Eastern Shore,2012,7,1,2,4,4,4,0,3,1
23962,Kyree Jones,Maryland-Eastern Shore,2013,1,0,1,0,3,3,0,3,0
23963,Nate Rucker,Northern Illinois,2010,0,0,0,0,4,4,0,3,1
23963,Nate Rucker,Kennesaw State,2013,0,0,0,0,5,5,0,2,3
23963,Nate Rucker,Kennesaw State,2014,NA,NA,NA,NA,NA,0,NA,NA,NA
23964,Tim Toler,Northern Illinois,2010,3,0,1,2,7,7,2,4,1
23964,Tim Toler,Northern Illinois,2011,0,0,0,0,3,3,0,2,1
23965,Jess Chadwell,Toledo,2010,3,0,1,2,4,4,0,3,1
23966,Delino Dear,Toledo,2010,3,2,0,1,11,11,1,5,5
23966,Delino Dear,Toledo,2011,1,0,1,0,0,0,0,0,0
23966,Delino Dear,Toledo,2012,NA,NA,NA,NA,NA,0,NA,NA,NA
23966,Delino Dear,Bethune-Cookman,2014,0,0,0,0,0,0,0,0,0
23967,Reese Holliday,Toledo,2010,5,2,2,1,13,13,0,8,5
23967,Reese Holliday,Toledo,2011,1,0,0,1,4,4,0,2,2
23967,Reese Holliday,Toledo,2012,5,2,0,3,5,5,0,4,1
23967,Reese Holliday,Missouri-Kansas City,2014,2,0,1,1,7,7,0,5,2
23968,Zack Leahy,Toledo,2010,6,4,1,1,18,18,0,11,7
23969,J.T. Thomas,Toledo,2010,3,0,0,3,2,2,0,0,2
23969,J.T. Thomas,Little Rock,2013,1,1,0,0,3,3,0,1,2
23969,J.T. Thomas,Little Rock,2014,8,4,1,3,4,4,0,3,1
23970,Richard Wonnell,Toledo,2010,1,0,1,0,2,2,0,1,1
23970,Richard Wonnell,Toledo,2011,0,0,0,0,1,1,0,1,0
23970,Richard Wonnell,Toledo,2012,1,0,0,1,0,0,0,0,0
23971,Caleb Dean,Western Michigan,2010,0,0,0,0,0,0,0,0,0
23971,Caleb Dean,Western Michigan,2011,0,0,0,0,1,1,0,0,1
23972,"Juwan Howard, Jr.",Western Michigan,2010,4,0,1,3,3,3,0,1,2
23972,"Juwan Howard, Jr.",Detroit-Mercy,2012,32,8,14,10,22,22,2,10,10
23972,"Juwan Howard, Jr.",Detroit-Mercy,2013,6,0,3,3,5,5,0,1,4
23972,"Juwan Howard, Jr.",Detroit-Mercy,2014,20,3,8,9,27,27,2,13,12
23973,Dan Loney,Western Michigan,2010,0,0,0,0,1,1,1,0,0
23973,Dan Loney,Western Michigan,2011,0,0,0,0,1,1,0,1,0
23973,Dan Loney,Western Michigan,2012,1,0,0,1,0,0,0,0,0
23974,Matt Stainbrook,Western Michigan,2010,0,0,0,0,2,2,0,1,1
23974,Matt Stainbrook,Western Michigan,2011,6,1,2,3,15,15,2,9,4
23974,Matt Stainbrook,Xavier,2013,64,11,34,19,49,49,4,23,22
23974,Matt Stainbrook,Xavier,2014,82,4,36,42,64,64,4,35,25
23975,Aaron Anderson (2),Kennesaw State,2010,2,0,1,1,4,4,0,3,1
23975,Aaron Anderson (2),Kennesaw State,2011,8,2,1,5,4,4,0,1,3
23975,Aaron Anderson (2),Kennesaw State,2012,5,1,0,4,6,6,1,3,2
23976,Tanner Hoyt,Liberty,2010,NA,NA,NA,NA,NA,0,NA,NA,NA
23976,Tanner Hoyt,Liberty,2011,NA,NA,NA,NA,NA,0,NA,NA,NA
23977,Jamaal Franklin,San Diego State,2010,7,1,5,1,10,10,1,5,4
23977,Jamaal Franklin,San Diego State,2011,38,5,19,14,84,84,14,33,37
23977,Jamaal Franklin,San Diego State,2012,83,13,43,27,79,79,9,38,32
23978,LaBradford Franklin,San Diego State,2010,20,3,11,6,15,15,1,7,7
23978,LaBradford Franklin,San Diego State,2011,49,7,20,22,37,37,5,12,20
23978,LaBradford Franklin,San Diego State,2012,2,1,1,0,0,0,0,0,0
23980,Ted Bancroft,Providence,2010,0,0,0,0,1,1,0,1,0
23980,Ted Bancroft,Providence,2011,0,0,0,0,1,1,0,1,0
23980,Ted Bancroft,Providence,2012,9,2,3,4,15,15,0,10,5
23980,Ted Bancroft,Providence,2013,3,0,3,0,3,3,0,2,1
23980,Ted Bancroft,Providence,2014,2,1,0,1,3,3,0,0,3
23982,Donovan Carter,Winthrop,2012,NA,NA,NA,NA,NA,0,NA,NA,NA
23982,Donovan Carter,Winthrop,2013,0,0,0,0,2,2,1,0,1
23983,Jean Selus,Illinois,2010,1,0,1,0,0,0,0,0,0
23983,Jean Selus,Illinois,2011,1,1,0,0,0,0,0,0,0
23984,Benjamin Stewart,Connecticut,2010,0,0,0,0,0,0,0,0,0
23984,Benjamin Stewart,Connecticut,2011,0,0,0,0,0,0,0,0,0
23985,Diamon Alexander,Alabama A&M,2010,1,0,0,1,2,2,1,1,0
23985,Diamon Alexander,Alabama A&M,2011,0,0,0,0,0,0,0,0,0
23986,Blake Kirby,Tennessee State,2010,0,0,0,0,0,0,0,0,0
23987,Darien Johnson,Alcorn State,2010,NA,NA,NA,NA,NA,0,NA,NA,NA
23988,Jeremy Richards,Alcorn State,2010,0,0,0,0,0,0,0,0,0
23989,Chris Welker,Army,2010,1,1,0,0,0,0,0,0,0
23991,Peter Dill,Seton Hall,2010,0,0,0,0,0,0,0,0,0
23991,Peter Dill,Seton Hall,2011,0,0,0,0,0,0,0,0,0
23992,Wesley Fritz,Sam Houston State,2010,NA,NA,NA,NA,NA,0,NA,NA,NA
23992,Wesley Fritz,Sam Houston State,2011,0,0,0,0,0,0,0,0,0
23993,Hunter Jeffery,Alabama,2010,2,2,0,0,0,0,0,0,0
23995,Reginald Franklin,New Orleans,2010,0,0,0,0,0,0,0,0,0
23996,Kevin Caire,New Orleans,2010,0,0,0,0,0,0,0,0,0
23997,Demetrious Smith,Arkansas-Pine Bluff,2010,NA,NA,NA,NA,NA,0,NA,NA,NA
23997,Demetrious Smith,Arkansas-Pine Bluff,2011,0,0,0,0,4,4,1,3,0
23998,Marvin Adu,Prairie View A&M,2010,0,0,0,0,0,0,0,0,0
23998,Marvin Adu,Prairie View A&M,2011,0,0,0,0,0,0,0,0,0
23999,Matt Heneveld,Michigan State,2010,0,0,0,0,0,0,0,0,0
24000,Dan Chapman,Michigan State,2011,1,0,1,0,0,0,0,0,0
24000,Dan Chapman,Michigan State,2012,0,0,0,0,0,0,0,0,0
24000,Dan Chapman,Michigan State,2013,1,0,0,1,1,1,0,1,0
24031,Enosch Wolf,Connecticut,2010,0,0,0,0,4,4,0,2,2
24031,Enosch Wolf,Connecticut,2011,0,0,0,0,0,0,0,0,0
24031,Enosch Wolf,Connecticut,2012,8,3,1,4,10,10,2,3,5
24032,Jeffrey Kennings,Florida A&M,2010,0,0,0,0,0,0,0,0,0
24032,Jeffrey Kennings,Florida A&M,2011,0,0,0,0,3,3,0,3,0
24033,Max Banchy,New Orleans,2010,0,0,0,0,0,0,0,0,0
24033,Max Banchy,New Orleans,2011,0,0,0,0,2,2,0,1,1
24033,Max Banchy,New Orleans,2012,1,0,1,0,2,2,0,1,1
24034,K.C. Ross-Miller,New Orleans,2010,0,0,0,0,0,0,0,0,0
24034,K.C. Ross-Miller,New Mexico State,2012,56,11,37,8,38,38,3,17,18
24034,K.C. Ross-Miller,New Mexico State,2013,62,7,31,22,32,32,3,13,16
24034,K.C. Ross-Miller,Auburn,2014,23,2,9,12,31,31,1,16,14
24035,Jordan Harris,Bryant,2010,0,0,0,0,1,1,0,1,0
24035,Jordan Harris,Bryant,2011,0,0,0,0,0,0,0,0,0
24037,DeMarcus Grady,Northern Illinois,2010,3,1,1,1,0,0,0,0,0
24037,DeMarcus Grady,Northern Illinois,2011,0,0,0,0,1,1,0,1,0
24038,Kaipo Sabas,Colorado State,2010,0,0,0,0,0,0,0,0,0
24038,Kaipo Sabas,Colorado State,2011,23,2,11,9,30,30,0,15,15
24039,Donald Brooks,Houston,2011,NA,NA,NA,NA,NA,0,NA,NA,NA
24039,Donald Brooks,Houston,2012,NA,NA,NA,NA,NA,0,NA,NA,NA
24040,Andrew Griffin,Virginia Tech,2010,0,0,0,0,1,1,0,0,1
24041,Anthony Baskerville,Rhode Island,2010,0,0,0,0,0,0,0,0,0
24042,Miah Ostrowski,Hawaii,2010,8,1,6,1,3,3,0,2,1
24042,Miah Ostrowski,Hawaii,2011,19,4,12,3,9,9,0,6,3
24043,Lamount Samuell,Fordham,2010,7,3,1,3,3,3,0,2,1
24043,Lamount Samuell,Fordham,2011,5,0,4,1,7,7,0,3,4
24044,Jamal Mitchell,Gardner-Webb,2010,0,0,0,0,0,0,0,0,0
24044,Jamal Mitchell,Gardner-Webb,2011,0,0,0,0,0,0,0,0,0
24044,Jamal Mitchell,UNC Greensboro,2013,0,0,0,0,0,0,0,0,0
24044,Jamal Mitchell,UNC Greensboro,2014,0,0,0,0,0,0,0,0,0
24045,DeAndre Hopkins,Clemson,2010,1,1,0,0,3,3,0,2,1
24046,Prince Parker,Virginia Tech,2010,0,0,0,0,0,0,0,0,0
24123,Guy Edi,Gonzaga,2011,16,5,3,8,18,18,3,6,9
24123,Guy Edi,Gonzaga,2012,6,1,1,4,16,16,0,8,8
24146,Quincy Miller,Baylor,2011,49,7,23,18,61,61,12,24,25
24147,Le'Bryan Nash,Oklahoma State,2011,30,7,9,14,64,64,9,26,29
