GMID,Name,School,Year,Grade,A1PerRimAtt,A1Per2PT,PercFTsShootF
2331,Nic Wise,Arizona,2009,Sr,0.087,0.032,85.21%
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,0.125,0.083,66.67%
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,0.098,0.041,70.99%
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,0.000,0.000,0.00%
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,0.022,0.009,63.64%
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,0.056,0.036,81.58%
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,0.000,0.000,22.22%
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,NA,NA,NA
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,1.000,0.200,40.00%
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,0.000,0.000,62.50%
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,0.000,0.000,52.38%
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,0.000,0.000,0.00%
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,0.000,0.000,42.11%
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,0.217,0.114,63.89%
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,0.000,0.000,100.00%
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,0.143,0.053,72.16%
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,0.069,0.060,64.86%
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,0.068,0.021,70.42%
4550,Martavius Adams,Arkansas State ,2009,So,0.071,0.040,75.86%
19725,Rashad Allison,Arkansas State ,2009,Jr,0.042,0.015,57.14%
19719,Donald Boone,Arkansas State ,2009,RS-Sr,NA,NA,NA
5976,JeJuan Brown,Arkansas State ,2009,Jr,0.156,0.080,63.41%
19718,Daniel Bryant,Arkansas State ,2009,So,0.042,0.029,60.00%
19721,Justin Butler,Arkansas State ,2009,Jr,0.000,0.000,63.64%
19726,Trey Finn,Arkansas State ,2009,Fr,0.023,0.010,77.78%
19724,Michael Lance,Arkansas State ,2009,Sr,NA,0.000,NA
19716,Brandon Peterson,Arkansas State ,2009,Fr,0.091,0.050,63.64%
19717,Brandon Reed,Arkansas State ,2009,Fr,0.091,0.038,78.49%
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,0.111,0.063,60.00%
19720,Jeremy Thomas,Arkansas State ,2009,Jr,0.056,0.048,62.96%
5539,Marcus Britt,Arkansas,2009,Jr,0.048,0.022,66.67%
5536,Glenn Bryant,Arkansas,2009,Fr,0.130,0.097,60.00%
5543,Rotnei Clarke,Arkansas,2009,So,0.138,0.046,67.61%
5545,Stephen Cox,Arkansas,2009,Jr,0.000,0.000,50.00%
5537,Jemal Farmer,Arkansas,2009,Jr,0.057,0.022,63.16%
3642,Courtney Fortson,Arkansas,2009,So,0.062,0.041,66.67%
5535,Delvon Johnson,Arkansas,2009,Jr,0.118,0.083,50.00%
5534,Cody Lay,Arkansas,2009,Fr,NA,NA,NA
5542,Nick Mason,Arkansas,2009,So,NA,NA,NA
5532,Brandon Mitchell,Arkansas,2009,RS-Fr,0.000,0.000,NA
5538,Julysses Nobles,Arkansas,2009,Fr,0.074,0.042,63.83%
5540,Marshawn Powell,Arkansas,2009,Fr,0.107,0.065,67.74%
5533,Chris Roberts,Arkansas,2009,Fr,NA,NA,NA
5541,Michael Sanchez,Arkansas,2009,So,0.143,0.143,57.14%
2330,Michael Washington,Arkansas,2009,Sr,0.124,0.073,71.14%
5544,Stefan Welsh,Arkansas,2009,Sr,0.100,0.059,50.00%
16988,Joe Clark,Army,2009,So,NA,NA,NA
16984,Ella Ellis,Army,2009,Fr,0.125,0.063,84.62%
16996,Nathan Hedgecock,Army,2009,Jr,NA,NA,NA
16987,Jeremy Hence,Army,2009,Jr,0.065,0.048,85.00%
16995,Mitch McDonald,Army,2009,Jr,0.071,0.038,40.00%
47965,C.J. McElrath,Army,2009,Fr,NA,NA,NA
16991,Josh Miller,Army,2009,Sr,0.061,0.027,82.35%
16994,Marcus Nelson,Army,2009,Sr,0.049,0.039,70.00%
16986,Jason Pancoe,Army,2009,Fr,0.000,0.000,0.00%
16983,Cleveland Richard,Army,2009,Sr,0.090,0.033,78.75%
16992,Julian Simmons,Army,2009,So,0.083,0.024,79.31%
16989,Jon Sizemore,Army,2009,Sr,0.133,0.053,72.73%
16990,Jordan Springer,Army,2009,Fr,0.000,0.000,100.00%
16998,Tyrell Thompson,Army,2009,Sr,0.061,0.033,81.25%
16982,Chris Walker,Army,2009,Sr,0.013,0.009,78.57%
16985,Eric Zastoupil,Army,2009,Sr,0.025,0.015,64.29%
5590,Ty Armstrong,Auburn,2009,Fr,0.059,0.028,76.92%
5587,Rob Chubb,Auburn,2009,Fr,NA,NA,NA
5581,Jake Drum,Auburn,2009,So,NA,NA,NA
5584,Kenny Gabriel,Auburn,2009,So,0.000,0.000,100.00%
5586,Lucas Hargrove,Auburn,2009,Sr,0.063,0.039,70.37%
5578,Brendan Knox,Auburn,2009,Sr,0.137,0.113,70.00%
5582,Johnnie Lett,Auburn,2009,Sr,0.162,0.109,64.29%
5577,Andre Malone,Auburn,2009,Fr,0.000,0.000,75.00%
5589,Tony Neysmith,Auburn,2009,So,0.000,0.000,NA
4818,DeWayne Reed,Auburn,2009,Sr,0.082,0.057,72.57%
5579,Earnest Ross,Auburn,2009,Fr,0.077,0.051,47.62%
5580,Frankie Sullivan,Auburn,2009,So,0.113,0.071,60.00%
5583,Josh Wallace,Auburn,2009,Fr,0.000,0.000,0.00%
5588,Tay Waller,Auburn,2009,Sr,0.088,0.041,77.78%
5585,"Larry Williams, Jr.",Auburn,2009,Jr,1.000,1.000,0.00%
11659,Justin Blake,Austin Peay,2009,Fr,0.208,0.135,67.50%
11650,Caleb Brown,Austin Peay,2009,Jr,0.058,0.027,83.95%
11661,Tyrone Caldwell,Austin Peay,2009,So,0.140,0.098,67.21%
9444,Anthony Campbell,Austin Peay,2009,So,0.118,0.068,70.25%
11662,Wesley Channels,Austin Peay,2009,Sr,0.172,0.083,68.71%
11655,Ernest Fields,Austin Peay,2009,Sr,0.000,0.000,50.00%
11658,John Fraley,Austin Peay,2009,So,0.120,0.082,68.66%
11654,Eric Mosley,Austin Peay,2009,Fr,0.250,0.071,80.00%
11651,Chris Reaves,Austin Peay,2009,So,0.000,0.000,36.36%
11653,Duran Roberson,Austin Peay,2009,Jr,0.000,0.000,71.70%
11660,Marcel Williams,Austin Peay,2009,So,0.043,0.022,66.67%
11652,Christopher Wood,Austin Peay,2009,Fr,NA,NA,NA
11376,Brawley Chisholm,Ball State,2009,Sr,0.000,0.000,83.33%
11385,Randy Davis,Ball State,2009,So,0.103,0.051,77.59%
11388,Zach Fields,Ball State,2009,Fr,0.000,0.000,NA
11380,John Green,Ball State,2009,Fr,0.000,0.000,NA
11383,"Myron Green, Jr.",Ball State,2009,Fr,0.000,0.000,92.31%
69742,Maurice Hubbard,Ball State,2009,Fr,0.095,0.033,36.36%
11378,Jarrod Jones,Ball State,2009,So,0.079,0.036,71.93%
