GMID,Name,School,Year,Position,BS2P,PerRimABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,DunkedPutbacks,PerPBDunked,PutbacksOwn,PerS2APB,PerL2PAPB
2548,Osiris Eldridge,Illinois State,2009,Guard,45.93%,68.33%,85.10%,64.91%,24.56%,78.83%,NR,0.00%,NR,NR
2550,Jonathan Gibson,New Mexico State,2009,Guard,72.85%,45.30%,37.29%,28.32%,62.80%,0.00%,NR,85.37%,NR,NR
2551,Kyle Gibson,Louisiana Tech,2009,Guard,90.36%,37.52%,60.00%,62.97%,67.76%,0.00%,NR,85.37%,NR,NR
2557,Junior Salters,Wofford,2009,Guard,0.00%,100.00%,27.70%,21.58%,70.52%,0.00%,NR,49.68%,NR,NR
2558,Donald Sloan,Texas A&M,2009,Guard,67.51%,63.65%,43.99%,63.62%,54.13%,0.00%,NR,49.68%,NR,NR
2605,Ryan Anderson,Nebraska,2009,Guard,0.00%,100.00%,88.04%,56.19%,5.60%,0.00%,NR,85.37%,NR,NR
3521,Brad Redford,Xavier,2009,Guard,0.00%,NR,NR,NR,89.40%,0.00%,NR,0.00%,NR,NR
3521,Brad Redford,Xavier,2011,Guard,0.00%,NR,NR,97.23%,51.76%,0.00%,NR,0.00%,NR,NR
3521,Brad Redford,Xavier,2012,Guard,37.08%,NR,NR,8.39%,82.39%,0.00%,NR,0.00%,NR,NR
3522,David Kool,Western Michigan,2009,Guard,90.36%,29.31%,60.55%,67.19%,70.81%,0.00%,NR,97.09%,NR,NR
3528,John Roberson,Texas Tech,2009,Guard,90.36%,16.10%,10.43%,44.18%,65.39%,0.00%,NR,72.99%,NR,NR
3528,John Roberson,Texas Tech,2010,Guard,61.46%,9.93%,74.35%,64.09%,38.99%,0.00%,NR,0.00%,NR,NR
