GMID,Name,School,Year,L2PA,L2PM,S2PA,S2PM,A3PA,A3PM
30767,Grant Fiorentinos,SIU-Edwardsville,2015,22,10,9,3,0,0
30768,Jay Hook,Tulane,2011,2,0,2,0,15,3
30768,Jay Hook,Tulane,2012,1,0,0,0,11,2
30768,Jay Hook,Tulane,2013,21,6,16,9,62,29
30768,Jay Hook,Tulane,2014,14,6,6,5,59,24
30769,Max Keenan,Tulane,2012,0,0,0,0,0,0
30769,Max Keenan,Tulane,2013,2,0,0,0,2,1
30771,Lotanna Nwogbo,Tulane,2011,4,0,6,2,1,0
30771,Lotanna Nwogbo,Tulane,2012,0,0,5,2,0,0
30771,Lotanna Nwogbo,Longwood,2014,17,7,19,14,1,0
30771,Lotanna Nwogbo,Longwood,2015,34,10,48,35,1,1
30772,Ricky Tarrant,Tulane,2011,26,8,23,13,43,11
30772,Ricky Tarrant,Tulane,2012,44,11,17,8,67,19
30772,Ricky Tarrant,Alabama,2014,8,4,6,4,36,11
30772,Ricky Tarrant,Memphis,2015,11,3,9,2,21,6
30774,Jamie Booker,Tulsa,2011,0,0,0,0,0,0
30774,Jamie Booker,Tulsa,2012,0,0,0,0,0,0
30775,Jairus Coleman,Tulsa,2011,0,0,0,0,0,0
30776,Eric McClellan,Tulsa,2011,20,4,8,4,17,8
30776,Eric McClellan,Vanderbilt,2013,6,2,9,6,6,0
30776,Eric McClellan,Gonzaga,2014,0,0,2,1,5,3
30776,Eric McClellan,Gonzaga,2015,15,7,19,10,34,12
30777,Rashad Smith,Tulsa,2011,2,1,0,0,2,0
30777,Rashad Smith,Tulsa,2012,4,1,3,3,0,0
30777,Rashad Smith,Tulsa,2013,24,8,19,11,1,0
30777,Rashad Smith,Tulsa,2014,38,17,18,11,25,6
30777,Rashad Smith,Tulsa,2015,22,12,10,7,5,2
30778,Brandon Swannegan,Tulsa,2012,6,4,3,2,0,0
30778,Brandon Swannegan,Tulsa,2013,13,6,3,1,0,0
30778,Brandon Swannegan,Tulsa,2014,16,2,9,6,0,0
30778,Brandon Swannegan,Tulsa,2015,12,5,9,6,0,0
30779,David Wishon,Tulsa,2011,0,0,1,0,0,0
30779,David Wishon,Charleston,2013,9,3,12,6,0,0
30779,David Wishon,Charleston,2014,2,0,1,1,0,0
30779,David Wishon,Lipscomb,2015,5,2,3,1,0,0
30780,Herb Harrison,UAB,2011,5,1,2,1,0,0
30780,Herb Harrison,Eastern Kentucky,2013,0,0,0,0,0,0
30781,Isiah Jones,UAB,2012,1,1,0,0,10,2
30781,Isiah Jones,Southeast Missouri State,2014,8,3,7,4,27,12
30781,Isiah Jones,Southeast Missouri State,2015,11,1,6,0,31,11
30782,Alexander Scotland-Williamson,UAB,2011,1,0,1,1,0,0
30782,Alexander Scotland-Williamson,UAB,2012,2,0,0,0,0,0
30783,K.C. Whitaker,UAB,2011,5,0,1,0,25,6
30784,Rod Days,UCF,2011,1,0,0,0,5,1
30784,Rod Days,UCF,2012,2,1,0,0,7,2
30784,Rod Days,Campbell,2014,14,0,11,6,21,2
30784,Rod Days,Campbell,2015,6,2,5,3,22,8
30785,Wayne Martin,UCF,2011,0,0,0,0,0,0
30786,Kasey Wilson,UCF,2011,4,2,2,1,7,3
30786,Kasey Wilson,UCF,2012,10,2,20,12,21,13
30786,Kasey Wilson,UCF,2013,14,8,31,19,25,8
30786,Kasey Wilson,UCF,2014,15,7,27,14,27,13
30787,D'Von Campbell,UTEP,2011,9,2,0,0,12,5
30787,D'Von Campbell,Rutgers,2013,8,5,6,3,18,6
30788,C.J. Cooper,UTEP,2011,9,3,0,0,17,7
30788,C.J. Cooper,UTEP,2012,8,3,2,2,24,7
30788,C.J. Cooper,UTEP,2013,31,12,8,5,65,24
30788,C.J. Cooper,UTEP,2014,28,9,2,1,51,17
30789,Tim Jacobs,New Mexico,2014,6,4,9,6,8,2
30789,Tim Jacobs,New Mexico,2015,1,0,3,0,2,2
30790,Cedrick Lang,UTEP,2011,21,10,29,23,0,0
30790,Cedrick Lang,UTEP,2012,14,5,13,11,0,0
30790,Cedrick Lang,UTEP,2013,21,7,27,13,0,0
30790,Cedrick Lang,UTEP,2014,22,11,46,35,0,0
30791,Malcolm Moore,UTEP,2011,4,1,2,1,2,2
30791,Malcolm Moore,UTEP,2012,2,1,1,1,2,0
30791,Malcolm Moore,Milwaukee,2013,9,3,9,4,7,1
30793,Jalen Ragland,UTEP,2011,9,3,0,0,9,3
30793,Jalen Ragland,UTEP,2012,6,4,0,0,15,6
30793,Jalen Ragland,UTEP,2013,4,2,1,1,5,1
30794,Hooper Vint,UTEP,2011,1,0,0,0,3,1
30794,Hooper Vint,UTEP,2012,2,0,1,1,0,0
30794,Hooper Vint,UTEP,2013,5,1,1,1,3,0
30794,Hooper Vint,UTEP,2014,9,5,9,8,9,3
30794,Hooper Vint,UTEP,2015,34,19,17,9,6,0
30795,Julian Washburn,UTEP,2011,65,25,13,8,29,10
30795,Julian Washburn,UTEP,2012,77,28,19,12,18,4
30795,Julian Washburn,UTEP,2013,71,21,13,10,73,27
30795,Julian Washburn,UTEP,2014,74,29,10,3,53,19
30796,Brice Crook,Nevada,2011,0,0,0,0,1,0
30796,Brice Crook,Nevada,2012,0,0,0,0,2,0
30797,Mo Hughley,Cal State Bakersfield,2011,10,2,30,12,1,0
30797,Mo Hughley,Cal State Bakersfield,2012,3,0,2,1,0,0
30797,Mo Hughley,Eastern Michigan,2013,1,0,10,4,0,0
30798,Zachary Lamb,Cal State Bakersfield,2011,26,11,14,10,27,10
30798,Zachary Lamb,Cal State Bakersfield,2012,7,2,3,2,1,0
30798,Zachary Lamb,Cal State Bakersfield,2013,13,1,11,3,11,4
30799,Kwai Pearson,Cal State Bakersfield,2011,0,0,1,0,1,1
30801,Prince Obasi,Seattle,2011,6,1,6,3,7,3
30801,Prince Obasi,Seattle,2012,19,8,19,11,18,8
30802,Allen Tate,Seattle,2011,4,1,1,1,5,1
30802,Allen Tate,Seattle,2012,12,4,4,2,1,0
30803,Deshaun Sunderhaus,Seattle,2012,21,8,16,9,5,2
30803,Deshaun Sunderhaus,Seattle,2013,17,10,23,13,0,0
30803,Deshaun Sunderhaus,Seattle,2014,6,3,3,3,0,0
30804,T.J. Diop,Seattle,2011,2,1,3,1,0,0
30804,T.J. Diop,Seattle,2012,4,0,1,1,1,0
30805,Obie Hurt,Seattle,2011,0,0,0,0,1,0
30807,D'Jari Nelson,Chicago State,2011,11,3,6,6,10,4
30808,Nate Henry,Chicago State,2011,0,0,0,0,1,0
30808,Nate Henry,Chicago State,2012,0,0,0,0,0,0
30809,Jaccoby Anderson,Chicago State,2011,4,1,0,0,24,9
30810,Aaron Williams (2),Chicago State,2011,11,2,2,0,18,3
30810,Aaron Williams (2),Chicago State,2012,5,1,7,1,8,2
30810,Aaron Williams (2),Chicago State,2014,5,1,1,1,6,0
30811,Clarke Rosenberg,Chicago State,2011,14,5,7,2,17,2
30811,Clarke Rosenberg,Chicago State,2012,30,9,18,8,26,9
30811,Clarke Rosenberg,Chicago State,2013,36,15,29,14,29,9
30811,Clarke Rosenberg,Chicago State,2014,44,11,21,9,48,17
30812,Francisco Concepcion,Chicago State,2011,2,0,0,0,0,0
30813,Marcel Smith,Houston Baptist,2011,7,4,1,1,18,6
30813,Marcel Smith,Houston Baptist,2012,19,5,11,4,28,13
30813,Marcel Smith,Houston Baptist,2013,12,3,6,2,16,7
30813,Marcel Smith,Houston Baptist,2014,13,5,3,3,26,9
30814,Tyler Russell,Houston Baptist,2011,38,14,6,3,4,0
30814,Tyler Russell,Houston Baptist,2012,23,9,2,2,7,3
30814,Tyler Russell,Houston Baptist,2013,29,13,5,1,17,6
30814,Tyler Russell,Houston Baptist,2014,23,8,8,2,21,7
30815,Art Bernardi,Houston Baptist,2011,28,9,14,8,4,0
30815,Art Bernardi,Houston Baptist,2012,73,20,25,16,11,2
30816,"Ronald March, Jr.",Houston Baptist,2011,6,3,0,0,9,1
30817,Marcus Davis,Houston Baptist,2011,21,9,7,3,10,2
30817,Marcus Davis,Houston Baptist,2012,9,2,1,1,12,2
30818,Dewayne Bowden,Houston Baptist,2011,2,0,0,0,0,0
30818,Dewayne Bowden,Houston Baptist,2012,3,1,2,0,1,1
30819,Dustin Hobaugh,Houston Baptist,2011,8,2,4,3,8,1
30819,Dustin Hobaugh,North Dakota,2013,0,0,1,1,0,0
30819,Dustin Hobaugh,North Dakota,2014,1,0,3,2,16,8
30819,Dustin Hobaugh,North Dakota,2015,2,1,2,0,0,0
30820,Marques Jones,N.J.I.T.,2011,2,2,1,0,6,1
30821,Daquan Holiday,N.J.I.T.,2011,1,0,0,0,0,0
30821,Daquan Holiday,N.J.I.T.,2012,5,0,8,4,0,0
30821,Daquan Holiday,N.J.I.T.,2013,9,1,11,5,0,0
30821,Daquan Holiday,N.J.I.T.,2014,6,4,30,18,0,0
30822,Odera Nweke,N.J.I.T.,2011,0,0,5,2,3,0
30822,Odera Nweke,N.J.I.T.,2012,8,2,11,5,1,1
30822,Odera Nweke,N.J.I.T.,2013,7,2,9,4,0,0
30822,Odera Nweke,N.J.I.T.,2014,10,1,15,7,0,0
30823,Lenny Antwi,North Dakota,2011,3,2,0,0,8,3
30823,Lenny Antwi,North Dakota,2012,15,6,1,0,24,8
30823,Lenny Antwi,North Dakota,2013,3,0,0,0,7,0
30823,Lenny Antwi,North Dakota,2014,10,3,4,2,29,9
30824,Shane Benton,North Dakota,2012,7,2,4,2,10,3
30824,Shane Benton,North Dakota,2013,2,1,2,1,1,0
30824,Shane Benton,North Dakota,2014,0,0,0,0,1,0
30824,Shane Benton,North Dakota,2015,2,0,0,0,0,0
30825,Josh Gentry,North Dakota,2011,2,0,0,0,1,0
30825,Josh Gentry,Cal State Fullerton,2013,18,7,12,7,30,11
30825,Josh Gentry,Cal State Fullerton,2014,23,8,25,13,12,2
30826,Josh Sanchez,Texas-RGV,2011,0,0,0,0,0,0
30828,Earl Jefferson,Texas-RGV,2011,20,2,8,5,6,2
30829,Julio Oyervides,Texas-RGV,2011,1,0,0,0,0,0
30830,Jesus M. Delgado,Texas-RGV,2011,10,3,22,12,11,3
30830,Jesus M. Delgado,Texas-RGV,2012,34,12,15,11,15,4
30832,Neo Sanchez,Texas-RGV,2011,0,0,0,0,0,0
30833,Keawe Enos,Utah Valley,2011,5,1,0,0,12,4
30833,Keawe Enos,Utah Valley,2012,6,3,1,1,10,6
30833,Keawe Enos,Utah Valley,2013,9,3,4,3,37,20
30834,Alfonzo Hubbard,Utah Valley,2011,21,8,16,7,6,3
30834,Alfonzo Hubbard,Utah Valley,2012,23,11,17,9,12,2
30835,Will Sinclair,Utah Valley,2011,0,0,1,1,0,0
30835,Will Sinclair,Utah Valley,2012,2,0,2,1,0,0
30836,Christian Gore,Brown,2011,4,0,2,1,3,0
30836,Christian Gore,Texas Christian,2013,11,1,7,4,15,7
30836,Christian Gore,Texas Christian,2014,1,0,0,0,3,2
30838,Rafael Maia,Brown,2012,7,1,51,29,3,0
30838,Rafael Maia,Brown,2013,4,0,19,11,5,1
30838,Rafael Maia,Brown,2014,9,4,34,16,7,3
30838,Rafael Maia,Pittsburgh,2015,5,1,11,5,0,0
30839,Jon Schmidt,Brown,2011,2,0,5,1,0,0
30839,Jon Schmidt,Brown,2012,5,1,1,0,0,0
30839,Jon Schmidt,Brown,2014,0,0,0,0,0,0
30840,Joe Sharkey,Brown,2012,3,0,0,0,16,7
30842,Longji Yiljep,Brown,2011,2,1,1,0,0,0
30842,Longji Yiljep,Brown,2012,3,1,0,0,5,0
30842,Longji Yiljep,Brown,2013,0,0,0,0,0,0
30842,Longji Yiljep,Brown,2014,1,0,0,0,1,0
30843,Samer Ozeir,Columbia,2011,0,0,0,0,0,0
30843,Samer Ozeir,Columbia,2012,0,0,0,0,0,0
30844,Alex Rosenberg,Columbia,2011,16,2,19,14,21,9
30844,Alex Rosenberg,Columbia,2012,26,9,23,8,33,8
30844,Alex Rosenberg,Columbia,2013,23,2,57,24,44,16
30844,Alex Rosenberg,Columbia,2015,14,3,39,17,36,9
30845,Noah Springwater,Columbia,2011,3,0,1,0,13,5
30845,Noah Springwater,Columbia,2012,0,0,1,0,2,1
30845,Noah Springwater,Columbia,2013,1,0,2,1,6,2
30845,Noah Springwater,Columbia,2014,0,0,0,0,8,2
30846,Cory Osetkowski,Columbia,2011,15,6,12,6,4,1
30846,Cory Osetkowski,Columbia,2012,11,5,23,12,3,0
30846,Cory Osetkowski,Columbia,2013,26,9,53,32,17,6
30846,Cory Osetkowski,Columbia,2014,12,4,45,24,14,1
30847,Skylar Scrivano,Columbia,2012,3,0,5,3,0,0
30848,Darius Stevens,Columbia,2011,0,0,0,0,0,0
30849,Galal Cancer,Cornell,2011,25,5,16,5,3,1
30849,Galal Cancer,Cornell,2012,30,5,8,2,16,5
30849,Galal Cancer,Cornell,2014,25,4,20,13,28,11
30849,Galal Cancer,Kent State,2015,9,3,7,4,31,12
30850,Dave LaMore,Cornell,2011,3,1,3,2,0,0
30850,Dave LaMore,Cornell,2012,0,0,1,1,0,0
30850,Dave LaMore,Cornell,2013,4,1,3,2,0,0
30850,Dave LaMore,Cornell,2014,8,2,7,7,0,0
30851,Devin Cherry,Cornell,2011,4,1,5,2,5,1
30851,Devin Cherry,Cornell,2012,13,3,6,4,9,4
30851,Devin Cherry,Cornell,2013,36,9,24,13,19,4
30851,Devin Cherry,Cornell,2014,26,7,18,7,38,9
30852,Shonn Miller,Cornell,2011,30,10,9,4,26,10
30852,Shonn Miller,Cornell,2012,38,15,21,14,16,3
30852,Shonn Miller,Cornell,2014,67,28,28,17,30,10
30852,Shonn Miller,Connecticut,2015,53,21,22,13,15,6
30853,Nenad Tomic,Cornell,2011,0,0,1,1,0,0
30853,Nenad Tomic,Cornell,2013,11,5,5,3,1,0
30853,Nenad Tomic,Cornell,2014,12,3,6,3,0,0
30854,Deion Giddens,Cornell,2011,0,0,0,0,0,0
30854,Deion Giddens,Cornell,2012,0,0,0,0,0,0
30854,Deion Giddens,Cornell,2013,1,0,8,5,0,0
30854,Deion Giddens,Cornell,2014,0,0,1,0,0,0
30855,John Golden,Dartmouth,2011,15,3,11,6,51,19
30855,John Golden,Dartmouth,2012,15,3,10,3,42,12
30855,John Golden,Dartmouth,2013,15,4,10,7,29,8
30855,John Golden,Dartmouth,2014,15,6,8,3,25,5
30856,Will McConnell,Dartmouth,2011,1,1,0,0,0,0
30856,Will McConnell,Dartmouth,2012,1,1,0,0,1,1
30857,Mack McKearney,Dartmouth,2011,5,1,2,1,11,1
30857,Mack McKearney,Dartmouth,2012,0,0,0,0,0,0
30858,Kirill Savolainen,Dartmouth,2011,0,0,0,0,0,0
30858,Kirill Savolainen,Dartmouth,2012,0,0,0,0,0,0
30859,Gabas Maldunas,Dartmouth,2011,44,15,43,23,1,0
30859,Gabas Maldunas,Dartmouth,2012,42,15,50,27,3,0
30859,Gabas Maldunas,Dartmouth,2013,13,4,30,18,0,0
30859,Gabas Maldunas,Dartmouth,2014,43,12,48,26,1,0
30860,Jvonte Brooks,Dartmouth,2011,30,9,20,10,1,0
30860,Jvonte Brooks,Dartmouth,2012,17,5,17,10,6,1
30861,Max Hooper,Harvard,2011,0,0,0,0,0,0
30861,Max Hooper,St. John's,2013,0,0,1,0,9,4
30861,Max Hooper,Oakland,2014,3,0,0,0,34,16
30861,Max Hooper,Oakland,2015,0,0,0,0,48,21
30862,Corbin Miller,Harvard,2011,7,3,0,0,18,7
30862,Corbin Miller,Harvard,2014,13,7,0,0,62,19
30862,Corbin Miller,Harvard,2015,15,4,0,0,43,10
30862,Corbin Miller,Harvard,2016,7,0,0,0,9,5
30863,Steve Moundou-Missi,Harvard,2011,18,2,18,13,3,1
30863,Steve Moundou-Missi,Harvard,2012,15,3,34,21,2,1
30863,Steve Moundou-Missi,Harvard,2013,31,12,40,26,1,0
30863,Steve Moundou-Missi,Harvard,2014,62,30,34,14,3,1
30864,Alex Nesbitt,Harvard,2011,0,0,0,0,0,0
30864,Alex Nesbitt,Harvard,2012,0,0,0,0,1,0
30864,Alex Nesbitt,Harvard,2013,2,0,1,1,1,0
30864,Alex Nesbitt,Harvard,2014,0,0,0,0,0,0
30865,Kenyatta Smith,Harvard,2011,0,0,0,0,0,0
30865,Kenyatta Smith,Harvard,2012,26,13,18,14,0,0
30865,Kenyatta Smith,Harvard,2013,1,0,0,0,0,0
30865,Kenyatta Smith,Harvard,2014,15,3,9,6,0,0
30866,Jonah Travis,Harvard,2011,5,2,6,2,0,0
30866,Jonah Travis,Harvard,2012,6,0,24,16,0,0
30866,Jonah Travis,Harvard,2013,5,2,16,12,0,0
30866,Jonah Travis,Harvard,2014,14,4,18,10,1,0
30869,Henry Brooks,Pennsylvania,2011,28,8,22,14,0,0
30869,Henry Brooks,Pennsylvania,2012,31,13,14,11,0,0
30869,Henry Brooks,Pennsylvania,2013,20,7,7,7,1,0
30869,Henry Brooks,Wagner,2015,39,14,20,13,0,0
30870,Keelan Cairns,Pennsylvania,2011,0,0,0,0,1,0
30871,Camryn Crocker,Pennsylvania,2011,1,0,4,0,1,0
30871,Camryn Crocker,Pennsylvania,2012,5,2,5,2,3,2
30871,Camryn Crocker,Pennsylvania,2013,0,0,0,0,1,0
30871,Camryn Crocker,Pennsylvania,2014,3,1,1,0,6,1
30872,Simeon Esprit,Pennsylvania,2011,1,0,0,0,1,0
30872,Simeon Esprit,Pennsylvania,2012,0,0,0,0,1,0
30873,Greg Louis,Pennsylvania,2012,10,3,5,1,6,3
30873,Greg Louis,Pennsylvania,2013,1,1,3,3,3,2
30873,Greg Louis,Pennsylvania,2014,17,8,9,4,0,0
30874,Patrick Lucas-Perry,Pennsylvania,2011,0,0,0,0,0,0
30874,Patrick Lucas-Perry,Pennsylvania,2012,6,2,1,0,16,7
30874,Patrick Lucas-Perry,Pennsylvania,2013,0,0,0,0,2,1
30875,Brian Fabrizius,Princeton,2011,0,0,0,0,0,0
30876,Bobby Garbade,Princeton,2011,0,0,2,2,0,0
30876,Bobby Garbade,Princeton,2012,0,0,0,0,3,1
30876,Bobby Garbade,Princeton,2013,1,0,2,1,1,0
30876,Bobby Garbade,Princeton,2014,3,0,0,0,0,0
30877,Denton Koon,Princeton,2011,8,3,21,15,1,1
30877,Denton Koon,Princeton,2012,18,6,55,34,14,6
30877,Denton Koon,Princeton,2013,6,2,25,15,15,3
30877,Denton Koon,Hofstra,2015,13,4,22,9,30,11
30878,Clay Wilson,Princeton,2011,0,0,0,0,2,0
30878,Clay Wilson,Princeton,2012,4,0,2,0,19,9
30878,Clay Wilson,Princeton,2013,1,1,2,1,20,7
30878,Clay Wilson,Princeton,2014,5,2,8,3,23,10
30879,Will Childs-Klein,Yale,2011,0,0,0,0,0,0
30879,Will Childs-Klein,Yale,2012,0,0,0,0,0,0
30879,Will Childs-Klein,Yale,2013,1,1,1,0,0,0
30880,Armani Cotton,Yale,2011,1,0,0,0,0,0
30880,Armani Cotton,Yale,2012,16,4,12,7,18,3
30880,Armani Cotton,Yale,2013,13,2,14,5,38,11
30880,Armani Cotton,Yale,2014,5,1,7,2,35,15
30881,Javier Duren,Yale,2011,1,0,2,1,2,0
30881,Javier Duren,Yale,2012,30,11,6,4,25,7
30881,Javier Duren,Yale,2013,33,11,16,10,37,15
30881,Javier Duren,Yale,2014,43,12,21,9,38,19
30882,Brandon Sherrod,Yale,2011,12,5,8,5,0,0
30882,Brandon Sherrod,Yale,2012,16,7,15,8,0,0
30882,Brandon Sherrod,Yale,2013,20,8,28,13,0,0
30882,Brandon Sherrod,Yale,2015,31,11,34,14,0,0
30883,Matt Townsend,Yale,2011,5,2,5,2,0,0
30883,Matt Townsend,Yale,2012,31,16,17,8,0,0
30883,Matt Townsend,Yale,2013,19,6,8,4,0,0
30883,Matt Townsend,Yale,2014,31,17,24,13,1,0
30884,Andy Smeathers,Butler,2011,1,0,0,0,7,1
30884,Andy Smeathers,Butler,2012,0,0,0,0,7,2
30884,Andy Smeathers,Mount St. Mary's,2014,2,1,1,0,33,12
30885,Alex Barlow,Butler,2011,0,0,1,1,1,0
30885,Alex Barlow,Butler,2012,4,2,2,1,14,3
30885,Alex Barlow,Butler,2013,27,8,5,2,40,14
30885,Alex Barlow,Butler,2014,17,4,13,3,47,11
30886,Roosevelt Jones,Butler,2011,31,9,32,21,0,0
30886,Roosevelt Jones,Butler,2012,51,21,40,20,0,0
30886,Roosevelt Jones,Butler,2014,46,9,74,38,0,0
30886,Roosevelt Jones,Butler,2015,45,13,44,28,0,0
30887,Elliot Kampen,Butler,2011,0,0,0,0,2,1
30887,Elliot Kampen,Butler,2012,0,0,0,0,1,0
30887,Elliot Kampen,Butler,2013,0,0,0,0,1,0
30888,Kameron Woods,Butler,2011,11,5,7,4,17,3
30888,Kameron Woods,Butler,2012,31,12,5,2,1,0
30888,Kameron Woods,Butler,2013,49,16,15,9,0,0
30888,Kameron Woods,Butler,2014,34,14,18,11,0,0
30889,Anton Grady,Cleveland State,2011,39,18,27,19,5,2
30889,Anton Grady,Cleveland State,2012,10,3,6,4,0,0
30889,Anton Grady,Cleveland State,2013,66,29,32,21,6,1
30889,Anton Grady,Cleveland State,2014,85,24,50,35,2,1
30889,Anton Grady,Wichita State,2015,29,14,13,7,2,0
30890,Charlie Lee,Cleveland State,2011,21,5,5,3,27,3
30890,Charlie Lee,Cleveland State,2012,55,19,10,4,42,12
30890,Charlie Lee,Cleveland State,2013,29,8,14,7,38,17
30890,Charlie Lee,Cleveland State,2014,32,13,12,9,34,15
30891,Marlin Mason,Cleveland State,2011,8,2,7,5,6,4
30891,Marlin Mason,Cleveland State,2012,25,10,14,4,29,10
30891,Marlin Mason,Cleveland State,2013,13,7,15,8,13,5
30891,Marlin Mason,Cleveland State,2014,16,3,28,18,30,8
30892,Ike Nwamu,Cleveland State,2011,3,0,1,0,11,5
30892,Ike Nwamu,Mercer,2013,12,2,22,9,14,6
30892,Ike Nwamu,Mercer,2014,44,13,20,10,67,28
30892,Ike Nwamu,UNLV,2015,13,3,13,4,37,12
30894,P.J. Boutte,Detroit-Mercy,2011,4,1,6,2,5,1
30894,P.J. Boutte,Detroit-Mercy,2012,6,1,2,1,11,0
30894,P.J. Boutte,IUPUI,2014,21,4,14,5,20,5
30894,P.J. Boutte,Citadel,2015,4,1,19,15,9,2
30895,Brandon Romain,Detroit-Mercy,2011,0,0,0,0,0,0
30896,Doug Anderson,Detroit-Mercy,2011,35,14,10,6,9,2
30896,Doug Anderson,Detroit-Mercy,2012,37,13,28,20,9,4
30897,Aaron Armstead,Green Bay,2011,19,4,3,1,13,4
30897,Aaron Armstead,Northern Illinois,2013,16,6,13,7,30,11
30897,Aaron Armstead,Northern Illinois,2014,8,5,8,5,26,11
30898,Jared Dimakos,Chicago State,2013,1,0,2,0,5,1
30898,Jared Dimakos,Chicago State,2014,6,2,4,3,23,8
30898,Jared Dimakos,Chicago State,2015,1,0,0,0,2,0
30899,Josh Humphrey,Green Bay,2011,7,0,3,1,0,0
30899,Josh Humphrey,Green Bay,2013,3,1,1,0,0,0
30899,Josh Humphrey,Green Bay,2014,1,0,0,0,0,0
30900,Greg Mays,Green Bay,2011,8,2,7,4,0,0
30900,Greg Mays,Green Bay,2012,20,5,15,10,1,1
30900,Greg Mays,Green Bay,2013,31,13,12,9,7,3
30900,Greg Mays,Green Bay,2014,33,11,21,13,23,7
30901,Keifer Sykes,Green Bay,2011,40,20,19,11,12,3
30901,Keifer Sykes,Green Bay,2012,41,13,40,18,23,9
30901,Keifer Sykes,Green Bay,2013,34,13,14,8,39,16
30901,Keifer Sykes,Green Bay,2014,44,12,27,20,36,10
30902,Jerome Brown,Illinois-Chicago,2011,1,0,0,0,6,2
30903,Marc Brown,Illinois-Chicago,2011,14,1,8,1,38,11
30903,Marc Brown,Illinois-Chicago,2012,25,5,12,4,32,6
30903,Marc Brown,Illinois-Chicago,2013,29,15,15,7,25,8
30903,Marc Brown,Illinois-Chicago,2014,42,10,11,7,26,9
30904,Ahman Fells,Illinois-Chicago,2011,1,1,0,0,1,0
30904,Ahman Fells,Illinois-Chicago,2012,5,1,2,1,2,0
30904,Ahman Fells,Illinois-Chicago,2013,6,1,7,5,3,1
30904,Ahman Fells,Illinois-Chicago,2014,14,10,9,5,30,13
30905,Rob Robinson (2),Illinois-Chicago,2011,1,1,1,1,4,0
30906,Will Simonton,Illinois-Chicago,2011,1,1,0,0,0,0
30906,Will Simonton,Illinois-Chicago,2012,14,2,10,6,0,0
30906,Will Simonton,Illinois-Chicago,2013,2,1,2,2,0,0
30906,Will Simonton,Quinnipiac,2015,6,1,3,2,0,0
30907,Sammy Sutter,Illinois-Chicago,2011,1,0,7,2,6,3
30908,Gary Talton,Illinois-Chicago,2011,61,22,24,12,34,9
30908,Gary Talton,Illinois-Chicago,2012,40,15,24,8,46,13
30909,Greg Travis,Illinois-Chicago,2011,6,3,13,6,6,2
30910,Bill Clark (2),Loyola (IL),2011,0,0,1,1,2,0
30910,Bill Clark (2),Loyola (IL),2012,1,1,0,0,0,0
30910,Bill Clark (2),Loyola (IL),2013,2,1,0,0,2,0
30911,Adam Cooper,Loyola (IL),2011,0,0,0,0,0,0
30912,Joe Crisman,Loyola (IL),2011,23,6,21,7,44,12
30912,Joe Crisman,Loyola (IL),2012,13,3,11,5,9,3
30912,Joe Crisman,Loyola (IL),2013,15,5,11,7,15,8
30912,Joe Crisman,Loyola (IL),2014,11,2,3,2,9,2
30913,London Dokubo,Loyola (IL),2011,0,0,1,0,5,2
30913,London Dokubo,Loyola (IL),2012,1,1,0,0,0,0
30913,London Dokubo,Loyola (IL),2013,1,0,0,0,0,0
30913,London Dokubo,Loyola (IL),2014,3,0,0,0,0,0
30914,Christian Thomas,Loyola (IL),2011,14,5,20,15,4,1
30914,Christian Thomas,Loyola (IL),2012,43,12,40,24,3,2
30914,Christian Thomas,Loyola (IL),2013,47,18,37,24,19,8
30914,Christian Thomas,Loyola (IL),2014,50,24,44,33,11,4
30915,Shaquille Boga,Milwaukee,2011,10,2,6,5,6,1
30915,Shaquille Boga,Texas-RGV,2013,35,13,28,13,40,12
30915,Shaquille Boga,Texas-RGV,2014,34,14,17,7,40,11
30916,Demetrius Harris,Milwaukee,2011,5,1,6,4,1,0
30916,Demetrius Harris,Milwaukee,2012,28,9,18,10,3,1
30917,Paris Gulley,Milwaukee,2011,27,8,7,3,41,20
30917,Paris Gulley,Milwaukee,2012,32,12,7,3,48,14
30918,J.J. Panoske,Milwaukee,2012,8,1,6,2,19,6
30918,J.J. Panoske,Milwaukee,2013,11,4,6,4,7,2
30918,J.J. Panoske,Milwaukee,2014,21,10,12,6,21,9
30918,J.J. Panoske,Milwaukee,2015,16,8,17,13,39,11
30919,Richie Edwards,Valparaiso,2011,32,9,21,14,23,8
30919,Richie Edwards,Arizona State,2013,5,1,1,1,2,1
30920,Vashil Fernandez,Valparaiso,2012,2,0,9,7,0,0
30920,Vashil Fernandez,Valparaiso,2013,6,1,17,8,0,0
30920,Vashil Fernandez,Valparaiso,2014,16,7,23,18,0,0
30920,Vashil Fernandez,Valparaiso,2015,7,2,27,17,0,0
30922,Reggie Arceneaux,Wright State,2011,25,10,6,3,34,12
30922,Reggie Arceneaux,Wright State,2012,24,8,10,4,46,16
30922,Reggie Arceneaux,Wright State,2013,25,11,3,2,43,16
30922,Reggie Arceneaux,Wright State,2014,18,8,9,3,44,12
30923,John Balwigaire,Wright State,2011,13,5,1,0,20,10
30924,Jason Cuffee,Wright State,2011,1,0,1,0,1,0
30925,Kendall Griffin,Wright State,2011,7,1,2,1,4,3
30925,Kendall Griffin,Wright State,2012,8,4,14,12,26,8
30925,Kendall Griffin,Wright State,2013,4,2,3,0,14,7
