GMID,Name,School,Year,L2PA,L2PM,S2PA,S2PM,A3PA,A3PM
2207,David Wear,North Carolina,2009,11,3,0,0,2,0
2207,David Wear,UCLA,2011,34,11,15,8,7,4
2207,David Wear,UCLA,2012,24,6,13,8,15,4
2207,David Wear,UCLA,2013,20,10,7,6,10,4
2208,Travis Wear,North Carolina,2009,14,4,1,1,1,0
2208,Travis Wear,UCLA,2011,45,20,31,20,1,1
2208,Travis Wear,UCLA,2012,56,29,5,4,5,1
2208,Travis Wear,UCLA,2013,30,12,9,9,7,4
2209,John Henson,North Carolina,2009,17,6,3,3,7,1
2209,John Henson,North Carolina,2010,23,9,16,12,1,0
2209,John Henson,North Carolina,2011,23,9,10,4,0,0
2210,Wally Judge,Kansas State,2009,13,3,10,5,0,0
2210,Wally Judge,Kansas State,2010,7,3,8,5,0,0
2210,Wally Judge,Rutgers,2012,33,11,22,13,0,0
2210,Wally Judge,Rutgers,2013,31,10,20,11,0,0
2211,Abdul Gaddy,Washington,2009,13,4,1,1,10,0
2211,Abdul Gaddy,Washington,2010,2,2,1,0,5,2
2211,Abdul Gaddy,Washington,2011,15,2,9,4,19,9
2211,Abdul Gaddy,Washington,2012,37,12,11,5,16,4
2212,Tiny Gallon,Oklahoma,2009,28,10,25,16,2,0
2213,Tommy Mason-Griffin,Oklahoma,2009,39,9,8,2,34,17
2214,Mason Plumlee,Duke,2009,8,1,12,9,0,0
2214,Mason Plumlee,Duke,2010,19,6,20,16,0,0
2214,Mason Plumlee,Duke,2011,24,7,23,15,0,0
2214,Mason Plumlee,Duke,2012,43,21,51,41,0,0
2215,Renardo Sidney,Mississippi State,2010,24,13,16,5,3,1
2215,Renardo Sidney,Mississippi State,2011,39,18,24,13,13,6
2216,Michael Snaer,Florida State,2009,26,5,12,2,19,8
2216,Michael Snaer,Florida State,2010,24,6,4,2,26,7
2216,Michael Snaer,Florida State,2011,37,9,17,6,43,21
2216,Michael Snaer,Florida State,2012,30,12,18,12,38,13
2217,Solomon Alabi,Florida State,2009,29,14,23,16,0,0
2218,Matt Bouldin,Gonzaga,2009,31,10,12,9,37,12
2219,Craig Brackins,Iowa State,2009,79,30,8,4,18,3
2255,Mouphtaou Yarou,Villanova,2009,4,1,6,5,0,0
2255,Mouphtaou Yarou,Villanova,2010,27,10,27,14,0,0
2255,Mouphtaou Yarou,Villanova,2011,44,21,18,10,0,0
2255,Mouphtaou Yarou,Villanova,2012,42,18,27,15,1,0
2256,Kawhi Leonard,San Diego State,2009,37,14,14,11,26,5
2256,Kawhi Leonard,San Diego State,2010,71,23,15,12,32,9
2257,Daniel Orton,Kentucky,2009,7,2,6,4,1,0
2258,Brandon Knight,Kentucky,2010,60,19,27,15,68,21
2259,Corey Fisher,Villanova,2009,16,6,12,4,15,5
2259,Corey Fisher,Villanova,2010,46,18,13,7,37,13
2260,Damion James,Texas,2009,31,13,12,9,19,7
2272,Kevin Dillard,Southern Illinois,2009,28,13,11,5,30,10
2272,Kevin Dillard,Dayton,2011,55,17,28,17,43,13
2272,Kevin Dillard,Dayton,2012,46,14,20,12,34,12
2273,Brandon Paul,Illinois,2009,17,4,6,3,28,6
2273,Brandon Paul,Illinois,2010,22,2,13,4,28,14
2273,Brandon Paul,Illinois,2011,42,14,19,11,50,17
2273,Brandon Paul,Illinois,2012,36,15,12,6,68,20
2277,Jordan Hulls,Indiana,2009,15,6,2,0,34,14
2277,Jordan Hulls,Indiana,2010,45,22,9,3,33,15
2277,Jordan Hulls,Indiana,2011,30,12,9,4,43,20
2277,Jordan Hulls,Indiana,2012,15,5,2,1,22,11
2279,Manny Harris,Michigan,2009,59,17,16,7,49,13
2280,Terrico White,Ole Miss,2009,19,8,8,4,25,8
2282,Brandon Triche,Syracuse,2009,5,1,6,3,5,0
2282,Brandon Triche,Syracuse,2010,16,6,8,3,31,9
2282,Brandon Triche,Syracuse,2012,37,13,19,11,34,7
2283,Jonathan Mitchell,Rutgers,2009,43,14,11,4,51,16
2283,Jonathan Mitchell,Rutgers,2010,49,20,18,11,54,21
2284,Raymar Morgan,Michigan State,2009,23,7,16,9,4,2
2298,Patrick Christopher,California,2009,51,19,13,8,36,12
2300,Bryan Davis,Texas A&M,2009,20,5,36,24,0,0
2301,Malcolm Delaney,Virginia Tech,2009,34,9,23,8,54,11
2301,Malcolm Delaney,Virginia Tech,2010,34,9,18,10,59,23
2302,Devin Ebanks,West Virginia,2009,64,18,21,8,14,0
2303,Kenneth Faried,Morehead State,2009,54,17,56,40,1,0
2303,Kenneth Faried,Morehead State,2010,46,16,55,34,0,0
2304,Roderick Flemings,Hawaii,2009,94,34,14,8,31,6
2305,Paul George,Fresno State,2009,25,9,17,10,43,14
2306,Marcus Ginyard,North Carolina,2009,16,5,2,2,14,4
2307,Luke Harangody,Notre Dame,2009,95,37,41,24,20,4
2308,Lazar Hayward,Marquette,2009,58,16,19,12,60,16
2309,Robbie Hummel,Purdue,2009,36,19,3,3,28,9
2309,Robbie Hummel,Purdue,2011,69,27,9,5,48,14
2310,JaJuan Johnson,Purdue,2009,56,17,13,9,0,0
2310,JaJuan Johnson,Purdue,2010,98,40,8,4,8,4
2311,Jerome Jordan,Tulsa,2009,55,22,22,17,0,0
2312,Dwight Lewis,USC,2009,61,26,9,3,54,14
2313,Kalin Lucas,Michigan State,2009,34,15,19,9,24,8
2313,Kalin Lucas,Michigan State,2010,41,17,24,12,29,16
2315,A.J. Ogilvy,Vanderbilt,2009,18,4,25,12,0,0
2316,Arinze Onuaku,Syracuse,2009,13,5,15,14,0,0
2317,Quincy Pondexter,Washington,2009,69,29,12,7,17,10
2318,Stanley Robinson,Connecticut,2009,31,12,15,8,23,7
2319,Magnum Rolle,Louisiana Tech,2009,56,19,23,13,0,0
2321,Mac Koshwal,DePaul,2009,42,13,38,19,0,0
2322,Tyler Smith,Tennessee,2009,4,2,7,3,1,0
2323,Tyshawn Taylor,Kansas,2009,18,6,11,6,10,2
2323,Tyshawn Taylor,Kansas,2010,19,5,7,3,10,7
2323,Tyshawn Taylor,Kansas,2011,34,14,24,15,39,14
