GMID,Name,School,Year,Position,PercShotS2P,S2PPer,PercS2PAinT,DunkA,PercDunkinT,PercShotl2P,L2PPer,PercL2PAinT,A3P,PercShot3P,ThreePer,Perc3PAinT
76228,David Crisp,Washington,2016,Guard,17.55%,69.36%,43.49%,54.29%,NR,36.94%,67.24%,81.54%,98.66%,71.80%,36.80%,86.09%
76228,David Crisp,Washington,2017,Guard,64.89%,74.73%,78.99%,66.10%,NR,25.31%,33.08%,53.22%,84.25%,37.86%,77.18%,26.63%
76234,Jalek Felton,North Carolina,2017,Guard,NR,NR,NR,74.54%,NR,NR,NR,NR,48.63%,NR,NR,NR
76235,Kobi Simmons,Arizona,2016,Guard,73.68%,41.43%,58.49%,96.10%,21.88%,44.50%,64.13%,16.72%,57.32%,19.02%,51.11%,15.11%
76272,Matthew Owies,Hawaii,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,40.83%,NR,NR,NR
76278,Marquell Fraser,VCU,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
76333,Andrew Ramirez,Hartford,2016,Guard,85.92%,49.43%,50.46%,0.00%,NR,NR,NR,NR,40.83%,NR,NR,NR
76333,Andrew Ramirez,Hartford,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
76404,Joseph Chartouny,Fordham,2015,Guard,74.08%,8.90%,14.52%,0.00%,NR,NR,NR,NR,46.15%,NR,NR,NR
76404,Joseph Chartouny,Fordham,2016,Guard,62.86%,74.23%,11.28%,36.20%,NR,NR,NR,NR,79.63%,57.56%,77.69%,42.05%
76404,Joseph Chartouny,Fordham,2017,Guard,79.33%,54.61%,14.28%,0.00%,NR,NR,NR,NR,66.31%,34.41%,25.91%,13.58%
76665,Howard Washington,Syracuse,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,22.79%,NR,NR,NR
76666,Nelson Kaputo,St. Bonaventure,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,72.16%,87.33%,15.71%,51.96%
76666,Nelson Kaputo,St. Bonaventure,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
76666,Nelson Kaputo,St. Bonaventure,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,57.32%,74.89%,70.37%,65.49%
76741,Darnell Rogers,Florida Gulf Coast,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,34.82%,NR,NR,NR
76743,Justin Robinson (3),Virginia Tech,2015,Guard,92.76%,25.56%,70.31%,0.00%,NR,NR,NR,NR,31.37%,NR,NR,NR
76743,Justin Robinson (3),Virginia Tech,2016,Guard,70.80%,81.82%,37.30%,36.20%,NR,NR,NR,NR,64.83%,32.93%,27.29%,27.91%
76743,Justin Robinson (3),Virginia Tech,2017,Guard,90.95%,47.08%,38.34%,66.10%,NR,NR,NR,NR,59.37%,14.26%,25.91%,9.76%
76744,Lamarr Kimble,Saint Joseph's,2015,Guard,68.05%,35.52%,49.52%,0.00%,NR,NR,NR,NR,46.15%,NR,NR,NR
76744,Lamarr Kimble,Saint Joseph's,2016,Guard,44.02%,32.32%,27.20%,0.00%,NR,81.05%,14.49%,38.17%,64.83%,26.09%,27.29%,16.14%
76744,Lamarr Kimble,Saint Joseph's,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
76745,Jalen Harris (2),New Mexico,2016,Guard,67.41%,52.53%,76.72%,66.10%,NR,86.34%,64.13%,77.86%,27.47%,NR,NR,NR
76746,Chris Lykes,Miami (FL),2017,Guard,49.83%,81.36%,63.16%,0.00%,NR,NR,NR,NR,73.62%,53.50%,41.84%,34.47%
76750,"Lavar Batts, Jr.",NC State,2017,Guard,68.51%,41.78%,71.44%,36.20%,NR,NR,NR,NR,57.32%,43.35%,6.85%,75.80%
76751,Kevin Dorsey,Minnesota,2015,Guard,63.03%,52.13%,59.69%,0.00%,NR,85.97%,13.64%,84.98%,40.83%,NR,NR,NR
76752,Terrence Phillips,Missouri,2015,Guard,73.71%,31.59%,87.00%,0.00%,NR,59.85%,37.14%,86.16%,53.30%,12.69%,38.85%,14.05%
76752,Terrence Phillips,Missouri,2016,Guard,65.22%,14.29%,70.92%,0.00%,NR,NR,NR,NR,67.72%,42.09%,12.36%,17.59%
76752,Terrence Phillips,Missouri,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,31.37%,NR,NR,NR
76755,Alter Gilbert,Connecticut,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
76755,Alter Gilbert,Connecticut,2017,Guard,75.42%,25.56%,56.74%,0.00%,NR,NR,NR,NR,31.37%,NR,NR,NR
76756,Asante Gist,Eastern Kentucky,2016,Guard,52.62%,35.88%,38.64%,0.00%,NR,21.97%,64.13%,19.19%,87.31%,48.15%,64.04%,39.75%
76756,Asante Gist,Eastern Kentucky,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
76757,Jimmy Whitt,Arkansas,2015,Guard,63.89%,28.39%,78.04%,36.20%,NR,93.68%,33.87%,61.89%,22.79%,NR,NR,NR
76757,Jimmy Whitt,Southern Methodist,2017,Guard,72.36%,69.36%,17.43%,84.78%,0.00%,74.83%,94.66%,10.51%,40.83%,NR,NR,NR
76758,Darius Moore,Presbyterian,2015,Guard,65.64%,25.56%,88.23%,36.20%,NR,NR,NR,NR,38.10%,NR,NR,NR
76758,Darius Moore,Presbyterian,2016,Guard,39.70%,6.84%,45.86%,0.00%,NR,NR,NR,NR,64.83%,55.88%,27.29%,28.51%
76760,Mike Bibby,South Florida,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,80.84%,83.73%,54.85%,78.12%
76825,Daniel Parke,Eastern Kentucky,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
76825,Daniel Parke,Eastern Kentucky,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
76941,Elijah Long,Mount St. Mary's,2015,Guard,81.24%,26.01%,44.84%,0.00%,NR,NR,NR,NR,38.10%,NR,NR,NR
76941,Elijah Long,Mount St. Mary's,2016,Guard,84.82%,35.94%,37.97%,0.00%,NR,43.54%,18.79%,31.12%,55.29%,6.11%,55.88%,7.06%
77431,Jonathan Thsimanga Tshiteya,Florida A&M,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
77678,Lars Espe,Montana,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79638,Matthew Hart,George Washington,2015,Guard,NR,NR,NR,36.20%,NR,NR,NR,NR,46.15%,NR,NR,NR
79638,Matthew Hart,George Washington,2016,Guard,NR,NR,NR,36.20%,NR,NR,NR,NR,48.63%,NR,NR,NR
79853,Trey Dickerson,Iowa,2014,Guard,NR,NR,NR,54.29%,NR,NR,NR,NR,10.38%,NR,NR,NR
79853,Trey Dickerson,South Dakota,2016,Guard,72.12%,41.33%,70.31%,0.00%,NR,36.85%,86.96%,74.78%,73.62%,24.09%,41.84%,60.22%
79853,Trey Dickerson,Georgetown,2017,Guard,83.57%,31.51%,53.21%,0.00%,NR,NR,NR,NR,40.83%,NR,NR,NR
79854,Brady Ellingson,Iowa,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,22.79%,NR,NR,NR
79854,Brady Ellingson,Iowa,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,64.83%,82.12%,8.81%,92.14%
79854,Brady Ellingson,Iowa,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,66.31%,82.85%,36.79%,78.07%
79854,Brady Ellingson,Iowa,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,50.98%,83.89%,51.11%,76.63%
79865,Muhammad-Ali Abdur-Rahkman,Michigan,2014,Guard,90.51%,70.66%,62.73%,36.20%,NR,NR,NR,NR,22.79%,NR,NR,NR
79865,Muhammad-Ali Abdur-Rahkman,Michigan,2015,Guard,54.78%,81.95%,29.99%,36.20%,NR,NR,NR,NR,69.20%,39.06%,57.90%,65.65%
79865,Muhammad-Ali Abdur-Rahkman,Michigan,2016,Guard,40.15%,80.90%,25.00%,74.54%,NR,70.64%,9.63%,59.34%,67.72%,38.36%,62.80%,28.95%
79865,Muhammad-Ali Abdur-Rahkman,Michigan,2017,Guard,36.14%,54.00%,14.71%,74.54%,NR,34.03%,67.24%,20.61%,89.43%,56.94%,38.98%,39.99%
79867,Austin Hatch,Michigan,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79873,Nate Mason,Minnesota,2014,Guard,22.77%,74.91%,79.04%,0.00%,NR,86.38%,33.80%,79.42%,85.03%,41.48%,73.75%,82.68%
79873,Nate Mason,Minnesota,2015,Guard,14.94%,41.78%,46.37%,0.00%,NR,95.35%,49.12%,82.17%,72.16%,25.91%,10.82%,29.24%
79873,Nate Mason,Minnesota,2016,Guard,23.83%,42.46%,55.34%,0.00%,NR,82.48%,30.04%,59.05%,91.68%,42.71%,53.00%,87.26%
79873,Nate Mason,Minnesota,2017,Guard,5.26%,64.82%,25.12%,0.00%,NR,82.75%,21.72%,78.93%,97.63%,64.63%,58.91%,85.87%
79874,Carlos Morris,Minnesota,2014,Guard,39.88%,87.14%,87.00%,54.29%,NR,87.12%,70.20%,86.18%,80.84%,24.21%,8.87%,85.13%
79874,Carlos Morris,Minnesota,2015,Guard,26.40%,45.85%,29.31%,0.00%,NR,94.94%,37.81%,57.11%,46.15%,NR,NR,NR
79883,Tarin Smith,Nebraska,2014,Guard,66.49%,76.49%,48.56%,66.10%,NR,NR,NR,NR,31.37%,NR,NR,NR
79883,Tarin Smith,Duquesne,2016,Guard,88.06%,15.77%,59.22%,54.29%,NR,39.64%,48.44%,20.94%,38.10%,NR,NR,NR
79883,Tarin Smith,Duquesne,2017,Guard,73.89%,51.71%,35.08%,66.10%,NR,NR,NR,NR,70.78%,27.93%,53.00%,30.96%
79892,Bryant McIntosh,Northwestern,2014,Guard,20.50%,56.26%,13.33%,0.00%,NR,92.42%,61.89%,39.46%,64.83%,32.23%,84.51%,23.70%
79892,Bryant McIntosh,Northwestern,2015,Guard,43.06%,12.44%,27.86%,0.00%,NR,81.32%,71.28%,29.21%,67.72%,26.90%,62.80%,16.43%
79892,Bryant McIntosh,Northwestern,2016,Guard,23.36%,25.56%,15.12%,0.00%,NR,95.06%,91.84%,34.50%,66.31%,19.26%,80.96%,15.92%
79892,Bryant McIntosh,Northwestern,2017,Guard,7.53%,5.46%,28.26%,0.00%,NR,94.96%,64.24%,44.38%,70.78%,38.93%,37.57%,34.53%
79895,Johnnie Vassar,Northwestern,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
79899,Devin Foster,Penn State,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
79899,Devin Foster,Penn State,2015,Guard,86.09%,15.11%,26.35%,36.20%,NR,NR,NR,NR,31.37%,NR,NR,NR
79900,Shep Garner,Penn State,2014,Guard,25.93%,30.31%,45.86%,0.00%,NR,NR,NR,NR,89.43%,69.19%,51.11%,50.39%
79900,Shep Garner,Penn State,2015,Guard,38.21%,56.44%,48.62%,0.00%,NR,49.06%,37.60%,52.85%,88.81%,49.66%,65.22%,34.91%
79900,Shep Garner,Penn State,2016,Guard,25.27%,41.27%,91.08%,0.00%,NR,NR,NR,NR,97.63%,73.78%,70.37%,73.96%
79900,Shep Garner,Penn State,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,98.72%,91.48%,77.48%,64.48%
79903,Isaiah Washington,Penn State,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79903,Isaiah Washington,Penn State,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,48.63%,NR,NR,NR
79903,Isaiah Washington,Penn State,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
79903,Isaiah Washington,Quinnipiac,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,73.62%,79.37%,20.24%,17.23%
79908,Dakota Mathias,Purdue,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,59.37%,85.24%,25.91%,10.07%
79908,Dakota Mathias,Purdue,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,70.78%,87.94%,65.66%,44.41%
79908,Dakota Mathias,Purdue,2016,Guard,NR,NR,NR,0.00%,NR,80.27%,88.53%,62.87%,63.08%,51.03%,93.12%,8.28%
79908,Dakota Mathias,Purdue,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,83.52%,83.12%,93.12%,38.98%
79912,P.J. Thompson,Purdue,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,53.30%,78.93%,4.11%,60.93%
79912,P.J. Thompson,Purdue,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,50.98%,53.41%,51.11%,23.47%
79912,P.J. Thompson,Purdue,2016,Guard,17.61%,48.84%,82.98%,0.00%,NR,NR,NR,NR,79.63%,74.89%,51.11%,56.86%
79912,P.J. Thompson,Purdue,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,72.16%,77.56%,93.12%,50.39%
79924,Jake Dadika,Rutgers,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
79924,Jake Dadika,Rutgers,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
79924,Jake Dadika,Rutgers,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79924,Jake Dadika,Rutgers,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79926,Khalil Batie,Rutgers,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
79926,Khalil Batie,Rutgers,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
79926,Khalil Batie,Rutgers,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79930,Matt Ferris,Wisconsin,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
79930,Matt Ferris,Wisconsin,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
79930,Matt Ferris,Wisconsin,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79933,T.J. Schlundt,Wisconsin,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79933,T.J. Schlundt,Wisconsin,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79933,T.J. Schlundt,Wisconsin,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
79941,Wheeler Baker,Albany,2014,Guard,NR,NR,NR,36.20%,NR,NR,NR,NR,59.37%,71.66%,12.21%,21.90%
79942,Tre Green,Albany,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79948,Evan Singletary,Albany,2014,Guard,75.42%,38.17%,35.23%,0.00%,NR,NR,NR,NR,67.72%,30.72%,62.80%,10.70%
79948,Evan Singletary,Albany,2015,Guard,86.31%,54.05%,59.98%,0.00%,NR,NR,NR,NR,66.31%,21.13%,53.64%,10.70%
79950,Max Twyman,Albany,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79950,Max Twyman,Hartford,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,22.79%,NR,NR,NR
79950,Max Twyman,Hartford,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
79952,Mike Wells,Albany,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79956,Romello Walker,Binghamton,2014,Guard,64.57%,69.00%,41.47%,84.78%,36.47%,65.36%,33.80%,31.67%,59.37%,19.64%,12.21%,28.89%
79956,Romello Walker,Binghamton,2015,Guard,NR,NR,NR,36.20%,NR,NR,NR,NR,31.37%,NR,NR,NR
79966,Aaron Calixte,Maine,2014,Guard,54.47%,55.41%,34.41%,0.00%,NR,58.06%,56.39%,56.99%,63.08%,31.30%,18.22%,63.87%
79966,Aaron Calixte,Maine,2015,Guard,62.54%,32.45%,63.04%,0.00%,NR,39.99%,98.16%,57.04%,80.84%,34.54%,54.85%,86.01%
79966,Aaron Calixte,Maine,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,46.15%,NR,NR,NR
79966,Aaron Calixte,Maine,2017,Guard,47.23%,72.32%,51.54%,0.00%,NR,41.56%,94.66%,65.88%,94.97%,45.62%,30.71%,83.64%
79967,Kevin Little,Maine,2014,Guard,47.75%,47.64%,56.74%,0.00%,NR,48.13%,27.51%,67.82%,80.84%,42.69%,74.06%,64.21%
79967,Kevin Little,Maine,2015,Guard,18.47%,11.36%,73.29%,0.00%,NR,36.64%,87.42%,85.37%,98.66%,70.98%,59.00%,91.71%
79968,Keon Burns,New Hampshire,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
79968,Keon Burns,New Hampshire,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,48.63%,NR,NR,NR
79968,Keon Burns,New Hampshire,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,22.79%,NR,NR,NR
79968,Keon Burns,New Hampshire,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,50.98%,93.27%,99.10%,78.40%
79974,Lance Crawford,UMass Lowell,2014,Guard,63.49%,39.10%,10.38%,0.00%,NR,NR,NR,NR,50.98%,34.01%,96.37%,21.14%
79976,Jordan Shea,UMass Lowell,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79976,Jordan Shea,UMass Lowell,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
79976,Jordan Shea,UMass Lowell,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
79977,Matt Harris,UMass Lowell,2014,Guard,36.28%,48.84%,49.45%,0.00%,NR,NR,NR,NR,63.08%,65.26%,65.03%,14.60%
79977,Matt Harris,UMass Lowell,2015,Guard,64.45%,86.01%,46.45%,0.00%,NR,NR,NR,NR,66.31%,49.15%,80.96%,21.28%
79977,Matt Harris,UMass Lowell,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,87.31%,87.87%,64.04%,52.60%
79977,Matt Harris,UMass Lowell,2017,Guard,8.34%,2.92%,42.93%,0.00%,NR,NR,NR,NR,95.95%,82.12%,51.11%,69.28%
79981,Ernie Duncan,Vermont,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
79981,Ernie Duncan,Vermont,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,88.81%,88.89%,51.48%,43.91%
79981,Ernie Duncan,Vermont,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,84.25%,90.12%,70.37%,46.17%
79981,Ernie Duncan,Vermont,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,77.36%,88.55%,66.00%,21.81%
79982,Cam Ward,Vermont,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,53.30%,64.37%,38.85%,21.08%
79982,Cam Ward,Vermont,2015,Guard,50.54%,77.13%,34.10%,0.00%,NR,NR,NR,NR,70.78%,54.02%,10.96%,21.16%
79982,Cam Ward,Vermont,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,34.82%,NR,NR,NR
79982,Cam Ward,Vermont,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,53.30%,76.27%,38.85%,30.06%
79983,Trae Bell-Haynes,Vermont,2014,Guard,94.17%,52.53%,27.06%,0.00%,NR,NR,NR,NR,27.47%,NR,NR,NR
79983,Trae Bell-Haynes,Vermont,2015,Guard,91.10%,42.34%,56.10%,36.20%,NR,NR,NR,NR,48.63%,NR,NR,NR
79983,Trae Bell-Haynes,Vermont,2016,Guard,94.54%,42.63%,48.68%,36.20%,NR,NR,NR,NR,27.47%,NR,NR,NR
79983,Trae Bell-Haynes,Vermont,2017,Guard,93.44%,40.22%,20.01%,36.20%,NR,NR,NR,NR,31.37%,NR,NR,NR
79985,Brandon Hatton,Vermont,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,38.10%,NR,NR,NR
79991,B.J. Tyson,East Carolina,2014,Guard,68.72%,86.42%,35.54%,93.96%,29.21%,85.74%,63.14%,65.03%,46.15%,NR,NR,NR
79991,B.J. Tyson,East Carolina,2015,Guard,70.74%,51.71%,62.13%,93.96%,21.75%,58.23%,18.58%,62.73%,72.16%,17.11%,61.72%,23.47%
79991,B.J. Tyson,East Carolina,2016,Guard,67.33%,29.91%,54.26%,66.10%,NR,85.74%,48.44%,74.55%,43.70%,NR,NR,NR
79991,B.J. Tyson,East Carolina,2017,Guard,66.57%,46.69%,34.79%,88.03%,100.00%,68.69%,54.89%,54.54%,66.31%,16.92%,70.37%,10.85%
79994,Wes VanBeck,Houston,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,40.83%,NR,NR,NR
79994,Wes VanBeck,Houston,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,31.37%,NR,NR,NR
79994,Wes VanBeck,Houston,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,86.66%,87.63%,58.87%,90.75%
79994,Wes VanBeck,Houston,2017,Guard,NR,NR,NR,36.20%,NR,NR,NR,NR,74.83%,83.66%,74.72%,75.89%
80000,Jake Bodway,South Florida,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
80000,Jake Bodway,South Florida,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
80000,Jake Bodway,South Florida,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,34.82%,NR,NR,NR
80002,"Troy Holston, Jr.",South Florida,2014,Guard,34.44%,13.04%,37.91%,36.20%,NR,NR,NR,NR,83.52%,69.78%,42.48%,66.97%
80002,"Troy Holston, Jr.",South Florida,2016,Guard,14.90%,14.79%,88.75%,0.00%,NR,41.21%,48.44%,49.01%,88.10%,72.30%,25.91%,56.49%
80003,Dinero Mercurius,South Florida,2014,Guard,64.19%,38.17%,53.98%,0.00%,NR,NR,NR,NR,46.15%,NR,NR,NR
80003,Dinero Mercurius,Florida Gulf Coast,2017,Guard,14.81%,13.83%,25.72%,0.00%,NR,NR,NR,NR,85.95%,83.27%,62.06%,60.51%
80004,Nehemias Morillo,South Florida,2014,Guard,11.05%,64.82%,48.56%,54.29%,NR,90.67%,57.41%,85.41%,83.52%,47.22%,19.74%,75.44%
80004,Nehemias Morillo,South Florida,2015,Guard,33.49%,13.04%,50.93%,0.00%,NR,85.90%,55.35%,53.51%,64.83%,31.49%,40.80%,21.30%
80005,Jean-Micheal Mudiay,Southern Methodist,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80006,Riley Conroy,Tulane,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
80006,Riley Conroy,Tulane,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80006,Riley Conroy,Tulane,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
80008,Keith Pinckney,Tulane,2014,Guard,72.99%,73.93%,79.28%,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
80008,Keith Pinckney,Old Dominion,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80008,Keith Pinckney,Old Dominion,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
80018,Myles Davis (2),UCF,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80021,Djordjije Mumin,UCF,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
80021,Djordjije Mumin,UCF,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80021,Djordjije Mumin,UCF,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,38.10%,NR,NR,NR
80021,Djordjije Mumin,UCF,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,61.20%,91.47%,72.33%,47.51%
80055,Riley McGillan,Clemson,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80055,Riley McGillan,Clemson,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
80055,Riley McGillan,Clemson,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
80059,Sean Kelly,Duke,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80064,Robbie Berwick,Florida State,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,50.98%,87.33%,51.11%,28.89%
80064,Robbie Berwick,Colorado State,2017,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
80068,Dayshawn Watkins,Florida State,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
80071,Tadric Jackson,Georgia Tech,2014,Guard,19.79%,64.82%,36.54%,74.54%,NR,73.40%,64.13%,45.88%,66.31%,54.82%,15.48%,55.92%
80071,Tadric Jackson,Georgia Tech,2015,Guard,64.38%,48.84%,81.68%,66.10%,NR,NR,NR,NR,57.32%,30.72%,28.18%,46.89%
80071,Tadric Jackson,Georgia Tech,2016,Guard,71.87%,30.06%,78.05%,90.33%,16.19%,41.75%,28.72%,73.01%,85.95%,23.49%,70.84%,72.78%
80071,Tadric Jackson,Georgia Tech,2017,Guard,47.44%,58.11%,36.64%,90.33%,46.07%,79.75%,87.16%,64.79%,70.78%,24.66%,26.82%,59.45%
80073,Bernard Woodside,Tulane,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80090,Trent Gilbert,Louisville,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
80097,James Palmer,Miami (FL),2014,Guard,34.19%,83.94%,76.11%,80.54%,NR,NR,NR,NR,66.31%,65.11%,53.64%,78.07%
80097,James Palmer,Miami (FL),2015,Guard,80.83%,67.13%,88.79%,54.29%,NR,NR,NR,NR,31.37%,NR,NR,NR
80097,James Palmer,Nebraska,2017,Guard,56.11%,83.61%,36.34%,98.89%,31.85%,65.55%,21.31%,46.50%,77.36%,25.60%,66.00%,34.43%
80110,"Chris Corchiani, Jr.",NC State,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
80110,"Chris Corchiani, Jr.",NC State,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80110,"Chris Corchiani, Jr.",NC State,2016,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80113,Matt Farrell,Notre Dame,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
80113,Matt Farrell,Notre Dame,2015,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,46.15%,NR,NR,NR
