GMID,Name,School,Year,Position,PercShotS2P,S2PPer,PercS2PAinT,DunkA,PercDunkinT,PercShotl2P,L2PPer,PercL2PAinT,A3P,PercShot3P,ThreePer,Perc3PAinT
24042,Miah Ostrowski,Hawaii,2010,Guard,78.02%,14.29%,93.75%,0.00%,NR,NR,NR,NR,27.47%,NR,NR,NR
24042,Miah Ostrowski,Hawaii,2011,Guard,84.39%,41.27%,71.91%,0.00%,NR,NR,NR,NR,22.79%,NR,NR,NR
24043,Lamount Samuell,Fordham,2010,Guard,78.71%,9.71%,70.31%,0.00%,NR,NR,NR,NR,22.79%,NR,NR,NR
24043,Lamount Samuell,Fordham,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
24044,Jamal Mitchell,Gardner-Webb,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
24044,Jamal Mitchell,Gardner-Webb,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
24044,Jamal Mitchell,UNC Greensboro,2013,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
24044,Jamal Mitchell,UNC Greensboro,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
24045,DeAndre Hopkins,Clemson,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
24123,Guy Edi,Gonzaga,2011,Guard,79.31%,83.59%,70.31%,84.78%,20.69%,NR,NR,NR,38.10%,NR,NR,NR
24123,Guy Edi,Gonzaga,2012,Guard,84.39%,14.79%,82.53%,88.03%,37.68%,NR,NR,NR,0.00%,NR,NR,NR
24149,Myck Kabongo,Texas,2011,Guard,78.18%,32.12%,72.97%,0.00%,NR,33.00%,64.13%,56.18%,61.20%,17.72%,34.84%,39.89%
24149,Myck Kabongo,Texas,2012,Guard,89.80%,51.71%,28.26%,0.00%,NR,NR,NR,NR,27.47%,NR,NR,NR
24154,Tony Wroten,Washington,2011,Guard,87.11%,52.54%,55.35%,97.92%,36.47%,59.41%,14.49%,54.69%,43.70%,NR,NR,NR
24158,Michael Carter-Williams,Syracuse,2011,Guard,87.09%,45.85%,94.08%,90.33%,100.00%,NR,NR,NR,17.42%,NR,NR,NR
24158,Michael Carter-Williams,Syracuse,2012,Guard,73.76%,56.44%,72.36%,99.11%,37.94%,39.37%,33.08%,32.95%,79.63%,20.68%,28.18%,55.92%
24161,B.J. Young,Arkansas,2011,Guard,74.08%,64.84%,85.19%,97.92%,47.16%,33.27%,13.70%,76.92%,85.95%,23.49%,28.57%,74.10%
24161,B.J. Young,Arkansas,2012,Guard,84.13%,82.41%,81.95%,96.10%,47.08%,24.00%,35.53%,74.59%,82.68%,13.58%,20.46%,72.73%
24166,Josiah Turner,Arizona,2011,Guard,72.36%,86.91%,41.00%,80.54%,NR,86.26%,72.05%,52.85%,22.79%,NR,NR,NR
24169,Shannon Scott,Ohio State,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
24169,Shannon Scott,Ohio State,2012,Guard,79.26%,64.82%,72.35%,0.00%,NR,NR,NR,NR,34.82%,NR,NR,NR
24169,Shannon Scott,Ohio State,2013,Guard,78.57%,69.42%,85.78%,0.00%,NR,47.65%,36.40%,53.30%,50.98%,11.79%,51.11%,11.21%
