GMID,Name,School,Year,Grade,AST,PercATrans,PercARim,PercA2PJ,PercA3P,PercADunks,TO,PercTOFoul,PercTOStea,PercTOMisc
14783,Corey Anthony,Alcorn State,2009,So,1,0.00%,0.00%,100.00%,0.00%,0.00%,2,0.00%,0.00%,100.00%
14785,Derrick Blackwell,Alcorn State,2009,Jr,5,60.00%,40.00%,40.00%,20.00%,0.00%,8,0.00%,50.00%,50.00%
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,5,0.00%,60.00%,40.00%,0.00%,0.00%,8,0.00%,75.00%,25.00%
14795,Tony Eackles,Alcorn State,2009,Fr,2,0.00%,0.00%,100.00%,0.00%,0.00%,7,14.29%,71.43%,14.29%
14787,Ian Francis,Alcorn State,2009,Fr,3,33.33%,0.00%,66.67%,33.33%,0.00%,8,0.00%,75.00%,25.00%
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,2,0.00%,50.00%,0.00%,50.00%,0.00%,10,0.00%,50.00%,50.00%
14794,Shauvanta Ingram,Alcorn State,2009,Fr,0,NA,NA,NA,NA,NA,6,0.00%,83.33%,16.67%
14793,Michael Martin,Alcorn State,2009,Fr,1,0.00%,100.00%,0.00%,0.00%,0.00%,2,0.00%,50.00%,50.00%
14788,Jamar Ragland,Alcorn State,2009,Fr,4,50.00%,50.00%,0.00%,50.00%,0.00%,12,0.00%,75.00%,25.00%
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,1,0.00%,0.00%,100.00%,0.00%,0.00%,8,0.00%,62.50%,37.50%
14781,Alex Savannah,Alcorn State,2009,So,5,40.00%,60.00%,40.00%,0.00%,0.00%,2,0.00%,100.00%,0.00%
14790,Keith Searcy,Alcorn State,2009,Fr,3,33.33%,33.33%,33.33%,33.33%,0.00%,22,4.55%,36.36%,59.09%
14792,Michael Starks,Alcorn State,2009,Fr,0,NA,NA,NA,NA,NA,3,0.00%,0.00%,100.00%
16942,Mike Bersch,American University,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
16939,Jordan Borucki,American University,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
16935,Daniel Fisher,American University,2009,Fr,0,NA,NA,NA,NA,NA,1,0.00%,100.00%,0.00%
16944,Riley Grafft,American University,2009,So,2,0.00%,0.00%,0.00%,100.00%,0.00%,3,0.00%,66.67%,33.33%
16943,Nick Hendra,American University,2009,Jr,6,16.67%,33.33%,16.67%,50.00%,0.00%,8,0.00%,87.50%,12.50%
16938,Joe Hill (2),American University,2009,So,1,0.00%,0.00%,0.00%,100.00%,0.00%,0,NA,NA,NA
16937,Jeff Holton,American University,2009,Fr,0,NA,NA,NA,NA,NA,2,0.00%,100.00%,0.00%
16934,Blake Jolivette,American University,2009,Fr,4,0.00%,0.00%,50.00%,50.00%,0.00%,4,0.00%,25.00%,75.00%
16946,Stephen Lumpkins,American University,2009,So,2,0.00%,0.00%,0.00%,100.00%,0.00%,2,0.00%,50.00%,50.00%
16947,Steve Luptak,American University,2009,Jr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
16945,Simon McCormack,American University,2009,So,2,50.00%,50.00%,0.00%,50.00%,0.00%,5,0.00%,60.00%,40.00%
16948,Vlad Moldoveanu,American University,2009,So,4,25.00%,25.00%,25.00%,50.00%,25.00%,2,0.00%,100.00%,0.00%
16936,Daniel Munoz (2),American University,2009,Fr,2,50.00%,0.00%,0.00%,100.00%,0.00%,3,0.00%,100.00%,0.00%
16941,Matthew Wilson,American University,2009,Jr,3,0.00%,33.33%,33.33%,33.33%,0.00%,1,0.00%,0.00%,100.00%
20990,Ryann Abraham,Appalachian State,2009,Sr,9,33.33%,44.44%,0.00%,55.56%,0.00%,12,25.00%,25.00%,50.00%
20981,J.R. Archer,Appalachian State,2009,Jr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
20983,Jeremi Booth,Appalachian State,2009,Jr,4,25.00%,25.00%,25.00%,50.00%,0.00%,8,12.50%,62.50%,25.00%
20986,Kellen Brand,Appalachian State,2009,Sr,13,30.77%,23.08%,0.00%,76.92%,0.00%,10,0.00%,40.00%,60.00%
20980,Isaac Butts,Appalachian State,2009,Jr,7,0.00%,28.57%,0.00%,71.43%,14.29%,10,10.00%,50.00%,40.00%
20988,Nathan Healy,Appalachian State,2009,Fr,0,NA,NA,NA,NA,NA,1,0.00%,100.00%,0.00%
20978,A.J. Highsmith,Appalachian State,2009,Sr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
