GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
16947,Steve Luptak,American University,2009,Jr,4,3,2,0,0,0,1,0,0,10,5,5,13,12
16945,Simon McCormack,American University,2009,So,21,13,8,0,0,0,8,2,2,0,0,0,31,17
16948,Vlad Moldoveanu,American University,2009,So,7,2,1,0,0,0,3,1,0,22,10,10,38,30
16936,Daniel Munoz (2),American University,2009,Fr,8,5,2,0,0,0,5,1,0,11,4,3,22,19
16941,Matthew Wilson,American University,2009,Jr,4,2,1,0,0,0,2,1,1,0,0,0,14,11
20990,Ryann Abraham,Appalachian State,2009,Sr,27,19,2,0,0,0,10,5,1,24,7,4,59,40
20981,J.R. Archer,Appalachian State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20983,Jeremi Booth,Appalachian State,2009,Jr,21,15,8,5,4,3,9,2,1,36,14,12,29,23
20986,Kellen Brand,Appalachian State,2009,Sr,53,35,15,0,0,0,18,7,3,30,11,11,71,60
20980,Isaac Butts,Appalachian State,2009,Jr,11,6,4,0,0,0,4,3,2,0,0,0,7,3
20988,Nathan Healy,Appalachian State,2009,Fr,9,6,5,0,0,0,3,1,1,1,1,1,13,9
20978,A.J. Highsmith,Appalachian State,2009,Sr,0,0,0,0,0,0,0,0,0,5,1,1,2,2
20985,Josh Hunter,Appalachian State,2009,Sr,16,13,11,0,0,0,6,1,0,1,0,0,16,6
20982,Jacob Lail,Appalachian State,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,2,2
20984,Josh Nirenberg,Appalachian State,2009,Fr,1,1,1,0,0,0,1,0,0,0,0,0,1,0
9581,Donald Sims,Appalachian State,2009,Jr,53,35,8,0,0,0,24,13,1,73,34,21,101,95
20991,Tyler Webb,Appalachian State,2009,Sr,1,1,1,0,0,0,2,0,0,4,2,2,4,2
20979,Andre Williamson,Appalachian State,2009,So,13,11,8,5,4,4,4,3,1,0,0,0,34,22
20987,Marcus Wright,Appalachian State,2009,So,18,11,6,1,1,1,10,3,2,10,5,5,14,9
6680,Ty Abbott,Arizona State,2009,Jr,17,16,10,3,3,3,6,2,2,52,24,24,14,7
1954,Eric Boateng,Arizona State,2009,Sr,6,6,5,2,2,2,3,2,1,0,0,0,14,10
4734,Derek Glasser,Arizona State,2009,Sr,21,13,3,0,0,0,6,5,1,22,9,5,60,52
6682,Marcus Jackson,Arizona State,2009,Fr,2,1,1,0,0,0,0,0,0,0,0,0,5,4
6676,Rihards Kuksiks,Arizona State,2009,Jr,13,10,7,3,2,2,7,4,3,40,18,17,24,21
6679,Trent Lockett,Arizona State,2009,Fr,25,20,19,5,4,4,8,3,2,4,0,0,37,24
6674,Jamelle McMillan,Arizona State,2009,Jr,8,6,4,0,0,0,4,2,1,18,4,4,8,6
6677,Ruslan Pateev,Arizona State,2009,Fr,5,3,1,1,0,0,2,1,1,0,0,0,3,2
6678,Taylor Rohde,Arizona State,2009,So,7,5,4,0,0,0,0,0,0,1,0,0,11,6
6681,Victor Rudd,Arizona State,2009,Fr,4,4,2,3,3,1,0,0,0,13,2,2,8,5
6675,Jerren Shipp,Arizona State,2009,Sr,5,4,2,1,1,1,4,0,0,10,0,0,14,12
6671,Brandon Thompson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6673,Demetrius Walker,Arizona State,2009,Fr,9,5,2,2,1,0,8,4,2,6,4,4,17,13
6649,Kyle Fogg,Arizona,2009,So,13,12,3,0,0,0,28,6,2,19,6,6,55,41
6653,Solomon Hill,Arizona,2009,Fr,10,8,2,2,2,0,9,4,1,4,0,0,31,22
6647,Jamelle Horne,Arizona,2009,Jr,7,4,2,2,1,0,8,4,1,29,10,10,12,8
6641,Alex Jacobson,Arizona,2009,So,0,0,0,0,0,0,1,1,1,0,0,0,1,0
2540,Lamont Jones,Arizona,2009,Fr,16,13,8,0,0,0,26,15,0,10,2,2,17,12
6646,Garland Judkins,Arizona,2009,RS-So,0,0,0,0,0,0,0,0,0,0,0,0,2,2
6642,Brendon Lavender,Arizona,2009,So,5,3,0,0,0,0,1,0,0,18,10,10,4,4
6650,Kyryl Natyazhko,Arizona,2009,Fr,4,3,3,1,1,1,1,0,0,0,0,0,5,2
6648,Kevin Parrom,Arizona,2009,Fr,8,5,4,1,1,0,5,1,0,2,1,1,10,8
6643,D.J. Shumpert,Arizona,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6644,Derrick Williams,Arizona,2009,Fr,33,28,19,14,14,12,11,8,6,2,0,0,55,39
6645,Dondre Wise,Arizona,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2331,Nic Wise,Arizona,2009,Sr,32,19,1,0,0,0,24,10,2,30,14,13,72,63
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,2,1,1,0,0,0,0,0,0,0,0,0,0,0
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,39,20,4,0,0,0,49,17,3,3,0,0,66,56
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,5,1,1,0,0,0,1,0,0,0,0,0,0,0
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,12,8,7,3,3,2,11,2,2,1,0,0,14,6
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,21,15,11,2,2,2,3,0,0,5,0,0,37,21
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,4,2,2,0,0,0,3,2,2,1,0,0,8,6
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,1,1,1,0,0,0,0,0,0,0,0,0,0,0
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,1,1,1,0,0,0,3,1,1,2,0,0,1,0
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,2,2,1,0,0,0,3,1,1,5,2,2,2,2
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,3,1,1,1,0,0,3,3,0,4,3,2,6,3
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,1,0,0,0,0,0,0,0,0,3,0,0,2,1
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,3,1,1,0,0,0,1,0,0,7,4,4,6,3
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,16,7,4,0,0,0,3,1,0,19,5,5,21,15
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,22,13,4,2,2,0,10,4,0,13,4,4,47,32
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,59,48,31,23,21,15,6,3,0,0,0,0,48,29
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,12,5,5,3,3,3,23,11,7,23,7,7,28,21
4550,Martavius Adams,Arkansas State ,2009,So,35,29,24,9,8,8,13,4,4,0,0,0,18,13
19725,Rashad Allison,Arkansas State ,2009,Jr,21,14,5,1,1,1,14,6,2,12,3,2,47,42
19719,Donald Boone,Arkansas State ,2009,RS-Sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5976,JeJuan Brown,Arkansas State ,2009,Jr,14,10,9,4,4,3,6,2,2,1,1,1,20,16
19718,Daniel Bryant,Arkansas State ,2009,So,30,20,4,0,0,0,6,3,0,35,17,12,32,18
19721,Justin Butler,Arkansas State ,2009,Jr,3,2,2,1,1,1,0,0,0,1,0,0,5,3
19726,Trey Finn,Arkansas State ,2009,Fr,16,8,1,1,1,1,8,4,2,22,9,8,32,21
19724,Michael Lance,Arkansas State ,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19716,Brandon Peterson,Arkansas State ,2009,Fr,28,23,15,5,5,5,8,2,1,1,0,0,37,27
19717,Brandon Reed,Arkansas State ,2009,Fr,48,31,18,6,5,4,25,9,3,42,14,13,35,23
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,7,4,1,0,0,0,3,2,0,9,6,6,11,5
19720,Jeremy Thomas,Arkansas State ,2009,Jr,20,15,10,8,8,5,0,0,0,1,0,0,19,12
5539,Marcus Britt,Arkansas,2009,Jr,10,9,3,0,0,0,5,1,0,6,1,1,12,10
5536,Glenn Bryant,Arkansas,2009,Fr,12,8,5,3,3,2,4,1,1,2,0,0,9,4
5543,Rotnei Clarke,Arkansas,2009,So,20,12,8,0,0,0,17,8,2,85,36,30,36,29
5545,Stephen Cox,Arkansas,2009,Jr,1,0,0,0,0,0,2,1,0,0,0,0,2,0
5537,Jemal Farmer,Arkansas,2009,Jr,16,9,4,3,3,3,8,2,2,5,2,2,26,20
3642,Courtney Fortson,Arkansas,2009,So,53,28,3,0,0,0,13,3,0,23,10,6,60,41
5535,Delvon Johnson,Arkansas,2009,Jr,13,9,8,4,4,4,2,1,0,0,0,0,11,5
5534,Cody Lay,Arkansas,2009,Fr,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5542,Nick Mason,Arkansas,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5532,Brandon Mitchell,Arkansas,2009,RS-Fr,0,0,0,0,0,0,0,0,0,1,0,0,2,1
5538,Julysses Nobles,Arkansas,2009,Fr,21,12,2,0,0,0,9,1,0,11,5,3,26,13
5540,Marshawn Powell,Arkansas,2009,Fr,70,46,33,20,17,14,15,6,1,10,1,0,40,20
5533,Chris Roberts,Arkansas,2009,Fr,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5541,Michael Sanchez,Arkansas,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,6,5
2330,Michael Washington,Arkansas,2009,Sr,37,27,23,7,7,6,7,5,2,3,0,0,36,25
5544,Stefan Welsh,Arkansas,2009,Sr,17,11,3,1,1,0,5,2,0,18,6,5,22,16
16988,Joe Clark,Army,2009,So,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16984,Ella Ellis,Army,2009,Fr,9,5,5,0,0,0,2,0,0,4,2,2,12,6
16996,Nathan Hedgecock,Army,2009,Jr,1,0,0,0,0,0,0,0,0,1,0,0,0,0
16987,Jeremy Hence,Army,2009,Jr,25,15,6,1,1,0,1,0,0,7,2,2,9,7
16995,Mitch McDonald,Army,2009,Jr,6,4,2,0,0,0,3,2,1,0,0,0,9,5
47965,C.J. McElrath,Army,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16991,Josh Miller,Army,2009,Sr,26,14,1,0,0,0,22,10,2,23,6,3,38,25
16994,Marcus Nelson,Army,2009,Sr,31,21,11,3,3,2,1,1,0,0,0,0,35,20
16986,Jason Pancoe,Army,2009,Fr,1,1,0,0,0,0,1,0,0,1,0,0,0,0
16983,Cleveland Richard,Army,2009,Sr,30,21,10,0,0,0,23,6,3,27,4,4,40,29
16992,Julian Simmons,Army,2009,So,13,8,4,0,0,0,19,7,3,44,19,18,28,19
16989,Jon Sizemore,Army,2009,Sr,8,5,2,0,0,0,5,2,1,1,1,1,6,3
16990,Jordan Springer,Army,2009,Fr,1,0,0,0,0,0,1,0,0,0,0,0,2,1
16998,Tyrell Thompson,Army,2009,Sr,15,11,5,0,0,0,7,2,0,9,3,3,7,4
16982,Chris Walker,Army,2009,Sr,10,4,4,0,0,0,1,1,1,0,0,0,2,0
16985,Eric Zastoupil,Army,2009,Sr,4,2,2,0,0,0,1,0,0,2,0,0,3,2
5590,Ty Armstrong,Auburn,2009,Fr,5,4,3,0,0,0,1,0,0,0,0,0,10,5
5587,Rob Chubb,Auburn,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5581,Jake Drum,Auburn,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5584,Kenny Gabriel,Auburn,2009,So,3,2,1,2,1,1,3,1,0,4,1,1,2,1
5586,Lucas Hargrove,Auburn,2009,Sr,44,29,8,11,11,2,7,5,3,23,6,6,36,26
