GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
16938,Joe Hill (2),American University,2009,So,2,0,0,0,0,0,4,1,0,64,23,22,0,0
16937,Jeff Holton,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,2,1
16934,Blake Jolivette,American University,2009,Fr,16,7,2,0,0,0,39,12,2,22,8,8,20,15
16946,Stephen Lumpkins,American University,2009,So,215,135,80,21,21,18,90,22,15,0,0,0,156,89
16947,Steve Luptak,American University,2009,Jr,11,6,4,0,0,0,19,5,1,54,16,16,17,16
16945,Simon McCormack,American University,2009,So,86,54,34,0,0,0,59,16,8,0,0,0,62,43
16948,Vlad Moldoveanu,American University,2009,So,70,48,26,0,0,0,85,30,15,124,48,46,124,99
16936,Daniel Munoz (2),American University,2009,Fr,27,12,3,0,0,0,68,21,5,55,15,13,39,31
16941,Matthew Wilson,American University,2009,Jr,17,10,3,0,0,0,10,3,3,0,0,0,35,23
20990,Ryann Abraham,Appalachian State,2009,Sr,43,24,2,0,0,0,35,14,5,75,24,15,73,52
20981,J.R. Archer,Appalachian State,2009,Jr,0,0,0,0,0,0,0,0,0,4,0,0,4,3
20983,Jeremi Booth,Appalachian State,2009,Jr,41,27,12,10,8,4,65,23,9,125,52,48,46,36
20986,Kellen Brand,Appalachian State,2009,Sr,97,61,17,0,0,0,114,44,14,104,40,36,131,102
20980,Isaac Butts,Appalachian State,2009,Jr,160,111,42,0,0,0,76,31,11,0,0,0,57,30
20988,Nathan Healy,Appalachian State,2009,Fr,22,13,8,0,0,0,19,7,2,7,3,3,26,19
20978,A.J. Highsmith,Appalachian State,2009,Sr,0,0,0,0,0,0,0,0,0,22,8,7,2,2
20985,Josh Hunter,Appalachian State,2009,Sr,108,71,39,0,0,0,54,17,3,4,1,1,119,67
20982,Jacob Lail,Appalachian State,2009,So,2,1,1,0,0,0,1,0,0,0,0,0,2,2
20984,Josh Nirenberg,Appalachian State,2009,Fr,7,4,2,0,0,0,7,2,2,0,0,0,5,2
9581,Donald Sims,Appalachian State,2009,Jr,85,53,12,0,0,0,126,52,5,288,123,73,184,175
20991,Tyler Webb,Appalachian State,2009,Sr,8,7,3,0,0,0,16,5,4,24,11,11,9,4
20979,Andre Williamson,Appalachian State,2009,So,46,32,18,12,11,8,68,26,11,0,0,0,84,55
20987,Marcus Wright,Appalachian State,2009,So,40,25,10,1,1,1,63,25,8,50,17,13,43,30
6680,Ty Abbott,Arizona State,2009,Jr,49,31,14,5,4,3,65,22,13,193,78,75,58,45
1954,Eric Boateng,Arizona State,2009,Sr,116,87,48,19,19,14,60,30,9,0,0,0,107,58
4734,Derek Glasser,Arizona State,2009,Sr,52,23,8,0,0,0,79,24,4,110,42,20,131,113
6682,Marcus Jackson,Arizona State,2009,Fr,3,1,1,0,0,0,0,0,0,0,0,0,5,4
6676,Rihards Kuksiks,Arizona State,2009,Jr,47,31,14,4,3,3,49,22,7,211,81,73,56,49
6679,Trent Lockett,Arizona State,2009,Fr,69,49,31,12,11,9,70,24,12,19,4,4,89,62
6674,Jamelle McMillan,Arizona State,2009,Jr,46,25,12,0,0,0,22,8,6,88,34,33,38,22
6677,Ruslan Pateev,Arizona State,2009,Fr,13,9,4,4,3,1,16,6,3,0,0,0,17,11
6678,Taylor Rohde,Arizona State,2009,So,33,21,15,0,0,0,7,3,2,5,0,0,35,19
6681,Victor Rudd,Arizona State,2009,Fr,7,6,3,3,3,1,1,1,0,28,6,5,10,6
6675,Jerren Shipp,Arizona State,2009,Sr,37,28,16,1,1,1,20,6,2,47,13,12,37,28
6671,Brandon Thompson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,4,2,2,0,0
6673,Demetrius Walker,Arizona State,2009,Fr,20,8,2,2,1,0,29,7,3,30,11,8,42,28
6649,Kyle Fogg,Arizona,2009,So,44,31,6,0,0,0,99,28,6,115,48,47,110,83
6653,Solomon Hill,Arizona,2009,Fr,70,47,16,7,5,2,63,23,3,18,4,4,78,55
6647,Jamelle Horne,Arizona,2009,Jr,33,21,9,8,7,3,82,32,7,115,50,46,46,27
6641,Alex Jacobson,Arizona,2009,So,1,1,0,0,0,0,10,8,7,1,1,0,5,3
2540,Lamont Jones,Arizona,2009,Fr,40,27,12,0,0,0,94,41,4,53,10,10,44,31
6646,Garland Judkins,Arizona,2009,RS-So,1,1,1,0,0,0,1,0,0,1,1,1,2,2
6642,Brendon Lavender,Arizona,2009,So,11,4,0,0,0,0,10,3,0,66,23,20,14,11
6650,Kyryl Natyazhko,Arizona,2009,Fr,19,9,7,3,2,2,34,11,4,4,1,1,23,16
6648,Kevin Parrom,Arizona,2009,Fr,27,17,9,1,1,0,34,9,4,14,2,2,30,20
6643,D.J. Shumpert,Arizona,2009,So,0,0,0,0,0,0,2,0,0,0,0,0,4,2
6644,Derrick Williams,Arizona,2009,Fr,170,129,83,43,40,33,96,29,16,16,4,4,232,158
6645,Dondre Wise,Arizona,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2331,Nic Wise,Arizona,2009,Sr,73,38,3,0,0,0,125,42,11,139,50,39,156,137
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,10,5,2,0,0,0,4,0,0,0,0,0,13,8
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,106,52,19,0,0,0,163,49,10,22,4,2,162,132
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,11,5,3,0,0,0,4,2,0,6,2,2,5,2
