GMID,Name,School,Year,BLK,B2PJ,BS2P,B3P,R2PJ,RS2P,R3P,S2PJ,S2PS,S3PS,PickSix
2317,Quincy Pondexter,Washington,2009,21,14,6,0,9,2,0,1,1,0,6
2318,Stanley Robinson,Connecticut,2009,33,15,14,2,7,8,2,2,1,0,4
2319,Magnum Rolle,Louisiana Tech,2009,71,18,52,1,8,28,1,2,4,0,2
2321,Mac Koshwal,DePaul,2009,16,5,10,1,3,4,0,1,1,0,8
2322,Tyler Smith,Tennessee,2009,3,1,2,0,1,0,0,0,1,0,0
2323,Tyshawn Taylor,Kansas,2009,6,3,3,0,2,1,0,0,1,0,8
2323,Tyshawn Taylor,Kansas,2010,7,2,4,0,1,1,0,1,0,0,3
2323,Tyshawn Taylor,Kansas,2011,6,1,2,3,1,1,1,1,2,1,5
2324,Deon Thompson,North Carolina,2009,31,23,7,1,13,4,1,3,3,0,7
2325,Evan Turner,Ohio State,2009,24,8,13,3,4,9,2,2,4,0,11
2326,Jarvis Varnado,Mississippi State,2009,158,76,76,3,48,45,2,0,2,0,2
2327,Greivis Vasquez,Maryland,2009,12,5,7,0,3,3,0,0,1,0,9
2330,Michael Washington,Arkansas,2009,37,22,14,1,10,10,0,1,6,0,1
2331,Nic Wise,Arizona,2009,2,1,0,1,0,0,0,3,3,1,5
2347,Jamal Boykin,California,2009,13,5,8,0,3,3,0,2,2,0,2
2349,Ray Shipman,Florida,2009,2,1,0,1,0,0,0,1,1,0,5
2352,Mike Mercer,South Florida,2009,12,5,6,1,4,3,1,2,3,0,8
2353,Gary Johnson,Texas,2009,9,3,5,0,1,1,0,2,4,0,2
2353,Gary Johnson,Texas,2010,11,6,4,1,4,1,1,1,2,0,2
2354,E'Twaun Moore,Purdue,2009,9,5,3,1,2,0,1,1,0,0,8
2354,E'Twaun Moore,Purdue,2010,17,14,2,1,6,2,1,3,1,0,2
2355,Alex Legion,Illinois,2009,1,1,0,0,1,0,0,0,1,0,0
2355,Alex Legion,Florida International,2010,4,2,2,0,1,1,0,0,0,0,2
2356,Senario Hillman,Alabama,2009,5,2,2,1,1,2,1,3,2,0,11
2356,Senario Hillman,Alabama,2010,6,4,0,2,1,0,2,0,6,0,9
2357,Rick Jackson,Syracuse,2009,46,23,21,0,14,11,0,1,4,0,3
2357,Rick Jackson,Syracuse,2010,83,47,33,1,30,22,1,0,1,0,4
2358,Delvon Roe,Michigan State,2009,27,8,17,2,4,10,1,1,1,0,3
2358,Delvon Roe,Michigan State,2010,41,18,22,1,10,10,1,0,3,0,2
2359,Durrell Summers,Michigan State,2009,3,0,2,1,0,1,1,1,1,0,3
2359,Durrell Summers,Michigan State,2010,8,2,4,2,2,2,1,0,4,0,5
