GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
5586,Lucas Hargrove,Auburn,2009,Sr,63,39,11,12,12,1,52,22,8,61,19,16,66,43
5578,Brendan Knox,Auburn,2009,Sr,65,45,28,21,17,13,18,8,3,1,0,0,66,30
5582,Johnnie Lett,Auburn,2009,Sr,16,8,1,1,1,0,6,0,0,2,0,0,10,2
5577,Andre Malone,Auburn,2009,Fr,8,4,1,2,1,1,4,3,2,14,1,1,2,2
5589,Tony Neysmith,Auburn,2009,So,1,0,0,0,0,0,1,1,0,0,0,0,0,0
4818,DeWayne Reed,Auburn,2009,Sr,130,56,8,5,2,0,44,15,0,86,24,10,98,72
5579,Earnest Ross,Auburn,2009,Fr,10,5,2,0,0,0,8,1,1,31,5,5,7,2
5580,Frankie Sullivan,Auburn,2009,So,41,25,6,1,1,1,29,8,1,94,31,30,45,35
5583,Josh Wallace,Auburn,2009,Fr,6,1,0,0,0,0,1,1,0,2,1,1,4,3
5588,Tay Waller,Auburn,2009,Sr,25,18,12,2,2,1,27,15,1,131,50,38,24,18
5585,"Larry Williams, Jr.",Auburn,2009,Jr,0,0,0,0,0,0,0,0,0,5,2,1,1,0
11659,Justin Blake,Austin Peay,2009,Fr,6,3,1,0,0,0,2,0,0,10,2,1,7,6
11650,Caleb Brown,Austin Peay,2009,Jr,11,3,1,0,0,0,16,5,0,9,1,1,26,22
11661,Tyrone Caldwell,Austin Peay,2009,So,9,4,2,0,0,0,6,2,0,7,2,2,6,4
9444,Anthony Campbell,Austin Peay,2009,So,13,9,6,2,2,2,18,8,4,31,11,10,12,11
11662,Wesley Channels,Austin Peay,2009,Sr,17,8,4,1,0,0,22,5,0,35,17,14,31,24
11655,Ernest Fields,Austin Peay,2009,Sr,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11658,John Fraley,Austin Peay,2009,So,19,10,6,4,3,2,23,7,3,0,0,0,21,17
11654,Eric Mosley,Austin Peay,2009,Fr,2,1,0,0,0,0,3,1,0,4,0,0,1,1
11651,Chris Reaves,Austin Peay,2009,So,1,1,1,0,0,0,5,2,1,2,1,1,5,3
11653,Duran Roberson,Austin Peay,2009,Jr,7,5,4,2,1,1,16,10,8,8,2,2,10,9
11660,Marcel Williams,Austin Peay,2009,So,7,3,2,0,0,0,11,3,0,0,0,0,3,1
