GMID,Name,School,Year,A1PerRimAtt,A1Per2PT,PercFTsShootF
2529,Devan Downey,South Carolina,2009,0.093,0.028,94.27%
2530,Edgar Sosa,Louisville,2009,0.186,0.107,72.55%
2531,Jonathan Kreft,Florida State,2010,0.136,0.060,69.05%
2531,Jonathan Kreft,Florida State,2011,0.047,0.026,75.00%
2532,Curtis Kelly,Kansas State,2009,0.179,0.069,83.54%
2532,Curtis Kelly,Kansas State,2010,0.214,0.061,74.07%
2533,Obi Muonelo,Oklahoma State,2009,0.100,0.051,83.65%
2534,Jeff Robinson,Seton Hall,2009,0.034,0.020,96.83%
2534,Jeff Robinson,Seton Hall,2010,0.099,0.054,83.33%
2535,Jeff Jordan,Illinois,2009,0.111,0.029,90.00%
2535,Jeff Jordan,UCF,2011,0.000,0.000,NA
2536,Chris Wright (2),Dayton,2009,0.115,0.063,90.70%
2536,Chris Wright (2),Dayton,2010,0.073,0.036,113.79%
2537,Chandler Parsons,Florida,2009,0.076,0.054,95.65%
2537,Chandler Parsons,Florida,2010,0.101,0.058,82.50%
2538,Wesley Witherspoon,Memphis,2009,0.162,0.093,94.85%
2538,Wesley Witherspoon,Memphis,2010,0.135,0.089,75.28%
2538,Wesley Witherspoon,Memphis,2011,0.020,0.014,108.96%
2539,Jordan Hamilton,Texas,2009,0.154,0.053,80.77%
2539,Jordan Hamilton,Texas,2010,0.129,0.035,92.78%
2540,Lamont Jones,Arizona,2009,0.125,0.036,82.93%
2540,Lamont Jones,Arizona,2010,0.025,0.010,97.73%
2540,Lamont Jones,Iona,2011,0.123,0.063,165.71%
2540,Lamont Jones,Iona,2012,0.092,0.051,143.71%
2541,Marcus Jordan,UCF,2009,0.111,0.073,155.32%
2541,Marcus Jordan,UCF,2010,0.238,0.083,298.11%
2541,Marcus Jordan,UCF,2011,0.040,0.018,240.00%
2542,Royce White,Iowa State,2011,0.156,0.084,94.65%
2543,Jamil Wilson,Oregon,2009,0.333,0.095,300.00%
2543,Jamil Wilson,Marquette,2011,0.028,0.013,75.00%
2543,Jamil Wilson,Marquette,2012,0.113,0.034,95.04%
2543,Jamil Wilson,Marquette,2013,0.092,0.030,84.54%
2544,Jake Anderson,Northern Illinois,2009,0.125,0.073,615.38%
2544,Jake Anderson,Iowa State,2010,0.122,0.069,87.00%
2545,Dominique Archie,South Carolina,2009,0.000,0.000,63.16%
2546,Dwayne Collins,Miami (FL),2009,0.151,0.095,104.29%
2547,Kenneth Cooper,UAB,2009,0.106,0.078,106.25%
2548,Osiris Eldridge,Illinois State,2009,0.065,0.026,140.54%
2549,Gary Flowers,Southern Mississippi,2009,0.077,0.010,92.94%
2549,Gary Flowers,Southern Mississippi,2010,0.293,0.048,111.63%
2550,Jonathan Gibson,New Mexico State,2009,0.077,0.029,295.83%
2551,Kyle Gibson,Louisiana Tech,2009,0.000,0.000,628.57%
2554,Dior Lowhorn,San Francisco,2009,0.071,0.017,593.33%
2555,Ater Majok,Connecticut,2009,0.045,0.021,56.25%
2557,Junior Salters,Wofford,2009,0.040,0.020,117.39%
2558,Donald Sloan,Texas A&M,2009,0.123,0.044,89.53%
2559,Jonathan Tavernari,Brigham Young,2009,0.071,0.016,66.67%
2560,Malcolm Thomas,San Diego State,2009,0.096,0.045,109.40%
2560,Malcolm Thomas,San Diego State,2010,0.107,0.046,89.15%
2581,Derrick Caracter,UTEP,2009,0.140,0.064,92.73%
2591,John Reik,Mississippi State,2009,0.000,0.000,50.00%
2591,John Reik,Mississippi State,2010,0.000,0.000,150.00%
2605,Ryan Anderson,Nebraska,2009,0.156,0.039,80.25%
3520,Derrick Nix,Michigan State,2009,0.146,0.120,100.00%
3520,Derrick Nix,Michigan State,2010,0.167,0.143,82.61%
3520,Derrick Nix,Michigan State,2011,0.067,0.045,85.42%
3520,Derrick Nix,Michigan State,2012,0.073,0.047,98.33%
3521,Brad Redford,Xavier,2009,0.000,0.000,50.00%
3521,Brad Redford,Xavier,2011,0.667,0.167,81.82%
3521,Brad Redford,Xavier,2012,0.000,0.000,83.33%
3522,David Kool,Western Michigan,2009,0.250,0.067,740.00%
3528,John Roberson,Texas Tech,2009,0.048,0.021,85.94%
3528,John Roberson,Texas Tech,2010,0.125,0.020,183.72%
3532,Shawn Williams,Texas,2009,0.000,0.000,0.00%
3532,Shawn Williams,Southern Methodist,2011,0.000,0.000,600.00%
3532,Shawn Williams,Southern Methodist,2012,NA,NA,NA
3532,Shawn Williams,Southern Methodist,2013,0.092,0.056,114.29%
3540,Andy Polka,Loyola (IL),2009,0.000,0.000,3100.00%
3540,Andy Polka,Loyola (IL),2010,0.000,0.000,925.00%
3541,Scott Christopherson,Iowa State,2009,0.188,0.033,105.41%
3541,Scott Christopherson,Iowa State,2010,0.097,0.020,65.85%
3541,Scott Christopherson,Iowa State,2011,0.056,0.014,77.53%
3542,Keaton Nankivil,Wisconsin,2009,0.105,0.037,93.62%
3542,Keaton Nankivil,Wisconsin,2010,0.081,0.028,91.89%
3543,DeMarcus Phillips,Iowa State,2010,0.286,0.118,57.14%
3544,Jeronne Maymon,Marquette,2009,0.059,0.037,83.33%
3544,Jeronne Maymon,Tennessee,2010,0.000,0.000,70.59%
3544,Jeronne Maymon,Tennessee,2011,0.094,0.058,88.82%
3544,Jeronne Maymon,Tennessee,2013,0.116,0.087,76.52%
3551,Jon Hood,Kentucky,2009,0.000,0.000,100.00%
3551,Jon Hood,Kentucky,2010,0.000,0.000,160.00%
3551,Jon Hood,Kentucky,2012,0.000,0.000,NA
