GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
16943,Nick Hendra,American University,2009,Jr,52,31,13,0,0,0,47,8,7,142,53,48,72,47
16938,Joe Hill (2),American University,2009,So,2,0,0,0,0,0,4,1,0,59,21,20,0,0
16937,Jeff Holton,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16934,Blake Jolivette,American University,2009,Fr,14,7,2,0,0,0,37,12,2,20,8,8,18,13
16946,Stephen Lumpkins,American University,2009,So,200,123,70,16,16,13,87,22,15,0,0,0,148,84
16947,Steve Luptak,American University,2009,Jr,9,5,3,0,0,0,16,4,1,52,14,14,12,11
16945,Simon McCormack,American University,2009,So,83,54,34,0,0,0,52,14,7,0,0,0,57,40
16948,Vlad Moldoveanu,American University,2009,So,68,46,26,0,0,0,80,28,15,120,48,46,116,94
16936,Daniel Munoz (2),American University,2009,Fr,25,12,3,0,0,0,66,21,5,45,12,10,34,27
16941,Matthew Wilson,American University,2009,Jr,15,8,3,0,0,0,10,3,3,0,0,0,27,21
20990,Ryann Abraham,Appalachian State,2009,Sr,43,24,2,0,0,0,33,14,5,69,21,12,64,46
20981,J.R. Archer,Appalachian State,2009,Jr,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20983,Jeremi Booth,Appalachian State,2009,Jr,35,22,9,8,6,3,62,21,9,121,51,47,44,35
20986,Kellen Brand,Appalachian State,2009,Sr,92,57,17,0,0,0,111,43,13,101,37,34,105,83
20980,Isaac Butts,Appalachian State,2009,Jr,151,103,36,0,0,0,75,30,11,0,0,0,48,25
20988,Nathan Healy,Appalachian State,2009,Fr,21,12,7,0,0,0,16,7,2,7,3,3,24,18
20978,A.J. Highsmith,Appalachian State,2009,Sr,0,0,0,0,0,0,0,0,0,12,5,4,2,2
20985,Josh Hunter,Appalachian State,2009,Sr,107,71,39,0,0,0,51,16,3,4,1,1,115,63
20982,Jacob Lail,Appalachian State,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
