GMID,Name,School,Year,Grade,PerRimABlkd,Per2PJABlkd,Per3PABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,PerS2APB,PerL2PAPB,PerPBDunked
14783,Corey Anthony,Alcorn State,2009,So,NA,0.00%,0.00%,NA,100.00%,0.00%,NA,0.00%,NA
14785,Derrick Blackwell,Alcorn State,2009,Jr,66.67%,NA,NA,33.33%,NA,NA,0.00%,NA,NA
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,0.00%,NA,NA,NA,NA,NA,0.00%,NA,NA
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,0.00%,0.00%,0.00%,66.67%,40.00%,15.38%,0.00%,0.00%,NA
14795,Tony Eackles,Alcorn State,2009,Fr,0.00%,0.00%,0.00%,50.00%,50.00%,25.00%,0.00%,0.00%,NA
14787,Ian Francis,Alcorn State,2009,Fr,28.57%,10.00%,NA,16.67%,30.00%,NA,7.14%,0.00%,0.00%
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,9.09%,9.38%,0.00%,35.71%,28.57%,0.00%,13.64%,0.00%,0.00%
14794,Shauvanta Ingram,Alcorn State,2009,Fr,0.00%,0.00%,0.00%,NA,33.33%,33.33%,0.00%,14.29%,0.00%
14793,Michael Martin,Alcorn State,2009,Fr,50.00%,NA,NA,0.00%,NA,NA,0.00%,NA,NA
14788,Jamar Ragland,Alcorn State,2009,Fr,25.00%,15.38%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,NA
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,66.67%,33.33%,0.00%,100.00%,66.67%,100.00%,0.00%,0.00%,NA
14781,Alex Savannah,Alcorn State,2009,So,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,NA
14790,Keith Searcy,Alcorn State,2009,Fr,33.33%,9.09%,NA,50.00%,11.11%,NA,0.00%,0.00%,NA
14792,Michael Starks,Alcorn State,2009,Fr,0.00%,25.00%,NA,25.00%,0.00%,NA,22.22%,0.00%,0.00%
16942,Mike Bersch,American University,2009,Fr,NA,NA,0.00%,NA,NA,50.00%,NA,NA,NA
16939,Jordan Borucki,American University,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
16935,Daniel Fisher,American University,2009,Fr,0.00%,0.00%,NA,NA,0.00%,NA,0.00%,0.00%,NA
16944,Riley Grafft,American University,2009,So,0.00%,0.00%,0.00%,NA,0.00%,0.00%,50.00%,0.00%,0.00%
16943,Nick Hendra,American University,2009,Jr,25.00%,0.00%,0.00%,100.00%,0.00%,30.00%,0.00%,0.00%,NA
16938,Joe Hill (2),American University,2009,So,NA,NA,0.00%,NA,NA,33.33%,NA,NA,NA
16937,Jeff Holton,American University,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
16934,Blake Jolivette,American University,2009,Fr,33.33%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,NA
16946,Stephen Lumpkins,American University,2009,So,27.27%,18.18%,NA,44.44%,9.09%,NA,9.09%,0.00%,0.00%
16947,Steve Luptak,American University,2009,Jr,NA,0.00%,NA,NA,0.00%,NA,NA,0.00%,NA
16945,Simon McCormack,American University,2009,So,50.00%,0.00%,NA,100.00%,NA,NA,50.00%,0.00%,0.00%
16948,Vlad Moldoveanu,American University,2009,So,NA,0.00%,0.00%,NA,0.00%,0.00%,NA,0.00%,NA
16936,Daniel Munoz (2),American University,2009,Fr,0.00%,0.00%,0.00%,0.00%,0.00%,60.00%,0.00%,0.00%,NA
16941,Matthew Wilson,American University,2009,Jr,100.00%,33.33%,NA,100.00%,33.33%,NA,0.00%,0.00%,NA
20990,Ryann Abraham,Appalachian State,2009,Sr,0.00%,0.00%,0.00%,0.00%,33.33%,55.56%,0.00%,0.00%,NA
20981,J.R. Archer,Appalachian State,2009,Jr,NA,NA,NA,NA,NA,NA,NA,NA,NA
20983,Jeremi Booth,Appalachian State,2009,Jr,0.00%,0.00%,0.00%,100.00%,66.67%,16.67%,40.00%,0.00%,0.00%
