GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
16994,Marcus Nelson,Army,2009,Sr,53,31,7,0,0,20,5,0,3,0,0,29,16
16986,Jason Pancoe,Army,2009,Fr,1,1,1,0,0,1,0,0,7,1,1,1,1
16983,Cleveland Richard,Army,2009,Sr,49,29,12,0,0,109,32,10,88,32,29,46,35
16992,Julian Simmons,Army,2009,So,24,12,1,0,0,68,19,7,91,40,38,35,30
16989,Jon Sizemore,Army,2009,Sr,8,5,1,0,0,21,9,2,1,0,0,5,2
16990,Jordan Springer,Army,2009,Fr,1,0,0,0,0,1,0,0,0,0,0,0,0
16998,Tyrell Thompson,Army,2009,Sr,22,13,1,0,0,21,5,3,14,5,5,9,7
16982,Chris Walker,Army,2009,Sr,70,37,21,0,0,33,14,5,0,0,0,26,16
16985,Eric Zastoupil,Army,2009,Sr,36,24,12,0,0,24,11,8,5,0,0,25,19
5590,Ty Armstrong,Auburn,2009,Fr,12,8,3,2,2,19,7,1,0,0,0,5,4
5587,Rob Chubb,Auburn,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
5581,Jake Drum,Auburn,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
5584,Kenny Gabriel,Auburn,2009,So,3,2,1,1,1,9,5,4,31,10,8,2,2
5586,Lucas Hargrove,Auburn,2009,Sr,84,55,19,7,6,75,30,9,73,20,17,75,52
5578,Brendan Knox,Auburn,2009,Sr,110,78,46,24,21,26,11,4,1,0,0,104,51
5582,Johnnie Lett,Auburn,2009,Sr,30,18,6,1,1,18,3,0,1,0,0,24,7
5577,Andre Malone,Auburn,2009,Fr,8,4,2,1,1,17,4,2,40,8,8,2,1
5589,Tony Neysmith,Auburn,2009,So,1,0,0,0,0,1,1,0,1,0,0,0,0
4818,DeWayne Reed,Auburn,2009,Sr,79,31,3,2,0,61,17,1,104,31,17,86,62
5579,Earnest Ross,Auburn,2009,Fr,14,6,2,0,0,11,2,1,48,11,11,14,9
5580,Frankie Sullivan,Auburn,2009,So,38,23,2,1,1,32,12,1,125,50,46,37,32
5583,Josh Wallace,Auburn,2009,Fr,4,0,0,0,0,4,3,0,3,1,1,6,3
5588,Tay Waller,Auburn,2009,Sr,10,7,5,0,0,36,18,2,135,56,47,20,16
5585,"Larry Williams, Jr.",Auburn,2009,Jr,1,1,0,0,0,0,0,0,2,0,0,1,1
11659,Justin Blake,Austin Peay,2009,Fr,10,5,2,0,0,11,5,2,68,24,22,18,10
11650,Caleb Brown,Austin Peay,2009,Jr,31,16,3,0,0,51,11,1,33,10,10,54,42
11661,Tyrone Caldwell,Austin Peay,2009,So,34,19,1,0,0,21,8,1,30,13,9,35,27
9444,Anthony Campbell,Austin Peay,2009,So,51,32,20,0,0,61,27,10,125,47,45,55,45
11662,Wesley Channels,Austin Peay,2009,Sr,67,31,9,0,0,107,34,4,119,50,49,97,73
11655,Ernest Fields,Austin Peay,2009,Sr,13,7,5,0,0,4,0,0,0,0,0,4,3
11658,John Fraley,Austin Peay,2009,So,113,71,41,23,20,61,18,9,0,0,0,107,70
11654,Eric Mosley,Austin Peay,2009,Fr,1,1,0,0,0,6,3,0,9,1,1,2,2
11651,Chris Reaves,Austin Peay,2009,So,7,4,3,0,0,11,5,3,7,1,1,10,5
11653,Duran Roberson,Austin Peay,2009,Jr,27,18,9,4,3,75,35,24,16,3,3,37,24
11660,Marcel Williams,Austin Peay,2009,So,39,21,14,3,2,44,15,4,0,0,0,38,20
11652,Christopher Wood,Austin Peay,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
11376,Brawley Chisholm,Ball State,2009,Sr,7,4,0,0,0,36,11,2,46,16,16,11,8
11385,Randy Davis,Ball State,2009,So,25,11,0,0,0,34,15,1,76,33,17,59,52
11388,Zach Fields,Ball State,2009,Fr,3,1,0,0,0,3,0,0,0,0,0,0,0
11380,John Green,Ball State,2009,Fr,2,1,1,0,0,4,2,1,7,1,1,0,0
11383,"Myron Green, Jr.",Ball State,2009,Fr,19,3,0,0,0,23,5,2,13,4,4,16,12
69742,Maurice Hubbard,Ball State,2009,Fr,19,9,4,1,1,39,11,7,0,0,0,11,1
11378,Jarrod Jones,Ball State,2009,So,112,63,36,12,11,154,46,27,2,0,0,86,54
11381,Malik Perry,Ball State,2009,Jr,76,50,25,2,2,29,10,2,0,0,0,70,42
11379,Jauwan Scaife,Ball State,2009,Fr,24,16,7,0,0,85,21,11,86,30,27,61,48
11384,Pierre Sneed,Ball State,2009,So,28,14,5,0,0,60,24,18,8,2,1,16,13
